"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"NoError, EmulTrap, ClearMem";"Soundrevolution 6 ? 1990 Celtic.";"1990 Celtic";"whdload";"0";"Soundrevolution 6";"Soundrevolution6";"861851";"S\Soundrevolution6\Soundrevolution6.Slave";"0";"S\Soundrevolution6";"524288";"Soundrevolution6";"OCS/ECS";"";"";"";"";"";"soundrevolution 6 celtic";"Exact";"100";"Pouet";"";"";"Celtic";"s\soundrevolution-6-celtic";"musicdisk";"";"http://content.pouet.net/files/screenshots/00015/00015965.jpg";"1990";"Soundrevolution 6";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=15965";"soundrevolution 6 soundrevolution6 celtic soundrevolution6celtic"
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"SoundsOfGnome";"914724";"S\SoundsOfGnome\SoundsOfGnome.slave";"";"S\SoundsOfGnome";"524288";"SoundsOfGnome";"OCS/ECS";"";"";"";"";"";"sounds of gnome";"Exact";"100";"Pouet";"";"";"Mahoney & Kaktus,Northstar";"s\sounds-of-gnome-mahoney-kaktus-northstar";"musicdisk";"";"http://content.pouet.net/files/screenshots/00005/00005583.gif";"april 1989";"Sounds of Gnome";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=5583";"sounds of gnome soundsofgnome mahoney kaktus northstar soundsofgnomemahoneykaktusnorthstar"
"NoError, EmulTrap, ClearMem";"Soundtracker Injury 2 ? 1989 Electronic Artists.";"1989 Electronic Artists";"whdload";"0";"Soundtracker Injury 2";"SoundtrackerInjury2";"511543";"S\SoundtrackerInjury2\SoundtrackerInjury2.Slave";"0";"S\SoundtrackerInjury2";"524288";"SoundtrackerInjury2";"OCS/ECS";"";"";"";"";"";"soundtracker injury 2 electronic artists";"Exact";"100";"Pouet";"";"";"Electronic Artists";"s\soundtracker-injury-2-electronic-artists";"musicdisk";"";"http://content.pouet.net/files/screenshots/00026/00026554.png";"1989";"Soundtracker Injury 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=26554";"soundtracker injury 2 soundtrackerinjury2 electronic artists soundtrackerinjury2electronicartists"
"NoError, EmulTrap, ClearMem";"Soundtracker Injury 3 ? 1989 Electronic Artists.";"1989 Electronic Artists";"whdload";"0";"Soundtracker Injury 3";"SoundtrackerInjury3";"540348";"S\SoundtrackerInjury3\SoundtrackerInjury3.Slave";"0";"S\SoundtrackerInjury3";"524288";"SoundtrackerInjury3";"OCS/ECS";"";"";"";"";"";"soundtracker injury 3 electronic artists";"Exact";"100";"Pouet";"";"";"Electronic Artists";"s\soundtracker-injury-3-electronic-artists";"musicdisk";"";"http://content.pouet.net/files/screenshots/00026/00026553.png";"1989";"Soundtracker Injury 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=26553";"soundtracker injury 3 soundtrackerinjury3 electronic artists soundtrackerinjury3electronicartists"
"NoError, EmulTrap, ClearMem";"Soundtrip ? 1991 Shadows.";"1991 Shadows";"whdload";"0";"Soundtrip";"Soundtrip";"840447";"S\Soundtrip\Soundtrip.Slave";"0";"S\Soundtrip";"524288";"Soundtrip";"OCS/ECS";"";"";"";"";"";"soundtrip shadows";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Shadows";;"Musicdisk";"";;"";"Soundtrip";;;"soundtrip soundtrip shadows soundtripshadows"
"Disk, NoError";"Sound Vision ? 1992 Reflect.";"1992 Reflect";"whdload";"0";"Sound Vision";"SoundVision";"909829";"S\SoundVision\SoundVision.Slave";"507904";"S\SoundVision";"524288";"SoundVision";"OCS/ECS";"";"";"";"";"";"sound vision reflect";"Exact";"100";"Pouet";"amiga demo";"1st";"Reflect";"s\sound-vision-reflect";"demo";"Assembly 1992";"http://content.pouet.net/files/screenshots/00005/00005458.png";"july 1992";"Sound Vision";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=5458";"sound vision soundvision reflect soundvisionreflect"
"NoError, EmulTrap, ClearMem";"Sozzled Somersault ? 1993 The Silents.";"1993 The Silents";"whdload";"0";"Sozzled Somersault";"SozzledSomersault";"610429";"S\SozzledSomersault\SozzledSomersault.Slave";"1048576";"S\SozzledSomersault";"524288";"SozzledSomersault";"OCS/ECS";"";"";"";"";"";"sozzled somersault the silents";"Exact";"100";"Pouet";"";"";"The Silents";"s\sozzled-somersault-the-silents";"demo";"";"http://content.pouet.net/files/screenshots/00009/00009178.gif";"january 1993";"Sozzled somersault";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9178";"sozzled somersault sozzledsomersault the silents sozzledsomersaultthesilents"
"NoError, EmulTrap, ClearMem";"Spaced Out Vol. 1 ? 1991 Magnetic Fields.";"1991 Magnetic Fields";"whdload";"0";"Spaced Out Vol. 1";"SpacedOutVol1";"922089";"S\SpacedOutVol1\SpacedOutVol1.Slave";"0";"S\SpacedOutVol1";"524288";"SpacedOutVol1";"OCS/ECS";"";"";"";"";"";"spaced out vol 1 magnetic fields";"Exact";"100";"Pouet";"";"";"Magnetic Fields";"s\spaced-out-vol-1-magnetic-fields";"musicdisk";"";"http://content.pouet.net/files/screenshots/00050/00050419.png";"march 1991";"Spaced Out Vol. 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=50419";"spaced out vol 1 spacedoutvol1 magnetic fields spacedoutvol1magneticfields"
"NoError, EmulTrap, ClearMem";"Spaced Out Vol. 2 ? 1991 Magnetic Fields.";"1991 Magnetic Fields";"whdload";"0";"Spaced Out Vol. 2";"SpacedOutVol2";"922157";"S\SpacedOutVol2\SpacedOutVol2.Slave";"0";"S\SpacedOutVol2";"524288";"SpacedOutVol2";"OCS/ECS";"";"";"";"";"";"spaced out vol 2 magnetic fields";"Exact";"100";"Pouet";"";"";"Magnetic Fields";"s\spaced-out-vol-2-magnetic-fields";"musicdisk";"";"http://content.pouet.net/files/screenshots/00050/00050418.png";"1991";"Spaced Out Vol. 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=50418";"spaced out vol 2 spacedoutvol2 magnetic fields spacedoutvol2magneticfields"
"NoError, EmulTrap, ClearMem";"Spaceship ? 1988 Doctor Mabuse Orgasm Crackings.";"1988 Doctor Mabuse Orgasm Crackings";"whdload";"0";"Spaceship";"Spaceship";"125548";"S\Spaceship\Spaceship.Slave";"0";"S\Spaceship";"524288";"Spaceship";"OCS/ECS";"";"";"";"";"";"spaceship doctor mabuse orgasm crackings";"Exact";"100";"Pouet";"";"";"Doctor Mabuse Orgasm Crackings";"s\spaceship-doctor-mabuse-orgasm-crackings";"demo";"";"http://content.pouet.net/files/screenshots/00010/00010366.gif";"february 1988";"Spaceship";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10366";"spaceship spaceship doctor mabuse orgasm crackings spaceshipdoctormabuseorgasmcrackings"
