"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"NoError, ClearMem";"Digital Concert #5 ? 1990 Flash Production";"1990 Flash Production";"whdload";"0";"Digital Concert #5";"DigitalConcert5";"873938";"D\DigitalConcert5\DigitalConcert5.Slave";"4096";"D\DigitalConcert5";"524288";"DigitalConcert5";"OCS/ECS";"";"";"";"";"";"digital concert 5 flash production";"Exact";"100";"Pouet";"none";"n/a";"Flash Production";"d\digital-concert-5-flash-production";"musicdisk";"Amiga Conference 1990";"http://content.pouet.net/files/screenshots/00008/00008072.png";"june 1990";"Digital Concert 5";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8072";"digital concert 5 digitalconcert5 flash production digitalconcert5flashproduction"
"NoError, ClearMem";"Digital Concert #6 ? 1991 Flash Production";"1991 Flash Production";"whdload";"0";"Digital Concert #6";"DigitalConcert6";"926268";"D\DigitalConcert6\DigitalConcert6.Slave";"4096";"D\DigitalConcert6";"524288";"DigitalConcert6";"OCS/ECS";"";"";"";"";"";"digital concert 6 flash production";"Exact";"100";"Pouet";"";"";"Flash Production";"d\digital-concert-6-flash-production";"musicdisk";"";"http://content.pouet.net/files/screenshots/00028/00028376.jpg";"n/a";"digital concert 6";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=28376";"digital concert 6 digitalconcert6 flash production digitalconcert6flashproduction"
"Disk, NoError, EmulTrap";"Digital Innovation by Anarchy (c) 1991 - 1 disk.";"1991 Anarchy";"whdload";"0";"Digital Innovation";"DigitalInnovation";"906435";"D\DigitalInnovation\DigitalInnovation.slave";"0";"D\DigitalInnovation";"524288";"DigitalInnovation";"OCS/ECS";"";"";"";"";"";"digital innovation anarchy";"Exact";"100";"Pouet";"";"";"Anarchy";"d\digital-innovation-anarchy";"demo";"";"http://content.pouet.net/files/screenshots/00008/00008880.gif";"august 1991";"digital innovation";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8880";"digital innovation digitalinnovation anarchy digitalinnovationanarchy"
"NoError, EmulTrap, ClearMem";"Digital Music Art ? 1992 Wildfire.";"1992 Wildfire";"whdload";"0";"Digital Music Art";"DigitalMusicArt";"389333";"D\DigitalMusicArt\DigitalMusicArt.Slave";"0";"D\DigitalMusicArt";"524288";"DigitalMusicArt";"OCS/ECS";"";"";"";"";"";"digital music art wildfire";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Wildfire";;"Demo";"Hurricane and Brutal Summer Party";;"6/92";"Digital Music Art";;;"digital music art digitalmusicart wildfire digitalmusicartwildfire"
"NoError, EmulTrap, ClearMem";"Digital Noises ? 1991 Ram Jam.";"1991 Ram Jam";"whdload";"0";"Digital Noises";"DigitalNoises";"762411";"D\DigitalNoises\DigitalNoises.Slave";"0";"D\DigitalNoises";"524288";"DigitalNoises";"OCS/ECS";"";"";"";"";"";"digital noises ram jam";"Exact";"100";"Pouet";"";"";"Ram Jam";"d\digital-noises-ram-jam";"musicdisk";"";"http://content.pouet.net/files/screenshots/00061/00061935.png";"1991";"Digital Noises";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=61935";"digital noises digitalnoises ram jam digitalnoisesramjam"
"NoError, EmulTrap, ClearMem";"Digital Sounds Volume 1 ? 1990 The Warfalcons.";"1990 Warfalcons";"whdload";"0";"Digital Sounds Volume 1";"DigitalSounds1";"926448";"D\DigitalSounds1\DigitalSounds1.Slave";"0";"D\DigitalSounds1";"524288";"DigitalSounds1";"OCS/ECS";"";"";"";"";"";"digital sounds 1 volume warfalcons";"Best";"3.415835";"Pouet";"";"";"The Warfalcons";"d\digital-sounds-vol-1-the-warfalcons";"musicdisk";"";"http://content.pouet.net/files/screenshots/00009/00009158.gif";"september 1990";"Digital sounds vol 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9158";"digital sounds vol 1 digitalsoundsvol1 the warfalcons digitalsoundsvol1thewarfalcons"
"NoError, Req68020, ReqAGA, ClearMem";"Dirt ? 1994 Mystic - 1 disk";"1994 Mystic";"whdload";"0";"Dirt";"DirtAGA";"374854";"D\DirtAGA\DirtAGA.Slave";"4096";"D\DirtAGA";"786432";"Dirt";"AGA";"";"";"";"";"";"dirt aga mystic";"Best";"3.170548";"Pouet";"amiga demo";"n/a";"Mystic";"d\dirt-mystic";"demo";"Intel Outside 1994";"http://content.pouet.net/files/screenshots/00012/00012460.jpg";"october 1994";"Dirt";"Amiga AGA";"http://www.pouet.net/prod.php?which=12460";"dirt dirt mystic dirtmystic"
"NoError, EmulTrap, ClearMem";"Disco Fever ? 1990 Ipec Elite.";"1990 Ipec Elite";"whdload";"0";"Disco Fever";"DiscoFever";"640968";"D\DiscoFever\DiscoFever.Slave";"0";"D\DiscoFever";"524288";"DiscoFever";"OCS/ECS";"";"";"";"";"";"disco fever ipec elite";"Exact";"100";"Pouet";"";"";"Ipec Elite";"d\disco-fever-ipec-elite";"musicdisk";"";"http://content.pouet.net/files/screenshots/00049/00049792.png";"august 1990";"Disco Fever";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=49792";"disco fever discofever ipec elite discofeveripecelite"
"NoError, EmulTrap, ClearMem";"Divine Inspiration ? 1991 Goldfire.";"1991 Goldfire";"whdload";"0";"Divine Inspiration";"DivineInspiration";"856659";"D\DivineInspiration\DivineInspiration.Slave";"0";"D\DivineInspiration";"524288";"DivineInspiration";"OCS/ECS";"";"";"";"";"";"divine inspiration goldfire";"Exact";"100";"Pouet";"";"";"Goldfire";"d\divine-inspiration-goldfire";"musicdisk";"";"http://content.pouet.net/files/screenshots/00064/00064328.png";"1991";"Divine Inspiration";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=64328";"divine inspiration divineinspiration goldfire divineinspirationgoldfire"
"NoError, EmulTrap, ClearMem";"Dizzy Tunes ? 1992 Silents & Noiseless";"1992 Silents & Noiseless";"whdload";"0";"Dizzy Tunes";"DizzyTunes";"924701";"D\DizzyTunes\DizzyTunes.Slave";"4096";"D\DizzyTunes";"524288";"DizzyTunes";"OCS/ECS";"";"";"";"";"";"dizzy tunes silents noiseless";"Best";"5.958098";"Pouet";"none";"n/a";"noiseless,The Silents";"d\dizzy-tunes-1-noiseless-the-silents_#2";"musicdisk";"The Gathering 1992";"http://content.pouet.net/files/screenshots/00005/00005815.gif";"april 1992";"Dizzy Tunes 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=5815";"dizzy tunes 1 dizzytunes1 noiseless the silents dizzytunes1noiselessthesilents"
"NoError, EmulTrap, ClearMem";"Dizzy Tunes 2 ? 1994 Noiseless & Spaceballs.";"1994 Noiseless & Spaceballs";"whdload";"0";"Dizzy Tunes 2";"DizzyTunes2";"2746813";"D\DizzyTunes2\DizzyTunes2.Slave";"0";"D\DizzyTunes2";"1048576";"DizzyTunes2";"OCS/ECS";"";"";"";"";"";"dizzy tunes 2 noiseless spaceballs";"Best";"4.770374";"Pouet";"";"";"Spaceballs,noiseless";"d\dizzy-tunes-2-spaceballs-noiseless_#2";"musicdisk";"";"http://content.pouet.net/files/screenshots/00004/00004049.gif";"1994";"Dizzy Tunes 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=4049";"dizzy tunes 2 dizzytunes2 spaceballs noiseless dizzytunes2spaceballsnoiseless"
"NoError, EmulTrap, ReqAGA, ClearMem";"The Dog's Cogs ? 1995 Nerve Axis.";"1995 Nerve Axis";"whdload";"0";"The Dog";"DogsCogsAGA";"2112902";"D\DogsCogsAGA\DogsCogsAGA.Slave";"0";"D\DogsCogsAGA";"2097152";"DogsCogs";"AGA";"";"";"";"";"";"dogs cogs aga the dog nerve axis";"Best";"3.156639";"Pouet";"";"";"Nerve Axis";"t\the-dogs-cogs-nerve-axis";"musicdisk";"";"http://content.pouet.net/files/screenshots/00000/00000216.png";"august 1995";"The Dog's Cogs";"Amiga AGA";"http://www.pouet.net/prod.php?which=216";"the dogs cogs thedogscogs nerve axis thedogscogsnerveaxis"
"NoError, EmulTrap, ClearMem";"Don Martin Music Disk ? 1990 Hypnosis.";"1990 Hypnosis";"whdload";"0";"Don Martin Music Disk";"DonMartinMusicDisk";"730120";"D\DonMartinMusicDisk\DonMartinMusicDisk.Slave";"0";"D\DonMartinMusicDisk";"524288";"DonMartinMusicDisk";"OCS/ECS";"";"";"";"";"";"don martin music disk hypnosis";"Best";"2.984327";"Pouet";"n/a";"n/a";"Hypnosis";"d\don-martin-hypnosis";"musicdisk";"Phenomena and Censor Party 1990";"http://content.pouet.net/files/screenshots/00061/00061689.gif";"january 1990";"Don Martin";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=61689";"don martin donmartin hypnosis donmartinhypnosis"
"NoError, EmulTrap, ClearMem";"Don't Panic ? 1992 LSD.";"1992 LSD";"whdload";"0";"Don";"DontPanic";"1253243";"D\DontPanic\DontPanic.Slave";"196608";"D\DontPanic";"524288";"DontPanic";"OCS/ECS";"";"";"";"";"";"dont panic don lsd";"Best";"2.598441";"Janeway Amiga Scene Demo Database";;;"LSD";;"Musicdisk";"";;"";"Don't Panic";;;"dont panic dontpanic lsd dontpaniclsd"
"NoError";"D.O.S. ? 1992 Andromeda - 1 disk";"1992 Andromeda";"whdload";"0";"D.O.S.";"DOS";"750165";"D\DOS\DOS.Slave";"0";"D\DOS";"524288";"DOS";"OCS/ECS";"";"";"";"";"";"dos andromeda";"Exact";"100";"Pouet";"amiga demo";"2nd";"Andromeda";"d\dos-andromeda";"demo";"The Gathering 1992";"http://content.pouet.net/files/screenshots/00000/00000404.gif";"april 1992";"D.O.S";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=404";"dos dos andromeda dosandromeda"
"NoError, EmulTrap, ClearMem";"Do the Bartman ? 1991 FreeHand.";"1991 FreeHand";"whdload";"0";"Do The Bartman";"DoTheBartman";"452174";"D\DoTheBartman\DoTheBartman.Slave";"0";"D\DoTheBartman";"524288";"DoTheBartman";"OCS/ECS";"";"";"";"";"";"do the bartman free hand";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Freehand";;"Musicdisk";"";;"";"Do the Bartman";;;"do the bartman dothebartman freehand dothebartmanfreehand"
"NoError, EmulTrap, ClearMem";"Double Intro ? 1991 Vega.";"1991 Vega";"whdload";"0";"Double Intro";"DoubleIntro";"108623";"D\DoubleIntro\DoubleIntro.Slave";"0";"D\DoubleIntro";"524288";"Double";"OCS/ECS";"";"";"";"Intro";"";"double intro part1 vega";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Vega";;"Intro";"";;"11/91";"Double Intro Part1";;;"double intro part 1 doubleintropart1 vega doubleintropart1vega"
"NoError, EmulPriv, Examine";"demo called:";"19?? ALFA FORCE";"whdload";"0";"Dragon Lord demo";"DragonLord";"524646";"D\DragonLord\DragonLord.Slave";"786432";"D\DragonLord";"524288";"DragonLord";"OCS/ECS";"";"";"";"";"";"dragon lord alfaforce";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Alfaforce";;"Demo";"";;"";"Dragon Lord";;;"dragon lord dragonlord alfaforce dragonlordalfaforce"
"NoError, EmulTrap, ClearMem";"Dream Tripping ? 1993 Digital";"1993 Digital";"whdload";"0";"Dream Tripping";"DreamTrippin";"1024099";"D\DreamTrippin\DreamTrippin.Slave";"4096";"D\DreamTrippin";"524288";"DreamTrippin";"OCS/ECS";"";"";"";"";"";"dream trippin tripping digital";"Best";"2.471067";"Pouet";"amiga demo";"1st";"Digital";"d\dream-trippin-digital";"demo";"Digital Symposium 1993";"http://content.pouet.net/files/screenshots/00010/00010290.jpg";"november 1993";"Dream Trippin'";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10290";"dream trippin dreamtrippin digital dreamtrippindigital"
"NoError, EmulTrap, ClearMem";"Drums and Reverbs ? 1992 Chryseis.";"1992 Chryseis";"whdload";"0";"Drums & Reverbs";"Drums&Reverbs";"1820226";"D\Drums&Reverbs\Drums&Reverbs.Slave";"0";"D\Drums&Reverbs";"524288";"Drums&Reverbs";"OCS/ECS";"";"";"";"";"";"drums reverbs chryseis";"Exact";"100";"Pouet";"n/a";"n/a";"Chryseis";"d\drums-reverbs-chryseis";"musicdisk";"The Party 1992";"http://content.pouet.net/files/screenshots/00050/00050249.png";"december 1992";"Drums & Reverbs";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=50249";"drums reverbs drumsreverbs chryseis drumsreverbschryseis"
"NoError";"";"1990 Paradox";"whdload";"0";"Drunk Desert Demo";"DrunkDesertDemo";"118217";"D\DrunkDesertDemo\DrunkDesertDemo.Slave";"0";"D\DrunkDesertDemo";"524288";"DrunkDesert";"OCS/ECS";"";"";"Demo";"";"";"drunk desert demo paradox";"Best";"4.392503";"Pouet";"n/a";"n/a";"Paradox";"t\the-drunk-desert-demo-paradox";"demo";"Summer Party 1990";"http://content.pouet.net/files/screenshots/00004/00004428.jpg";"may 1990";"The drunk desert demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=4428";"the drunk desert demo thedrunkdesertdemo paradox thedrunkdesertdemoparadox"
"NoError, EmulTrap, ClearMem";"Dynamo ? 1994 Orion.";"1994 Orion";"whdload";"0";"Dynamo";"Dynamo";"1821615";"D\Dynamo\Dynamo.Slave";"0";"D\Dynamo";"524288";"Dynamo";"OCS/ECS";"";"";"";"";"";"dynamo orion";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Orion";;"Musicdisk";"";;"";"Dynamo";;;"dynamo dynamo orion dynamoorion"
"NoError, EmulTrap, ClearMem";"Dyspepsia ? 1993 Analogy.";"1993 Analogy";"whdload";"0";"Dyspepsia";"Dyspepsia";"919909";"D\Dyspepsia\Dyspepsia.Slave";"524288";"D\Dyspepsia";"524288";"Dyspepsia";"OCS/ECS";"";"";"";"";"";"dyspepsia analogy";"Exact";"100";"Pouet";"combined demo/intro";"3rd";"Analogy";"d\dyspepsia-analogy";"demo";"Aggressive 1993";"http://content.pouet.net/files/screenshots/00010/00010286.jpg";"october 1993";"Dyspepsia";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10286";"dyspepsia dyspepsia analogy dyspepsiaanalogy"
"NoError, EmulTrap, ClearMem";"Eargasm Tunes ? 1989 The Silents.";"1989 The Silents";"whdload";"0";"Eargasm Tunes";"EargasmTunes";"1386421";"E\EargasmTunes\EargasmTunes.Slave";"0";"E\EargasmTunes";"524288";"EargasmTunes";"OCS/ECS";"";"";"";"";"";"eargasm tunes the silents";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"The Silents";;"Musicdisk";"";;"";"Eargasm Tunes";;;"eargasm tunes eargasmtunes the silents eargasmtunesthesilents"
"NoError, EmulTrap";"Earwig ? 1993 Infect.";"1993 Infect";"whdload";"0";"Earwig";"Earwig";"912315";"E\Earwig\Earwig.Slave";"524288";"E\Earwig";"524288";"Earwig";"OCS/ECS";"";"";"";"";"";"earwig infect";"Exact";"100";"Pouet";"n/a";"n/a";"Infect";"e\earwig-infect";"musicdisk";"Data-Live Conference 1993";"http://content.pouet.net/files/screenshots/00003/00003615.jpg";"april 1993";"Earwig";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3615";"earwig earwig infect earwiginfect"
"NoError, EmulTrap, ReqAGA, ClearMem";"E.C.E.S. Slideshow ? 1991 Rebels.";"1991 Rebels";"whdload";"0";"ECES Slideshow";"ECESSlideshow";"919123";"E\ECESSlideshow\ECESSlideshow.slave";"0";"E\ECESSlideshow";"524288";"ECESSlideshow";"AGA";"";"";"";"";"";"ecesslideshow eces slideshow rebels";"Best";"5.367577";"Pouet";"none";"n/a";"Rebels";"e\eces-slideshow-rebels";"slideshow";"ECES 1991";"http://content.pouet.net/files/screenshots/00031/00031964.png";"june 1991";"E.C.E.S. slideshow";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=31964";"eces slideshow ecesslideshow rebels ecesslideshowrebels"
"NoError, ClearMem";"Ecliptica ?1992 TRSI";"1992 TRSI";"whdload";"0";"Ecliptica";"Ecliptica";"756019";"E\Ecliptica\Ecliptica.Slave";"454656";"E\Ecliptica";"1048576";"Ecliptica";"OCS/ECS";"";"";"";"";"";"ecliptica trsi";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"TRSI";;"Trackmo";"The Party 1992";;"12/92";"Ecliptica";;;"ecliptica ecliptica trsi eclipticatrsi"
"NoError, EmulTrap, ClearMem";"Electric Sound 3 ? 1990 Goonies.";"1990 Goonies";"whdload";"0";"Electric Sound 3";"ElectricSound3";"921085";"E\ElectricSound3\ElectricSound3.Slave";"0";"E\ElectricSound3";"524288";"ElectricSound3";"OCS/ECS";"";"";"";"";"";"electric sound 3 goonies";"Best";"3.969819";"Pouet";"";"";"The Goonies 2041";"e\electric-sound-3-the-goonies-2041";"musicdisk";"";"http://content.pouet.net/files/screenshots/00062/00062076.png";"1990";"Electric Sound 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=62076";"electric sound 3 electricsound3 the goonies 2041 electricsound3thegoonies2041"
"NoError";"Electrons at work ? 1998 The Electronic Knights.";"1998 by TEK";"whdload";"0";"Electrons at work";"ElectronsAtWork";"910481";"E\ElectronsAtWork\ElectronsAtWork.Slave";"524288";"E\ElectronsAtWork";"524288";"ElectronsAtWork";"OCS/ECS";"";"";"";"";"";"electrons at work by tek";"Best";"1.909112";"Pouet";"amiga demo";"10th";"The Electronic Knights";"e\electrons-at-work-the-electronic-knights";"demo";"Mekka &amp";"http://content.pouet.net/files/screenshots/00014/00014768.gif";"april 1998";"Electrons At Work";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=14768";"electrons at work electronsatwork the electronic knights electronsatworktheelectronicknights"
"Disk, NoError, EmulTrap";"Elysium, ?1991 Sanity";"1991 Sanity";"whdload";"0";"-< E L Y S I U M >-";"Elysium";"301726";"E\Elysium\Elysium.Slave";"0";"E\Elysium";"589824";"Elysium";"OCS/ECS";"";"";"";"";"";"elysium 1 sanity";"Best";"4.918048";"Pouet";"amiga demo";"3rd";"sanity";"e\elysium-sanity";"demo";"Amiga Summit Convention 1991";"http://content.pouet.net/files/screenshots/00001/00001505.jpg";"april 1991";"Elysium";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=1505";"elysium elysium sanity elysiumsanity"
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"Emptyhead ? 1993 (damn) Rednex.";"1993 Rednex";"whdload";"0";"Empty Head";"EmptyheadAGA";"922052";"E\EmptyheadAGA\EmptyheadAGA.Slave";"2138112";"E\EmptyheadAGA";"1069056";"Emptyhead";"AGA";"";"";"";"";"";"emptyhead aga empty head rednex";"Best";"1.701727";"Pouet";"amiga demo";"6th";"Rednex";"e\emptyhead-rednex";"demo";"The Party 1993";"http://content.pouet.net/files/screenshots/00010/00010234.gif";"december 1993";"Emptyhead";"Amiga AGA";"http://www.pouet.net/prod.php?which=10234";"emptyhead emptyhead rednex emptyheadrednex"
"NoError, EmulTrap, ClearMem";"End of Maloy ? 1990 The Silents.";"1990 The Silents";"whdload";"0";"End of Maloy";"EndOfMaloy";"411531";"E\EndOfMaloy\EndOfMaloy.Slave";"0";"E\EndOfMaloy";"524288";"EndOfMaloy";"OCS/ECS";"";"";"";"";"";"end of maloy the silents";"Exact";"100";"Pouet";"amiga demo";"5th";"The Silents";"e\end-of-maloy-the-silents";"demo";"Swedish Elite Easter Conference 1990";"http://content.pouet.net/files/screenshots/00016/00016962.jpg";"april 1990";"End of maloy";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=16962";"end of maloy endofmaloy the silents endofmaloythesilents"
"NoError, EmulTrap, ClearMem";"End Of The Misery ? 1993 Sagazity";"1993 Sagazity";"whdload";"0";"End of the misery";"EndOfTheMisery";"1821735";"E\EndOfTheMisery\EndOfTheMisery.Slave";"524288";"E\EndOfTheMisery";"524288";"EndOfTheMisery";"OCS/ECS";"";"";"";"";"";"end of the misery sagazity";"Exact";"100";"Pouet";"amiga demo";"11th";"Sagazity";"e\end-of-the-misery-sagazity";"demo";"The Party 1993";"http://content.pouet.net/files/screenshots/00057/00057665.jpg";"december 1993";"End Of The Misery";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=57665";"end of the misery endofthemisery sagazity endofthemiserysagazity"
"NoError, Req68020, ReqAGA, ClearMem";"The Engine ? 1997 Ramses";"1997 Ramses";"whdload";"0";"The Engine";"EngineAGA";"4222835";"E\EngineAGA\EngineAGA.Slave";"6758400";"E\EngineAGA";"659456";"Engine";"AGA";"";"";"";"";"";"engine aga the ramses";"Best";"2.574808";"Pouet";"amiga demo";"1st";"Ramses";"t\the-engine-ramses";"demo";"Euskal 1997";"http://content.pouet.net/files/screenshots/00016/00016464.jpg";"july 1997";"The Engine";"Amiga AGA";"http://www.pouet.net/prod.php?which=16464";"the engine theengine ramses theengineramses"
"Disk, NoError, EmulTrap";"Enigma, 1991 Phenomena (1 disk).";"";"whdload";"0";"";"Enigma";"910990";"E\Enigma\Enigma.slave";"";"E\Enigma";"524288";"Enigma";"OCS/ECS";"";"";"";"";"";"enigma phenomena";"Exact";"100";"Pouet";"amiga demo";"1st";"Phenomena";"e\enigma-phenomena";"demo";"Anarchy Easter Party 1991";"http://content.pouet.net/files/screenshots/00000/00000394.png";"march 1991";"Enigma";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=394";"enigma enigma phenomena enigmaphenomena"
"Disk, NoError, EmulTrap";"Enjoy The Silents ? 1992 TSL - 1 disk";"1992 The Silents";"whdload";"0";"Enjoy the Silents";"EnjoyTheSilents";"911720";"E\EnjoyTheSilents\EnjoyTheSilents.Slave";"0";"E\EnjoyTheSilents";"1048576";"EnjoyTheSilents";"OCS/ECS";"";"";"";"";"";"enjoy the silents";"Exact";"100";"Pouet";"amiga demo";"2nd";"The Silents";"e\enjoy-the-silents-the-silents";"demo";"Digital Symposium 1992";"http://content.pouet.net/files/screenshots/00008/00008080.gif";"october 1992";"Enjoy the Silents";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8080";"enjoy the silents enjoythesilents the silents enjoythesilentsthesilents"
"NoError, EmulTrap, ClearMem";"Epilepsia 1992 Amnesia.";"1992 Amnesia";"whdload";"0";"Epilepsia";"Epilepsia";"920325";"E\Epilepsia\Epilepsia.Slave";"524288";"E\Epilepsia";"524288";"Epilepsia";"OCS/ECS";"";"";"";"";"";"epilepsia amnesia";"Exact";"100";"Pouet";"";"";"Amnesia";"e\epilepsia-amnesia";"musicdisk";"";"http://content.pouet.net/files/screenshots/00033/00033687.gif";"1992";"Epilepsia";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33687";"epilepsia epilepsia amnesia epilepsiaamnesia"
"NoError, EmulTrap, ClearMem";"Epilepsia 2 1992 Amnesia.";"1992 Amnesia";"whdload";"0";"Epilepsia 2";"Epilepsia2";"918413";"E\Epilepsia2\Epilepsia2.Slave";"0";"E\Epilepsia2";"524288";"Epilepsia2";"OCS/ECS";"";"";"";"";"";"epilepsia 2 amnesia";"Exact";"100";"Pouet";"n/a";"n/a";"Amnesia";"e\epilepsia-2-amnesia";"musicdisk";"The Party 1992";"http://content.pouet.net/files/screenshots/00033/00033688.gif";"december 1992";"Epilepsia 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33688";"epilepsia 2 epilepsia2 amnesia epilepsia2amnesia"
"NoError, EmulTrap, ClearMem";"Erazorhead ? 1991 Razor 1911.";"1991 Razor 1911";"whdload";"0";"Erazorhead";"Erazorhead";"157685";"E\Erazorhead\Erazorhead.Slave";"0";"E\Erazorhead";"524288";"Erazorhead";"OCS/ECS";"";"";"";"";"";"erazorhead razor";"Best";"4.210428";"Pouet";"";"";"Razor 1911";"e\erazorhead-razor-1911";"dentro";"";"http://content.pouet.net/files/screenshots/00056/00056051.gif";"october 1991";"Erazorhead";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=56051";"erazorhead erazorhead razor 1911 erazorheadrazor1911"
"NoError, EmulTrap, ClearMem";"The Triple Breasted Whore of Eroticon6 ? 1991 LSD.";"1991 LSD";"whdload";"0";"Triple Breasted Whore of Eroticon 6";"Eroticon6";"923550";"E\Eroticon6\Eroticon6.slave";"524288";"E\Eroticon6";"524288";"Eroticon6";"OCS/ECS";"";"";"";"";"";"eroticon 6 triple breasted whore of lsd";"Best";"3.891532";"Pouet";"none";"n/a";"Leeds Spreading Division";"t\the-triple-breasted-whore-of-eroticon-6-leeds-spreading-division";"musicdisk";"The Main Event 1991";"http://content.pouet.net/files/screenshots/00009/00009416.png";"october 1991";"the triple breasted whore of eroticon 6";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9416";"the triple breasted whore of eroticon 6 thetriplebreastedwhoreoferoticon6 leeds spreading division thetriplebreastedwhoreoferoticon6leedsspreadingdivision"
"NoError, EmulTrap, ClearMem";"Essential Beats Volume 3 ? 1994 Quote.";"1994 Quote";"whdload";"0";"Essential Beats 3";"EssentialBeats3";"897643";"E\EssentialBeats3\EssentialBeats3.Slave";"0";"E\EssentialBeats3";"524288";"EssentialBeats3";"OCS/ECS";"";"";"";"";"";"essential beats 3 quote";"Best";"5.062611";"Pouet";"";"";"Quote";"e\essential-beats-volume-3-quote";"musicdisk";"";"http://content.pouet.net/files/screenshots/00021/00021431.png";"1994";"Essential Beats Volume 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21431";"essential beats volume 3 essentialbeatsvolume3 quote essentialbeatsvolume3quote"
"NoError, EmulTrap, ClearMem";"Essential Classics ? 1993 Nova.";"1993 Nova";"whdload";"0";"Essential Classics";"EssentialClassics";"920126";"E\EssentialClassics\EssentialClassics.Slave";"0";"E\EssentialClassics";"524288";"EssentialClassics";"OCS/ECS";"";"";"";"";"";"essential classics nova";"Exact";"100";"Pouet";"";"";"Nova";"e\essential-classics-nova";"musicdisk";"";"http://content.pouet.net/files/screenshots/00059/00059855.png";"june 1993";"Essential Classics";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=59855";"essential classics essentialclassics nova essentialclassicsnova"
"NoError, EmulTrap, ClearMem";"Estprobal Mastic ? 1992 Imagine.";"1992 Imagine";"whdload";"0";"Estprobal Mastic";"EstprobalMastic";"950574";"E\EstprobalMastic\EstprobalMastic.Slave";"0";"E\EstprobalMastic";"524288";"EstprobalMastic";"OCS/ECS";"";"";"";"";"";"estprobal mastic imagine";"Exact";"100";"Pouet";"";"";"Imagine";"e\estprobal-mastic-imagine";"musicdisk";"";"http://content.pouet.net/files/screenshots/00021/00021432.png";"december 1992";"Estprobal Mastic";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21432";"estprobal mastic estprobalmastic imagine estprobalmasticimagine"
"NoError, EmulTrap";"Exage ? 1990 Burning Independence.";"1990 Burning Independence";"whdload";"0";"Exage";"Exage";"921183";"E\Exage\Exage.Slave";"0";"E\Exage";"524288";"Exage";"OCS/ECS";"";"";"";"";"";"exage 1 burning independence";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Burning Independence";;"Musicdisk";"";;"";"Exage 1";;;"exage 1 exage1 burning independence exage1burningindependence"
