"Compo";"Rank";"Groups";"ProductionPath";"Type";"Party";"ScreenshotUrl";"Date";"Name";"Platform";"ProductionUrl"
"amiga intro";"3rd";"3 Little Elks";"d\drama-motion-beauty-3-little-elks";"64k";"underscore 2001";"http://content.pouet.net/files/screenshots/00002/00002824.gif";"may 2001";"Drama Motion Beauty";"Amiga AGA";"http://www.pouet.net/prod.php?which=2824"
"combined demo";"1st";"3 Little Elks";"f\frums-mit-kindern-3-little-elks";"demo";"compusphere 1996";"http://content.pouet.net/files/screenshots/00030/00030893.jpg";"may 1996";"Frums (Mit Kindern)";"Amiga AGA";"http://www.pouet.net/prod.php?which=30893"
"";"";"3 Little Elks";"k\kick-it-a-day-for-the-laiban-3-little-elks";"game";"";"http://content.pouet.net/files/screenshots/00052/00052612.gif";"february 1997";"Kick It! - A Day for the Laiban";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=52612"
"combined demo";"3rd";"3 Little Elks";"m\midvinternattens-3-little-elks";"demo";"compusphere 1995";"http://content.pouet.net/files/screenshots/00018/00018472.png";"november 1995";"Midvinternattens";"Amiga AGA";"http://www.pouet.net/prod.php?which=18472"
"n/a";"n/a";"3 Little Elks";"m\mumin-3-little-elks";"dentro";"Frost 1995";"http://content.pouet.net/files/screenshots/00052/00052613.jpg";"n/a";"Mumin";"Amiga AGA";"http://www.pouet.net/prod.php?which=52613"
"amiga demo";"4th";"3 Little Elks";"p\passengers-3-little-elks";"demo";"The Party 1995";"http://content.pouet.net/files/screenshots/00003/00003469.jpg";"december 1995";"passengers";"Amiga AGA";"http://www.pouet.net/prod.php?which=3469"
"amiga demo";"2nd";"3 Little Elks";"s\second-chance-3-little-elks";"demo";"Icing 1997";"http://content.pouet.net/files/screenshots/00010/00010247.jpg";"june 1997";"Second Chance";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10247"
"amiga demo";"3rd";"3 Little Elks";"t\the-tale-of-sir-henry-3-little-elks";"demo";"Icing Beta 1997";"http://content.pouet.net/files/screenshots/00013/00013647.gif";"february 1997";"The tale of sir henry";"Amiga AGA";"http://www.pouet.net/prod.php?which=13647"
"amiga demo";"1st";"3 Little Elks";"t\the-tribe-3-little-elks";"demo";"Icing 1996";"http://content.pouet.net/files/screenshots/00008/00008270.gif";"may 1996";"The Tribe";"Amiga AGA";"http://www.pouet.net/prod.php?which=8270"
"amiga demo";"1st";"3 Little Elks";"y\yawp-cola-3-little-elks";"demo";"compusphere 1995";"http://content.pouet.net/files/screenshots/00019/00019583.png";"may 1997";"Yawp Cola";"Amiga AGA";"http://www.pouet.net/prod.php?which=19583"
"n/a";"n/a";"303bcn";"b\beatzombie-ep-303bcn";"musicdisk";"AmigaAndFriends 2012";"http://content.pouet.net/files/screenshots/00059/00059961.png";"april 2012";"beatZOMBIE EP";"Amiga AGA";"http://www.pouet.net/prod.php?which=59961"
"";"";"303bcn";"n\nst0002-303bcn";"musicdisk";"";"http://content.pouet.net/files/screenshots/00054/00054637.jpg";"april 2010";"nst0002";"Amiga AGA";"http://www.pouet.net/prod.php?which=54637"
"combined demo/intro";"5th";"3LN";"0\3-letters-of-fame-3ln";"intro";"Nordlicht 2012";"http://content.pouet.net/files/screenshots/00059/00059564.gif";"july 2012";"3 letters of fame";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=59564"
"";"";"3Part";"b\bossanova-3part";"demo";"";"http://content.pouet.net/files/screenshots/00052/00052061.gif";"april 1995";"Bossanova";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=52061"
"";"";"4-TM (Four Track Magic)";"e\enjoy-the-silence-4-tm-four-track-magic";"musicdisk";"";"http://content.pouet.net/files/screenshots/00058/00058434.png";"1993";"Enjoy The Silence";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=58434"
"";"";"4-TM (Four Track Magic)";"u\umf1-useless-music-file-4-tm-four-track-magic";"demo";"";"http://content.pouet.net/files/screenshots/00058/00058433.jpg";"1993";"UMF1 (Useless Music File)";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=58433"
"";"";"4-ward";"t\twingo-home-4-ward";"demo";"";"http://content.pouet.net/files/screenshots/00053/00053141.gif";"1993";"Twingo Home";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=53141"
"combined 4k";"1st";"4th Dimension";"w\windows-4th-dimension";"4k";"Chaos Constructions 2000";"http://content.pouet.net/files/screenshots/00013/00013952.png";"august 2000";"Windows";"Amiga AGA";"http://www.pouet.net/prod.php?which=13952"
"none";"n/a";"5th Generation";"0\5th-generation-and-darkness-party-1992-music-disk-5th-generation";"musicdisk";"Fifth Generation &amp";"http://content.pouet.net/files/screenshots/00059/00059021.png";"september 1992";"5th Generation and Darkness Party 1992 Music Disk";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=59021"
"";"";"5th Generation";"c\course-of-techno-5th-generation";"musicdisk";"";"http://content.pouet.net/files/screenshots/00033/00033077.jpg";"n/a";"Course of Techno";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33077"
"";"";"5th Generation";"c\cracktros-vol-01-5th-generation";"demopack";"";"http://content.pouet.net/files/screenshots/00065/00065811.png";"november 1993";"Cracktros Vol 01";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=65811"
"amiga demo";"3rd";"5th Generation";"d\dementia-5th-generation";"demo";"Fifth Generation &amp";"http://content.pouet.net/files/screenshots/00033/00033096.jpg";"1992";"Dementia";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33096"
"";"";"5th Generation";"f\fanzine-1-5th-generation";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033078.jpg";"july 1992";"Fanzine 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33078"
"";"";"5th Generation";"f\fanzine-2-5th-generation";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033079.jpg";"november 1992";"Fanzine 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33079"
"";"";"5th Generation";"f\fanzine-2-intro-5th-generation";"intro";"";"http://content.pouet.net/files/screenshots/00055/00055701.png";"1992";"Fanzine 2 Intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55701"
"";"";"5th Generation";"f\fanzine-3-5th-generation";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033080.jpg";"january 1993";"Fanzine 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33080"
"";"";"5th Generation";"f\fanzine-4-5th-generation";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033081.jpg";"1993";"Fanzine 4";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33081"
"";"";"5th Generation";"f\fanzine-5-5th-generation";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033082.jpg";"1993";"Fanzine 5";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33082"
"";"";"5th Generation";"f\fanzine-6-5th-generation";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033083.jpg";"1993";"Fanzine 6";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33083"
"";"";"5th Generation";"f\fanzine-7-5th-generation";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033084.jpg";"1993";"Fanzine 7";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33084"
"n/a";"n/a";"5th Generation";"f\fatal-effect-5th-generation";"64k";"Southern Party 1993";"http://content.pouet.net/files/screenshots/00055/00055699.png";"1993";"Fatal Effect";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55699"
