"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"MuzakCompacting1\MuzakCompacting1.Slave";"NoError, EmulTrap, ClearMem";"Muzak Compacting 1 ? 1989 Mindwarp.";"Muzak Compacting 1";"1989 Mindwarp";"0";"M\MuzakCompacting1_v1.0_Mindwarp.lha";"MuzakCompacting1";"MuzakCompacting1";"0";"whdload";"524288";"836567";"MuzakCompacting1";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MuzaksDisk1\MuzaksDisk1.Slave";"NoError, EmulTrap, ClearMem";"Muzaks Disk 1 1990 Securitate.";"Muzaks Disk 1";"1990 Securitate";"0";"M\MuzaksDisk1_v1.0_Securitate.lha";"MuzaksDisk1";"MuzaksDisk1";"0";"whdload";"524288";"920715";"MuzaksDisk1";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Muzzax1\Muzzax1.slave";"NoError, EmulTrap, ClearMem";"Muzzax 1 ? 1989 Byterapers.";"Muzzax 1";"1989 Byterapers";"0";"M\Muzzax1_v1.01_Byterapers.lha";"Muzzax1";"Muzzax1";"0";"whdload";"524288";"921374";"Muzzax1";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Muzzax2\Muzzax2.slave";"NoError, EmulTrap, ClearMem";"Muzzax 2 ? 1989 Byterapers.";"Muzzax 2";"1989 Byterapers";"0";"M\Muzzax2_v1.01_Byterapers.lha";"Muzzax2";"Muzzax2";"0";"whdload";"524288";"921442";"Muzzax2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Muzzax3\Muzzax3.Slave";"NoError, EmulTrap, ClearMem";"Muzzax 3 ? 1989 Byterapers.";"Muzzax 3";"1989 Byterapers";"0";"M\Muzzax3_v1.0_Byterapers.lha";"Muzzax3";"Muzzax3";"0";"whdload";"524288";"921743";"Muzzax3";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Muzzax4\Muzzax4.Slave";"NoError, EmulTrap, ClearMem";"Muzzax 4 ? 1989 Byterapers.";"Muzzax 4";"1989 Byterapers";"0";"M\Muzzax4_v1.0_Byterapers.lha";"Muzzax4";"Muzzax4";"0";"whdload";"524288";"922450";"Muzzax4";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Muzzax5\Muzzax5.Slave";"NoError, EmulTrap, ClearMem";"Muzzax 5 ? 1989 Byterapers.";"Muzzax 5";"1989 Byterapers";"0";"M\Muzzax5_v1.0_Byterapers.lha";"Muzzax5";"Muzzax5";"0";"whdload";"524288";"922505";"Muzzax5";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Muzzax6\Muzzax6.Slave";"NoError, EmulTrap, ClearMem";"Muzzax 6 ? 1989 Byterapers.";"Muzzax 6";"1989 Byterapers";"0";"M\Muzzax6_v1.0_Byterapers.lha";"Muzzax6";"Muzzax6";"0";"whdload";"524288";"921017";"Muzzax6";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Muzzax7\Muzzax7.Slave";"NoError, EmulTrap, ClearMem";"Muzzax 7 ? 1989 Byterapers.";"Muzzax 7 - Turtle";"1990 Byterapers";"0";"M\Muzzax7_v1.0_Byterapers.lha";"Muzzax7";"Muzzax7";"0";"whdload";"524288";"920777";"Muzzax7";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"NewAge\NewAge.Slave";"NoError, EmulTrap, ClearMem";"New Age ? 1993 Ram Jam.";"New Age";"1993 Ram Jam";"0";"N\NewAge_v1.0_RamJam.lha";"NewAge";"NewAge";"0";"whdload";"524288";"852325";"NewAge";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"NewtronsMusicBox\NewtronsMusicBox.Slave";"NoError, EmulTrap, ClearMem";"Newtron's Music Box ? 1991 Orix.";"Newtron";"1991 Orix";"0";"N\NewtronsMusicBox_v1.0_Orix.lha";"NewtronsMusicBox";"NewtronsMusicBox";"0";"whdload";"524288";"660572";"NewtronsMusicBox";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"NoBrainNoPainFlashProd\NoBrainNoPainFlashProd.Slave";"NoError, EmulTrap, ClearMem";"No Brain - No Pain ? 1990 Flash Production.";"No Brain - No Pain";"1990 Flash Production";"0";"N\NoBrainNoPain_v1.0_FlashProduction.lha";"NoBrainNoPainFlashProd";"NoBrainNoPainFlashProd";"0";"whdload";"524288";"1520749";"NoBrainNoPainFlashProd";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"NoBrainNoPainParadise\NoBrainNoPainParadise.Slave";"Disk";"No Brain No Pain by Paradise (1 disk).";"No Brain No Pain";"Paradise";"0";"N\NoBrainNoPain_v1.0_Paradise.lha";"NoBrainNoPainParadise";"NoBrainNoPainParadise";"0";"whdload";"524288";"908221";"NoBrainNoPainParadise";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"NoisesOfPansy\NoisesOfPansy.Slave";"NoError, EmulTrap, ClearMem";"Noises of Pansy ? 1991 Exit & Erotic.";"Noises of Pansy";"1991 Exit & Erotic";"0";"N\NoisesOfPansy_v1.0_Exit&Erotic.lha";"NoisesOfPansy";"NoisesOfPansy";"0";"whdload";"524288";"920874";"NoisesOfPansy";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"NonStopMusic\NonStopMusic.Slave";"NoError, ClearMem";"Non Stop Music ? 1989 Jungle Command.";"Non Stop Music";"1989 Jungle Command";"0";"N\NonStopMusic_v1.0_JungleCommand.lha";"NonStopMusic";"NonStopMusic";"0";"whdload";"524288";"917735";"NonStopMusic";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Nonterraqueous\Nonterraqueous.Slave";"NoError, EmulTrap, ClearMem";"Nonterraqueous ? 1992 Alarm.";"Nonterraqueous";"1992 Alaram";"0";"N\Nonterraqueous_v1.0_Alarm.lha";"Nonterraqueous";"Nonterraqueous";"0";"whdload";"524288";"369782";"Nonterraqueous";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Nugget\Nugget.Slave";"NoError";"Nugget ? 1993 The Black Lotus.";"Nugget";"1993 by The Black Lotus";"0";"N\Nugget_v1.0_Nugget.lha";"Nugget";"Nugget";"0";"whdload";"524288";"911016";"Nugget";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Numeric\Numeric.Slave";"NoError, EmulTrap, ClearMem";"Numeric ? 1991 Profecy.";"Numeric";"1991 Profecy";"0";"N\Numeric_v1.0_Profecy.lha";"Numeric";"Numeric";"0";"whdload";"524288";"586700";"Numeric";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Numeric2\Numeric2.Slave";"NoError, EmulTrap, ClearMem";"Numeric 2 ? 1992 Profecy.";"Numeric 2";"1992 Profecy";"0";"N\Numeric2_v1.01_Profecy.lha";"Numeric2";"Numeric2";"0";"whdload";"524288";"920540";"Numeric2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Numeric3\Numeric3.Slave";"NoError, EmulTrap, ClearMem";"Numeric 3 ? 1992 Profecy.";"Numeric 3";"1992 Profecy";"0";"N\Numeric3_v1.0_Profecy.lha";"Numeric3";"Numeric3";"0";"whdload";"524288";"1821731";"Numeric3";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"ObliqueInfinity\ObliqueInfinity.Slave";"NoError, EmulTrap, ClearMem";"Oblique Infinity ? 1991 Goldfire.";"Oblique Infinity";"1991 Goldfire";"0";"O\ObliqueInfinity_v1.0_Goldfire.lha";"ObliqueInfinity";"ObliqueInfinity";"0";"whdload";"524288";"560341";"ObliqueInfinity";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Odeon\Odeon.Slave";"NoError, EmulTrap, ClearMem";"Odeon ? 1992 Solution.";"Odeon";"1992 Solution";"0";"O\Odeon_v1.0_Solution.lha";"Odeon";"Odeon";"0";"whdload";"524288";"1818466";"Odeon";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OdeToRamon\OdeToRamon.slave";"NoError, EmulTrap, ClearMem";"Ode to Ramon ? 1989 Digital Force.";"Ode To Ramon";"1989 Digital Force";"0";"O\OdeToRamon_v1.01_DigitalForce.lha";"OdeToRamon";"OdeToRamon";"0";"whdload";"524288";"920402";"OdeToRamon";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OdeToRamon2\OdeToRamon2.slave";"NoError, EmulTrap, ClearMem";"Ode to Ramon 2 ? 1989 Digital Force.";"Ode To Ramon 2";"1989 Digital Force";"0";"O\OdeToRamon2_v1.01_DigitalForce.lha";"OdeToRamon2";"OdeToRamon2";"0";"whdload";"524288";"920569";"OdeToRamon2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OdySounds2\OdySounds2.Slave";"NoError, EmulTrap, ClearMem";"Ody Sounds 2 ? 1989 Odyssey.";"Ody Sounds 2";"1989 Odyssey";"0";"O\OdySounds2_v1.0_Odyssey.lha";"OdySounds2";"OdySounds2";"0";"whdload";"524288";"919473";"OdySounds2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OldTunes\OldTunes.Slave";"NoError, EmulTrap, ClearMem";"Old Tunes ? 1991 Chrome.";"Old Tunes";"1991 Chrome";"0";"O\OldTunes_v1.0_Chrome.lha";"OldTunes";"OldTunes";"0";"whdload";"524288";"621309";"OldTunes";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OneDayOnMars\OneDayOnMars.Slave";"NoError, ClearMem";"One Day on Mars ? 1992 Exile.";"One Day on Mars";"1992 Exile";"0";"O\OneDayOnMars_v1.0_Exile.lha";"OneDayOnMars";"OneDayOnMars";"0";"whdload";"524288";"579227";"OneDayOnMars";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OneStone\OneStone.slave";"NoError";"One-Stone, ?198x Quest";"One Stone";"Quest";"0";"O\OneStone_v1.0_Quest.lha";"OneStone";"OneStone";"0";"whdload";"524288";"179577";"OneStone";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OpticalDreams\OpticalDreams.Slave";"NoError, EmulTrap, ClearMem";"Optical Dreams ? 1992 Addict.";"Optical Dreams";"1992 Addict";"0";"O\OpticalDreams_v1.0_Addict.lha";"OpticalDreams";"OpticalDreams";"0";"whdload";"524288";"1052465";"OpticalDreams";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Ottifanten\Ottifanten.Slave";"NoError, EmulTrap, ClearMem";"Ottifanten ? 1988 Thrust.";"Ottifanten";"1988 Thrust";"0";"O\Ottifanten_v1.0_Thrust.lha";"Ottifanten";"Ottifanten";"0";"whdload";"524288";"142967";"Ottifanten";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Ottifanten2\Ottifanten2.Slave";"NoError, EmulTrap, ClearMem";"Otti im Moni/Ottifanten 2 ? 1988 Thrust.";"Otti im Moni/Ottifanten 2";"1988 Thrust";"0";"O\Ottifanten2_v1.0_Thrust.lha";"Ottifanten2";"Ottifanten2";"0";"whdload";"524288";"77671";"Ottifanten2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"OurDefOfBoombastic\OurDefOfBoombastic.slave";"NoError, EmulTrap, ClearMem";"Our Definition of a Boombastic Demo Style ? 1991 Rebels.";"Our Definition of a Boombastic Demo Style";"1991 Rebels";"0";"O\OurDefinitionOfABoombasticDemoStyle_v1.03_Rebels.lha";"OurDefOfBoombastic";"OurDefOfBoombastic";"0";"whdload";"524288";"346330";"OurDefOfBoombastic";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Overdose\Overdose.Slave";"NoError, EmulTrap, ClearMem";"Overdose ? 1991 Delight.";"Overdose";"1991 Delight";"0";"O\Overdose_v1.0_Delight.lha";"Overdose";"Overdose";"0";"whdload";"524288";"161726";"Overdose";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
