"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"AlchemyDemo\AlchemyDemo.Slave";"NoError, ClearMem";"Alchemy demo ? 1994 Psygnosis";"Alchemy demo";"1994 Psygnosis";"4096";"A\AlchemyDemo_v1.0.lha";"AlchemyDemo";"AlchemyDemo";"0";"whdload";"524288";"357957";"Alchemy";"OCS/ECS";"";"";"Demo";"";"";"A-Games";"Games"
"Alianator\Alianator.Slave";"NoError, EmulTrap, NoKbd, ClearMem";"Alianator ? 1991 P.S.";"Alianator";"1991 P.S. ";"0";"A\Alianator_v1.0_1905.lha";"Alianator";"Alianator";"0";"whdload";"524288";"373082";"Alianator";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AlienBash\AlienBash.Slave";"NoError, EmulTrap, ClearMem";"Alien Bash (c) 1993 Glen Cumming & Stuart Law - 1";"Alien Bash";"1993 Glen Cumming & Stuart Law";"4096";"A\AlienBash_v1.0.lha";"AlienBash";"AlienBash";"0";"whdload";"524288";"272750";"AlienBash";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AlienLegion\AlienLegion.Slave";"NoError, EmulTrap, NoKbd, ClearMem";"Alien Legion (c) 1989 Pegasus";"Alien Legion";"1989 Pegasus";"0";"A\AlienLegion_v1.0.lha";"AlienLegion";"AlienLegion";"0";"whdload";"524288";"904350";"AlienLegion";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AlienStorm\AlienStorm.Slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Alien Storm ? 1990 Sega/US Gold";"Alien Storm";"1991 US Gold";"0";"A\AlienStorm_v1.4_0096.lha";"AlienStorm";"AlienStorm";"0";"whdload";"524288";"676748";"AlienStorm";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AlienWorld\AlienWorld.Slave";"NoError, EmulTrap, NoKbd";"Alien World (c) 1992 PAL Developments/Hi-Tec - 1";"Alien World";"1992 PAL Developments/Hi-Tec";"0";"A\AlienWorld_v1.0_1398.lha";"AlienWorld";"AlienWorld";"0";"whdload";"524288";"1066495";"AlienWorld";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Aliex\Aliex.Slave";"NoError, NoKbd, ClearMem";"Aliex ? 1990 Trojan.";"Aliex";"1990 Trojan";"0";"A\Aliex_v1.2_2961.lha";"Aliex";"Aliex";"0";"whdload";"524288";"916817";"Aliex";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Alpha1\Alpha1.Slave";"NoError, ClearMem";"Alpha-1 ? 1988 ECP";"Alpha-1";"1988 ECP";"4096";"A\Alpha1_v1.0_1921.lha";"Alpha1";"Alpha1";"0";"whdload";"524288";"301343";"Alpha1";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AlteredBeast\AlteredBeast.slave";"NoError, NoKbd, ClearMem";"Altered Beast ? 1989 Sega/Activision";"Altered Beast";"1989 Sega/Activision";"0";"A\AlteredBeast_v2.2_0819.lha";"AlteredBeast";"AlteredBeast";"0";"whdload";"524288";"1831518";"AlteredBeast";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Amegas\Amegas.Slave";"NoError, EmulTrap, ClearMem";"Amegas (c) 1987 Guido Bartels/reLINE Software - 1";"Amegas";"1987 Guido Bartels/reLINE Software";"0";"A\Amegas_v1.0_1655.lha";"Amegas";"Amegas";"0";"whdload";"524288";"844509";"Amegas";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
