"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"SceneTalk1\SceneTalk1.slave";"NoError, EmulTrap, ClearMem";"Scene Talk ? 1992 Submission.";"Scene Talk #1";"1992 Submission";"0";"S\SceneTalk1_v1.01_Submission.lha";"SceneTalk1";"SceneTalk1";"0";"whdload";"524288";"923506";"SceneTalk1";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"SceneTalk2\SceneTalk2.slave";"NoError, EmulTrap, ClearMem";"Scene Talk 2 ? 1992 Submission.";"Scene Talk #2";"1992 Submission";"0";"S\SceneTalk2_v1.01_Submission.lha";"SceneTalk2";"SceneTalk2";"0";"whdload";"524288";"925410";"SceneTalk2";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"SceneTalk3\SceneTalk3.slave";"NoError, EmulTrap, ClearMem";"Scene Talk 3 ? 1993 Submission.";"Scene Talk #3";"1993 Submission";"0";"S\SceneTalk3_v1.01_Submission.lha";"SceneTalk3";"SceneTalk3";"0";"whdload";"524288";"922703";"SceneTalk3";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"SceneTalk4\SceneTalk4.Slave";"NoError, EmulTrap, ClearMem";"Scene Talk #4 ? 1993 Submission.";"Scene Talk #4";"1993 Submission";"0";"S\SceneTalk4_v1.0_Submission.lha";"SceneTalk4";"SceneTalk4";"0";"whdload";"524288";"922130";"SceneTalk4";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"SceneTalk5\SceneTalk5.Slave";"NoError, EmulTrap, ClearMem";"Scene Talk #5 ? 1993 Mystic.";"Scene Talk #5";"1993 Mystic";"0";"S\SceneTalk5_v1.0_Mystic.lha";"SceneTalk5";"SceneTalk5";"0";"whdload";"524288";"921655";"SceneTalk5";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"StolenData07\StolenData07.Slave";"NoError, EmulTrap, ClearMem";"Stolen Data #7 1991 Anarchy & Flash Production.";"Stolen Data #7";"1991 Anarchy & Flash Production";"0";"S\StolenData07_v1.0_Anarchy&FlashProductions.lha";"StolenData07";"StolenData07";"0";"whdload";"524288";"627333";"StolenData07";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"StolenData08\StolenData08.Slave";"NoError, EmulTrap, ClearMem";"Stolen Data #8 1992 Anarchy.";"Stolen Data #8";"1992 Anarchy";"0";"S\StolenData08_v1.0_Anarchy.lha";"StolenData08";"StolenData08";"0";"whdload";"524288";"1241274";"StolenData08";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Upstream01\Upstream01.Slave";"NoError, EmulTrap, ClearMem";"Upstream #1 ? 1993 Frogs.";"Upstream #1";"1993 Frogs";"0";"U\Upstream01_v1.0_Frogs.lha";"Upstream01";"Upstream01";"0";"whdload";"524288";"1105080";"Upstream01";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"WorldCharts09\WorldCharts09.Slave";"NoError, ClearMem";"Worldcharts 9 ? 1993 The Silents.";"Worldcharts 9";"1993 The Silents";"0";"W\WorldCharts09_v1.0_Silents.lha";"WorldCharts09";"WorldCharts09";"0";"whdload";"524288";"336203";"WorldCharts09";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine01\Zine01.Slave";"NoError, EmulTrap, ClearMem";"Zine #1 1989 Brainstorm.";"Zine #1";"1989 Brainstorm";"0";"Z\Zine01_v1.0_Brainstorm.lha";"Zine01";"Zine01";"0";"whdload";"524288";"315199";"Zine01";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine02\Zine02.Slave";"NoError, ClearMem";"Zine #2 1989 Brainstorm.";"Zine #2";"1989 Brainstorm";"0";"Z\Zine02_v1.0_Brainstorm.lha";"Zine02";"Zine02";"0";"whdload";"524288";"374408";"Zine02";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine03\Zine03.Slave";"NoError, ClearMem";"Zine #3 1990 Brainstorm.";"Zine #3";"1990 Brainstorm";"0";"Z\Zine03_v1.0_Brainstorm.lha";"Zine03";"Zine03";"0";"whdload";"524288";"369413";"Zine03";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine04\Zine04.Slave";"NoError, ClearMem";"Zine #4 1990 Brainstorm.";"Zine #4";"1990 Brainstorm";"0";"Z\Zine04_v1.0_Brainstorm.lha";"Zine04";"Zine04";"0";"whdload";"524288";"564248";"Zine04";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine05\Zine05.slave";"NoError, ClearMem";"Zine #5 1990 Brainstorm.";"Zine #5";"1990 Brainstorm";"0";"Z\Zine05_v1.0a_Brainstorm.lha";"Zine05";"Zine05";"0";"whdload";"524288";"431896";"Zine05";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine06\Zine06.slave";"NoError, ClearMem";"Zine #6 1990 Brainstorm.";"Zine #6";"1990 Brainstorm";"0";"Z\Zine06_v1.0a_Brainstorm.lha";"Zine06";"Zine06";"0";"whdload";"524288";"623064";"Zine06";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine07\Zine07.slave";"NoError, ClearMem";"Zine #7 1990 Brainstorm.";"Zine #7";"1990 Brainstorm";"0";"Z\Zine07_v1.0a_Brainstorm.lha";"Zine07";"Zine07";"0";"whdload";"524288";"762061";"Zine07";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine08\Zine08.Slave";"NoError, EmulTrap, ClearMem";"Zine #8 1991 Brainstorm.";"Zine #8";"1991 Brainstorm";"0";"Z\Zine08_v1.0_Brainstorm.lha";"Zine08";"Zine08";"0";"whdload";"524288";"826086";"Zine08";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine09\Zine09.Slave";"NoError, ClearMem";"Zine #9 1991 Brainstorm.";"Zine #9";"1991 Brainstorm";"0";"Z\Zine09_v1.0_Brainstorm.lha";"Zine09";"Zine09";"0";"whdload";"524288";"776279";"Zine09";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Zine10\Zine10.Slave";"NoError, EmulTrap, ClearMem";"Zine #10 1991 Brainstorm.";"Zine #10";"1991 Brainstorm";"0";"Z\Zine10_v1.0_Brainstorm.lha";"Zine10";"Zine10";"0";"whdload";"524288";"712645";"Zine10";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
