"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords"
"Twintris\Twintris.Slave";"NoError, ClearMem";"Twintris ? 1990 Digital Marketing";"Twintris";"1990 Digital Marketing";"4096";"T\Twintris_v1.1.lha";"Twintris";"Twintris";"0";"whdload";"524288";"393442";"Twintris";"OCS/ECS";"";"";"";"";"";"twintris";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=2050";"2050";"Commercial";"English";"1";"1 or 2, Simultaneous";"Twintris";"Digital Marketing";"t\twintris";"OCS,ECS";"Arcade - Tetris";"twintris twintris 2050 digital marketing twintris english"
"TwinTurbos\TwinTurbos.slave";"NoError, EmulTrap, ClearMem";"Twin Turbos ? 1991 Fun Factory.";"Twin Turbos";"1991 Fun Factory";"0";"T\TwinTurbos_v1.0.lha";"TwinTurbos";"TwinTurbos";"0";"whdload";"524288";"844392";"TwinTurbos";"OCS/ECS";"";"";"";"";"";"twin turbos";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=2550";"2550";"Commercial";"English";"1";"1 or 2, Simultaneous";"Twin Turbos";"Fun Factory";"t\twin-turbos";"OCS,ECS";"Racing - Cars";"twin turbos twinturbos 2550 fun factory twinturbos english"
"TwinWorld\Twinworld.slave";"NoError, EmulTrap, ClearMem";"Twinworld ? 1989 Ubi Soft.";"Twinworld";"1989 Ubi Soft";"0";"T\TwinWorld_v1.2_1294.lha";"TwinWorld";"TwinWorld";"0";"whdload";"524288";"973573";"TwinWorld";"OCS/ECS";"";"";"";"";"";"twinworld land of vision";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1086";"1086";"Commercial";"English";"1";"1 or 2";"Twinworld: Land of Vision";"Ubi Soft";"t\twinworld-land-of-vision";"OCS";"Platformer - Scrolling Screen";"twinworld land of vision twinworldlandofvision 1086 ubi soft twinworldlandofvision english"
"Twylyte\Twylyte.Slave";"NoError, EmulPriv, Examine, EmulDivZero";"Twylyte ? Wicked/Enigma.";"Twylyte";"Wicked";"262144";"T\Twylyte_v1.0a_0746.lha";"Twylyte";"Twylyte";"0";"whdload";"524288";"913932";"Twylyte";"OCS/ECS";"";"";"";"";"";"twylyte";"Exact";"N/A";"Open Amiga Game Database";"1988";"https://oagd.net/game/92289ae5-6292-54ec-9bbd-06a42a8d1d73";;;"English";;"1";"Twylyte";"Wicked";"t\twylyte";;;"twylyte twylyte wicked twylyte english"
"Typhoon\Typhoon.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Typhoon ? 1987 Kingsoft";"Typhoon";"1987 Kingsoft";"262144";"T\Typhoon_v1.0_1361.lha";"Typhoon";"Typhoon";"0";"whdload";"524288";"667399";"Typhoon";"OCS/ECS";"";"";"";"";"";"typhoon";"Exact";"100";"Lemon Amiga";"1987";"http://www.lemonamiga.com/games/details.php?id=2545";"2545";"Commercial";"English";"1";"1 Only";"Typhoon";"Kingsoft";"t\typhoon";"OCS";"";"typhoon typhoon 2545 kingsoft typhoon english"
"TyphoonThompson512kNTSC\TyphoonThompson512kNTSC.slave";"NoError, ClearMem";"Typhoon Thompson ? 1990 Br?derbund";"Typhoon Thompson";"1990 Brøderbund";"4096";"T\TyphoonThompson_v1.1_512k_NTSC_1389.lha";"TyphoonThompson512kNTSC";"TyphoonThompson512kNTSC";"0";"whdload";"524288";"974772";"TyphoonThompson";"OCS/ECS";"";"512k";"";"NTSC";"";"typhoon thompson";"Best";"2.162821";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=3521";"3521";"Commercial";"English";"1";"1 Only";"Typhoon Thompson in Search for the Sea Child";"Brøderbund";"t\typhoon-thompson-in-search-for-the-sea-child";"OCS";"";"typhoon thompson in search for the sea child typhoonthompsoninsearchfortheseachild 3521 brøderbund typhoonthompsoninsearchfortheseachild english"
"TyphoonThompsonNTSC\TyphoonThompsonNTSC.slave";"NoError, ClearMem";"Typhoon Thompson ? 1990 Br?derbund";"Typhoon Thompson";"1990 Brøderbund";"4096";"T\TyphoonThompson_v1.1_NTSC_1389.lha";"TyphoonThompsonNTSC";"TyphoonThompsonNTSC";"0";"whdload";"1024000";"974768";"TyphoonThompson";"OCS/ECS";"";"";"";"NTSC";"";"typhoon thompson";"Best";"2.162821";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=3521";"3521";"Commercial";"English";"1";"1 Only";"Typhoon Thompson in Search for the Sea Child";"Brøderbund";"t\typhoon-thompson-in-search-for-the-sea-child";"OCS";"";"typhoon thompson in search for the sea child typhoonthompsoninsearchfortheseachild 3521 brøderbund typhoonthompsoninsearchfortheseachild english"
"TZer0DemoAGA\TZer0DemoAGA.Slave";"NoError, Req68020, ReqAGA, ClearMem";"T-Zer0 demo ? 1999 clickBOOM";"T-Zer0 Demo";"1999 clickBOOM";"3145728";"T\TZer0Demo_v1.0_AGA.lha";"TZer0DemoAGA";"TZer0DemoAGA";"0";"whdload";"1851392";"29358361";"TZer0";"AGA";"";"";"Demo";"";"";"tzer 0 zer";"Exact";"100";"Lemon Amiga";"1999";"http://www.lemonamiga.com/games/details.php?id=1603";"1603";"Commercial";"English";"";"1 or 2, Simultaneous";"T-Zer0";"PXL Computers";"t\t-zer0-aga";"AGA,CD-ROM";"";"t zer 0 tzer0 1603 pxl computers tzer0 english"
"TZer0DemoNoMovieAGA\TZer0DemoNoMovieAGA.Slave";"NoError, Req68020, ReqAGA, ClearMem";"T-Zer0 demo ? 1999 clickBOOM";"T-Zer0 Demo";"1999 clickBOOM";"3145728";"T\TZer0Demo_v1.0_NoMovie_AGA.lha";"TZer0DemoNoMovieAGA";"TZer0DemoNoMovieAGA";"0";"whdload";"1851392";"11015974";"TZer0DemoNoMovie";"AGA";"";"";"";"";"";"t zero";"Exact";"N/A";"Open Amiga Game Database";"1999";"https://oagd.net/game/9ac986f2-8bc3-5f10-92a5-9d455bc56e8d";;;"English";;"1 - 2 (2 simultaneous)";"T-ZerO";"PXL";"t\t-zero";;;"t zer o tzero pxl tzero english"
"UFOEnemyUnknown\UFOEnemyUnknown.Slave";"NoError, EmulPriv, Examine";"UFO Enemy Unknow (c) Microprose.";"UFO Enemy Unknown";"1994 Microprose";"1310720";"U\UFOEnemyUnknown_v1.0_1677.lha";"UFOEnemyUnknown";"UFOEnemyUnknown";"0";"whdload";"589824";"2970549";"UFOEnemyUnknown";"OCS/ECS";"";"";"";"";"";"ufoenemy unknown ufo enemy";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=1975";"1975";"Commercial";"English,German,French";"";"1 Only";"UFO: Enemy Unknown";"MicroProse Software";"u\ufo-enemy-unknown-cd32";"CD32";"Strategy - Miscellaneous";"ufo enemy unknown ufoenemyunknown 1975 micro prose software ufoenemyunknown english,german,french"
"UFOEnemyUnknownAGA\UFOEnemyUnknownAGA.Slave";"NoError, Req68020, EmulPriv, Examine";"UFO Enemy Unknow (c) Microprose.";"UFO Enemy Unknown";"1994 Microprose";"1572864";"U\UFOEnemyUnknown_v1.1_AGA_0157.lha";"UFOEnemyUnknownAGA";"UFOEnemyUnknownAGA";"0";"whdload";"1572864";"3327720";"UFOEnemyUnknown";"AGA";"";"";"";"";"";"ufoenemy unknown ufo enemy";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=1975";"1975";"Commercial";"English,German,French";"";"1 Only";"UFO: Enemy Unknown";"MicroProse Software";"u\ufo-enemy-unknown-cd32";"CD32";"Strategy - Miscellaneous";"ufo enemy unknown ufoenemyunknown 1975 micro prose software ufoenemyunknown english,german,french"
"UFOEnemyUnknownCD32\UFOEnemyUnknownCD32.Slave";"NoError, Req68020, EmulPriv, Examine";"UFO Enemy Unknow (c) Microprose.";"UFO Enemy Unknown";"1994 Microprose";"1572864";"U\UFOEnemyUnknown_v1.1_CD32.lha";"UFOEnemyUnknownCD32";"UFOEnemyUnknownCD32";"0";"whdload";"1572864";"5563150";"UFOEnemyUnknown";"CD32";"";"";"";"";"";"ufoenemy unknown ufo enemy";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=1975";"1975";"Commercial";"English,German,French";"";"1 Only";"UFO: Enemy Unknown";"MicroProse Software";"u\ufo-enemy-unknown-cd32";"CD32";"Strategy - Miscellaneous";"ufo enemy unknown ufoenemyunknown 1975 micro prose software ufoenemyunknown english,german,french"
"Ugh\Ugh.slave";"NoError, EmulPriv, Examine";"Ugh! ? 1992 PlayByte - Ego Software.";"Ugh";"1992 PlayByte - Ego Software";"786432";"U\Ugh_v1.2_0396.lha";"Ugh";"Ugh";"0";"whdload";"524288";"584916";"Ugh";"OCS/ECS";"";"";"";"";"";"ugh";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1088";"1088";"Commercial";"English";"1";"1 or 2, Simultaneous";"Ugh!";"Play Byte";"u\ugh";"OCS,ECS";"Platformer - Single Screen";"ugh ugh 1088 play byte ugh english"
"Ultima3\Ultima3.Slave";"NoError, EmulPriv, ClearMem, Examine";"Ultima III: Exodus ?1986 Origin Systems";"Ultima III: Exodus";"1986 Origin Systems";"262144";"U\Ultima3_v1.1.lha";"Ultima3";"Ultima3";"0";"whdload";"524288";"336518";"Ultima3";"OCS/ECS";"";"";"";"";"";"ultima 3 exodus";"Exact";"100";"Lemon Amiga";"1986";"http://www.lemonamiga.com/games/details.php?id=1089";"1089";"Commercial";"English";"1";"1 Only";"Ultima III: Exodus";"Origin Systems";"u\ultima-iii-exodus";"OCS";"Adventure - RPG 2D";"ultima 3 exodus ultima3exodus 1089 origin systems ultimaiiiexodus english"
"Ultima4NTSC\Ultima4NTSC.slave";"NoError, EmulPriv, ClearMem, Examine";"Ultima IV: Quest for the Avatar ?1988 Origin Systems";"Ultima IV: Quest of the Avatar";"1988 Origin Systems";"278528";"U\Ultima4_v1.1_NTSC_1390.lha";"Ultima4NTSC";"Ultima4NTSC";"0";"whdload";"524288";"552701";"Ultima4";"OCS/ECS";"";"";"";"NTSC";"";"ultima 4 quest of the avatar";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=1090";"1090";"Commercial";"English";"1";"1 Only";"Ultima IV: Quest of the Avatar";"Origin Systems";"u\ultima-iv-quest-of-the-avatar";"OCS";"Adventure - RPG 2D";"ultima 4 quest of the avatar ultima4questoftheavatar 1090 origin systems ultimaivquestoftheavatar english"
"Ultima5\Ultima5.Slave";"NoError, EmulTrap";"";"Ultima V";"1989 Origin";"0";"U\Ultima5_v1.3_0785.lha";"Ultima5";"Ultima5";"0";"whdload";"524288";"1066027";"Ultima5";"OCS/ECS";"";"";"";"";"";"ultima 5";"Best";"1.829621";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1091";"1091";"Commercial";"English";"2";"1 Only";"Ultima V: Warriors of Destiny";"Origin Systems";"u\ultima-v-warriors-of-destiny";"OCS";"Adventure - RPG 2D";"ultima 5 warriors of destiny ultima5warriorsofdestiny 1091 origin systems ultimavwarriorsofdestiny english"
"Ultima6\Ultima6.Slave";"NoError, EmulPriv, ClearMem, Examine";"Ultima VI: The False Prophet ?1992 Origin";"Ultima VI: The False Prophet";"1992 Origin";"917504";"U\Ultima6_v1.2_0294.lha";"Ultima6";"Ultima6";"0";"whdload";"557056";"2911758";"Ultima6";"OCS/ECS";"";"";"";"";"";"ultima 6 the false prophet";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1250";"1250";"Commercial";"English";"3";"1 Only";"Ultima VI: The False Prophet";"Origin Systems";"u\ultima-vi-the-false-prophet";"OCS,ECS";"Adventure - RPG 2D";"ultima 6 the false prophet ultima6thefalseprophet 1250 origin systems ultimavithefalseprophet english"
