"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords";"AssignName"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine, EmulIllegal";"1221738";"F\FlightOfTheIntruder\FlightOfTheIntruder.Slave";"Flight Of The Intruder ?1991 Spectrum HoloByte";"0";"FlightOfTheIntruder";"Flight Of The Intruder";"1991 Spectrum HoloByte";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightOfTheIntruder";"OCS/ECS";"";"";"";"";"";"flight of the intruder";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=416";"416";"Commercial";"English";"2";"1 Only";"Flight of the Intruder";"Mirrorsoft";"f\flight-of-the-intruder";"OCS,ECS";"Simulation - Flight";"flight of the intruder flightoftheintruder 416 mirrorsoft flightoftheintruder english";"A-Games"
"NoError, EmulPriv, Examine";"598437";"F\FlightPath737\FlightPath737.Slave";"Flight Path 737 ? 1987 Anco.";"0";"FlightPath737";"Flight Path 737";"1987 Anco";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightPath737";"OCS/ECS";"";"";"";"";"";"flight path 737";"Exact";"100";"Lemon Amiga";"1987";"http://www.lemonamiga.com/games/details.php?id=2406";"2406";"Commercial";"English";"1";"1 Only";"Flight Path 737";"Anco";"f\flight-path-737";"OCS";"Simulation - Flight";"flight path 737 flightpath737 2406 anco flightpath737 english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"453541";"F\FlightSim2&SceneryDisk07\FlightSim2&SceneryDisk07.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSim2&SceneryDisk07";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSim2";"OCS/ECS";"";"";"";"";"&SceneryDisk07";"flight sim 2 simulator";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"575858";"F\FlightSim2&SceneryDisk09\FlightSim2&SceneryDisk09.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSim2&SceneryDisk09";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSim2";"OCS/ECS";"";"";"";"";"&SceneryDisk09";"flight sim 2 simulator";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"453541";"F\FlightSim2&SceneryDisk11\FlightSim2&SceneryDisk11.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSim2&SceneryDisk11";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSim2";"OCS/ECS";"";"";"";"";"&SceneryDisk11";"flight sim 2 simulator";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"512933";"F\FlightSim2&SceneryDisk12\FlightSim2&SceneryDisk12.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSim2&SceneryDisk12";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSim2";"OCS/ECS";"";"";"";"";"&SceneryDisk12";"flight sim 2 simulator";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"304305";"F\FlightSim2&SceneryDisk13\FlightSim2&SceneryDisk13.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSim2&SceneryDisk13";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSim2";"OCS/ECS";"";"";"";"";"&SceneryDisk13";"flight sim 2 simulator";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"422982";"F\FlightSim2&SceneryDisk14\FlightSim2&SceneryDisk14.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSim2&SceneryDisk14";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSim2";"OCS/ECS";"";"";"";"";"&SceneryDisk14";"flight sim 2 simulator";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"370589";"F\FlightSimulator2\FlightSimulator2.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSimulator2";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSimulator2";"OCS/ECS";"";"";"";"";"";"flight simulator 2";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, ClearMem, Examine";"393887";"F\FlightSimulator2&Hawaiian\FlightSim2&Hawaiian.Slave";"Flight Simulator II ? 1986 subLOGIC";"0";"FlightSimulator2&Hawaiian";"Flight Simulator II";"1988 subLOGIC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightSimulator2";"OCS/ECS";"";"";"";"";"&Hawaiian";"flight simulator 2";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=417";"417";"Commercial";"English";"1";"";"Flight Simulator II";"subLOGIC";"f\flight-simulator-ii";"OCS";"Simulation - Flight";"flight simulator 2 flightsimulator2 417 sub logic flightsimulatorii english";"A-Games"
"Disk, NoError, EmulTrap";"921930";"F\FlimbosQuest\FlimbosQuest.slave";"Flimbo's Quest ? 1990 System 3.";"0";"FlimbosQuest";"Flimbo";"1990 System 3";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlimbosQuest";"OCS/ECS";"";"";"";"";"";"flimbos quest flimbo";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=418";"418";"Commercial";"English";"1";"1 Only";"Flimbo's Quest";"System 3";"f\flimbos-quest";"OCS";"Platformer - Scrolling Screen";"flimbos quest flimbosquest 418 system 3 flimbosquest english";"A-Games"
"NoError, EmulTrap, ClearMem";"823585";"F\Flintstones\Flintstones.Slave";"The Flintstones by Grandslam/Teque (c) 1988 - 1 disk.";"0";"Flintstones";"The Flintstones";"1988 Grandslam";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flintstones";"OCS/ECS";"";"";"";"";"";"flintstones the";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1306";"1306";"Commercial";"English";"1";"1 Only";"Flintstones, The";"Grandslam";"f\flintstones-the";"OCS";"Arcade - Miscellaneous";"flintstones the flintstonesthe 1306 grandslam flintstonesthe english";"A-Games"
"NoError, EmulPriv, Examine";"36669";"F\FlipFlop\FlipFlop.Slave";"Flip Flop (c) 1987 Kingsoft - 1 disk.";"0";"FlipFlop";"Flip Flop";"1987 Kingsoft";"262144";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlipFlop";"OCS/ECS";"";"";"";"";"";"flip flop";"Exact";"100";"Lemon Amiga";"1987";"http://www.lemonamiga.com/games/details.php?id=3288";"3288";"Commercial";"English";"1";"1 Only";"Flip Flop";"Kingsoft";"f\flip-flop";"OCS";"Board - Miscellaneous";"flip flop flipflop 3288 kingsoft flipflop english";"A-Games"
"Disk, NoError, EmulTrap";"957259";"F\Flipit&Magnose\Flipit&Magnose.slave";"Flip-it & Magnose (c) 1989 Expanding Minds/";"0";"Flipit&Magnose";"";"";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flipit&Magnose";"OCS/ECS";"";"";"";"";"";"flip it magnose water carriers from mars";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=2113";"2113";"Commercial";"English";"1";"1 or 2, Simultaneous";"Flip-it & Magnose: Water Carriers from Mars";"Image Works";"f\flip-it-magnose-water-carriers-from-mars";"OCS,ECS";"Platformer - Single Screen";"flip it magnose water carriers from mars flipitmagnosewatercarriersfrommars 2113 image works flipitmagnosewatercarriersfrommars english";"A-Games"
"NoError, EmulPriv";"917211";"F\Flood\Flood.Slave";"Flood by Electronic Arts/Bullfrog (c) 1990 - 1 disk.";"0";"Flood";"Flood";"1990 Bullfrog";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flood";"OCS/ECS";"";"";"";"";"";"flood";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=419";"419";"Commercial";"English,German,French,Italian";"1";"1 Only";"Flood";"Electronic Arts";"f\flood";"OCS";"Platformer - Scrolling Screen";"flood flood 419 electronic arts flood english,german,french,italian";"A-Games"
"NoError, EmulPriv, Examine";"1272647";"F\Floor13\Floor13.Slave";"Floor 13 ? 1992 P.S.I / Virgin, 2 disks";"0";"Floor13";"Floor 13";"1992 P.S.I. / Virgin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Floor13";"OCS/ECS";"";"";"";"";"";"floor 13";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1402";"1402";"Commercial";"English";"2";"1 Only";"Floor 13";"Virgin Games";"f\floor-13";"OCS,ECS";"Adventure - Miscellaneous";"floor 13 floor13 1402 virgin games floor13 english";"A-Games"
"NoError, EmulTrap, ClearMem";"912926";"F\FluchtAusColditzDe\FluchtAusColditzDe.slave";"Escape from Colditz by Digital Magic Software (c) 1990 - 1 disk.";"0";"FluchtAusColditzDe";"Escape from Colditz";"1990 Digital Magic Software";"548864";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FluchtAusColditz";"OCS/ECS";"De";"";"";"";"";"flucht aus colditz escape from";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=1223";"1223";"Commercial";"English";"1";"1 Only";"Escape from Colditz";"Digital Magic Software";"e\escape-from-colditz";"OCS,ECS";"Adventure - Arcade 3D";"escape from colditz escapefromcolditz 1223 digital magic software escapefromcolditz english";"A-Games"
"NoError, EmulTrap, NoDivZero, ClearMem";"986670";"F\FlyFighter\highs";"Scorpion ? 1989 Digital Magic Software.";"0";"FlyFighter";"Scorpion";"1989 Digital Magic Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlyFighter";"OCS/ECS";"";"";"";"";"";"fly fighter scorpion";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2114";"2114";"Commercial";"English";"1";"1 Only";"Fly Fighter";"Digital Magic Software";"f\fly-fighter";"OCS";"Platformer - Scrolling Screen";"fly fighter flyfighter 2114 digital magic software flyfighter english";"A-Games"
"NoError, EmulTrap";"986670";"F\FlyFighter\FlyFighter.Slave";"Scorpion ? 1989 Digital Magic Software.";"0";"FlyFighter";"Scorpion / Fly Fighter";"1989 Digital Magic Software ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlyFighter";"OCS/ECS";"";"";"";"";"";"fly fighter scorpion";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2114";"2114";"Commercial";"English";"1";"1 Only";"Fly Fighter";"Digital Magic Software";"f\fly-fighter";"OCS";"Platformer - Scrolling Screen";"fly fighter flyfighter 2114 digital magic software flyfighter english";"A-Games"
"NoError";"1365254";"F\FlyHarder\FlyHarder.slave";"Fly Harder (c) 1993 Starbyte - 2 disks/CD32.";"0";"FlyHarder";"Fly Harder";"1993 Starbyte";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlyHarder";"OCS/ECS";"";"";"";"";"";"fly harder";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1751";"1751";"Commercial";"English";"2";"1 Only";"Fly Harder";"Starbyte Software";"f\fly-harder";"OCS,ECS";"";"fly harder flyharder 1751 starbyte software flyharder english";"A-Games"
"NoError, EmulTrap, EmulPriv";"922431";"F\FlyingShark\FlyingShark.Slave";"Flying Shark ? 1988 Taito, FireBird.";"0";"FlyingShark";"Flying Shark";"1988 Taito , FireBird";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlyingShark";"OCS/ECS";"";"";"";"";"";"flying shark";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=1307";"1307";"Commercial";"English";"1";"1 Only";"Flying Shark";"Firebird";"f\flying-shark";"OCS";"";"flying shark flyingshark 1307 firebird flyingshark english";"A-Games"
"NoError, EmulPriv, Examine";"1331856";"F\FoolsErrand\FoolsErrand.Slave";"Fool's Errand ? 1990 Miles Computing";"0";"FoolsErrand";"Fool";"1990 Miles Computing";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FoolsErrand";"OCS/ECS";"";"";"";"";"";"fools errand fool";"Best";"1,412327";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=2399";"2399";"Commercial";"English";"2";"1 Only";"Fool's Errand, The";"Miles Computing";"f\fools-errand-the";"OCS";"Brain - Puzzle";"fools errand the foolserrandthe 2399 miles computing foolserrandthe english";"A-Games"
"NoError";"489323";"F\FootballerOfTheYear2\FootballerOfTheYear2.slave";"Footballer Of The Year 2 by Gremlin (c) 1989 - 1 disk.";"0";"FootballerOfTheYear2";"Footballer Of The Year 2";"1989 Gremlin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FootballerOfTheYear2";"OCS/ECS";"";"";"";"";"";"footballer of the year 2";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=421";"421";"Commercial";"English";"1";"1 Only";"Footballer of the Year 2";"Gremlin Graphics";"f\footballer-of-the-year-2";"OCS";"Sports - Football/Soccer";"footballer of the year 2 footballeroftheyear2 421 gremlin graphics footballeroftheyear2 english";"A-Games"
"NoError, NoDivZero, EmulPriv, ClearMem, Examine";"1216378";"F\FootballGlory\FootballGlory.Slave";"Football Glory ? 1994 Black Legend";"0";"FootballGlory";"Football Glory (ECS)";"1994 Black Legend";"540672";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FootballGlory";"OCS/ECS";"";"";"";"";"";"football glory";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=2403";"2403";"Commercial";"English";"3";"1 or 2, Simultaneous";"Football Glory";"Black Legend";"f\football-glory-aga";"AGA";"Sports - Football/Soccer";"football glory footballglory 2403 black legend footballglory english";"A-Games"
"NoError, EmulPriv, Examine";"432007";"F\FootballManager2\FootballManager2.Slave";"Football Manager 2 ? 1988 Addictive.";"0";"FootballManager2";"Football Manager 2";"1988 Addictive";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FootballManager2";"OCS/ECS";"";"";"";"";"";"football manager 2";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=1308";"1308";"Commercial";"English";"1";"1 Only";"Football Manager 2";"Prism Leisure";"f\football-manager-2";"OCS";"Sports - Football/Soccer";"football manager 2 footballmanager2 1308 prism leisure footballmanager2 english";"A-Games"
"NoError, EmulPriv, Examine";"927943";"F\FootballManagerWCEd\FootballManagerWCEd.Slave";"Football Manager: World Cup Edition (c) 1990";"0";"FootballManagerWCEd";"Football Manager: World Cup Edition";"1990 Addictive";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FootballManagerWCEd";"OCS/ECS";"";"";"";"";"";"football manager wced world cup edition";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=2405";"2405";"Commercial";"English";"1";"1 Only";"Football Manager: World Cup Edition";"Prism Leisure";"f\football-manager-world-cup-edition";"OCS";"Sports - Football/Soccer";"football manager world cup edition footballmanagerworldcupedition 2405 prism leisure footballmanagerworldcupedition english";"A-Games"
"NoError, EmulPriv, Examine";"927945";"F\FootballManagerWCEdDe\FootballManagerWCEdDe.Slave";"Football Manager: World Cup Edition (c) 1990";"0";"FootballManagerWCEdDe";"Football Manager: World Cup Edition";"1990 Addictive";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FootballManagerWCEd";"OCS/ECS";"De";"";"";"";"";"football manager wced world cup edition";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=2405";"2405";"Commercial";"English";"1";"1 Only";"Football Manager: World Cup Edition";"Prism Leisure";"f\football-manager-world-cup-edition";"OCS";"Sports - Football/Soccer";"football manager world cup edition footballmanagerworldcupedition 2405 prism leisure footballmanagerworldcupedition english";"A-Games"
"NoError, EmulPriv, Examine";"654366";"F\ForgottenMine\ForgottenMine.slave";"Forgotten Mine 1 (c) 199? Damir Arh.";"0";"ForgottenMine";"Forgotten Mine 1";"199? Damir Arh";"1015808";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ForgottenMine";"OCS/ECS";"";"";"";"";"";"forgotten mine 1";"Exact";"100";"Custom Games";"1997";"";"";"Commercial";"English";"1";"1 or 2, Simultaneous";"Forgotten Mine";"Ruppelware";"";"ECS/OCS";"Arcade - Boulder Dash";"forgotten mine forgottenmine ruppelware forgottenmine english";"A-Games"
"EmulTrap, NoDivZero, NoKbd, ClearMem";"1956915";"F\ForgottenWorlds\ForgottenWorlds.Slave";"Forgotten World ? 1988 Arc Developments/Capcom.";"0";"ForgottenWorlds";"Forgotten Worlds";"1988 Arc/Capcom";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ForgottenWorlds";"OCS/ECS";"";"";"";"";"";"forgotten worlds";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=422";"422";"Commercial";"English";"2";"1 or 2, Simultaneous";"Forgotten Worlds";"US Gold";"f\forgotten-worlds";"OCS";"";"forgotten worlds forgottenworlds 422 us gold forgottenworlds english";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"781731";"F\Formula1GrandPrix\Formula1GrandPrix.Slave";"Formula 1 Grand Prix (c) 1989 Cirrus Software/";"0";"Formula1GrandPrix";"Formula 1 Grand Prix";"1989 Cirrus Software/Tynesoft";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Formula1GrandPrix";"OCS/ECS";"";"";"";"";"";"formula 1 grand prix";"Exact";"N/A";"Open Amiga Game Database";"1988";"https://oagd.net/game/8ff32b3b-a2dc-532c-9036-1524249e26cb";"";"";"English";"";"1";"Formula 1 Grand Prix";"MicroValue";"f\formula-1-grand-prix";"";"";"formula 1 grand prix formula1grandprix micro value formula1grandprix english";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"1238298";"F\FormulaOneGrandPrix3Disk\FormulaOneGrandPrix3Disk.Slave";"Formula One Grand Prix (c) 1991 Microprose.";"0";"FormulaOneGrandPrix3Disk";"Formula One Grand Prix";"1991 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FormulaOneGrandPrix";"OCS/ECS";"";"";"";"3Disk";"";"formula one grand prix";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=389";"389";"Commercial";"English";"4";"";"Formula One Grand Prix";"MicroProse Software";"f\formula-one-grand-prix";"OCS,ECS";"Sports - Formula One";"formula one grand prix formulaonegrandprix 389 micro prose software formulaonegrandprix english";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"3248633";"F\FormulaOneGrandPrix4Disk\FormulaOneGrandPrix4Disk.Slave";"Formula One Grand Prix (c) 1991 Microprose.";"0";"FormulaOneGrandPrix4Disk";"Formula One Grand Prix";"1991 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FormulaOneGrandPrix";"OCS/ECS";"";"";"";"4Disk";"";"formula one grand prix";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=389";"389";"Commercial";"English";"4";"";"Formula One Grand Prix";"MicroProse Software";"f\formula-one-grand-prix";"OCS,ECS";"Sports - Formula One";"formula one grand prix formulaonegrandprix 389 micro prose software formulaonegrandprix english";"A-Games"
"NoError, EmulTrap, ClearMem";"876857";"F\FoundationsWaste\FoundationsWaste.Slave";"Foundation's Waste ?1988 Exocet Software";"0";"FoundationsWaste";"Foundation";"1988 Exocet Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FoundationsWaste";"OCS/ECS";"";"";"";"";"";"foundations waste foundation";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=1752";"1752";"Commercial";"English";"1";"";"Foundation's Waste";"Exocet Software";"f\foundations-waste";"OCS";"";"foundations waste foundationswaste 1752 exocet software foundationswaste english";"A-Games"
"Disk";"1617623";"F\FourCrystalsOfTrazere\getlegendsavedisk.slave";"";"1024";"FourCrystalsOfTrazere";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FourCrystalsOfTrazere";"OCS/ECS";"";"";"";"";"";"four crystals of trazere";"Best";"N/A";"Open Amiga Game Database";"1992";"https://oagd.net/amiga/the-four-crystals-of-trazere";"";"";"English";"";"1";"The Four Crystals of Trazere";"Mindscape";"t\the-four-crystals-of-trazere";"";"";"the four crystals of trazere thefourcrystalsoftrazere mindscape thefourcrystalsoftrazere english";"A-Games"
"NoError, EmulTrap";"1617623";"F\FourCrystalsOfTrazere\FourCrystalsOfTrazere.Slave";"";"0";"FourCrystalsOfTrazere";"Legend / The four crystals of Trazere1992 Mindscape";"1992 Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FourCrystalsOfTrazere";"OCS/ECS";"";"";"";"";"";"four crystals of trazere legend the 1992 mindscape";"Best";"N/A";"Open Amiga Game Database";"1992";"https://oagd.net/amiga/the-four-crystals-of-trazere";"";"";"English";"";"1";"The Four Crystals of Trazere";"Mindscape";"t\the-four-crystals-of-trazere";"";"";"the four crystals of trazere thefourcrystalsoftrazere mindscape thefourcrystalsoftrazere english";"A-Games"
"NoError, ClearMem, Examine";"368893";"F\FrancoBaresiWorldCupIt\FrancoBaresiWorldCupIt.Slave";"Kick Off ? 1989 ANCO";"0";"FrancoBaresiWorldCupIt";"Kick Off";"1989 ANCO";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FrancoBaresiWorldCup";"OCS/ECS";"It";"";"";"";"";"franco baresi world cup kick off";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=3509";"3509";"Commercial";"Italian";"1";"1 or 2, Simultaneous";"Franco Baresi World Cup Kick Off";"Anco";"f\franco-baresi-world-cup-kick-off";"OCS";"Sports - Football/Soccer";"franco baresi world cup kick off francobaresiworldcupkickoff 3509 anco francobaresiworldcupkickoff italian";"A-Games"
"NoError, EmulTrap, ClearMem";"833476";"F\Frankenstein\Frankenstein.slave";"Frankenstein by Zeppelin (c) 1992 - 1 disk.";"0";"Frankenstein";"Frankenstein";"1992 Zeppelin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Frankenstein";"OCS/ECS";"";"";"";"";"";"frankenstein";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=425";"425";"Commercial";"English";"1";"1 Only";"Frankenstein";"Zeppelin Games";"f\frankenstein";"OCS,ECS";"Platformer - Multi Screen";"frankenstein frankenstein 425 zeppelin games frankenstein english";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"2278150";"F\FrankoCensoredPl\FrankoCensoredPl.slave";"Franko ? 1994 World Software.";"0";"FrankoCensoredPl";"Franko: The Crazy Revenge!";"1994 World Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Franko";"OCS/ECS";"Pl";"";"";"Censored";"";"franko the crazy revenge";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=2722";"2722";"Commercial";"Polish";"3";"1 Only";"Franko: The Crazy Revenge!";"Mirage";"f\franko-the-crazy-revenge";"OCS,ECS";"";"franko the crazy revenge frankothecrazyrevenge 2722 mirage frankothecrazyrevenge polish";"A-Games"
