"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords";"AssignName"
"NoError, ClearMem";"2349436";"F\FlashbackIt\FlashbackIt.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackIt";"Flashback";"1992 Delphine Software";"425984";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"It";"";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, ClearMem";"2348739";"F\FlashbackLowMem\FlashbackLowMem.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackLowMem";"Flashback";"1992 Delphine Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"";"LowMem";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, ClearMem";"2346192";"F\FlashbackLowMemCz\FlashbackLowMemCz.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackLowMemCz";"Flashback";"1992 Delphine Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"Cz";"LowMem";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, ClearMem";"2349386";"F\FlashbackLowMemDe\FlashbackLowMemDe.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackLowMemDe";"Flashback";"1992 Delphine Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"De";"LowMem";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, ClearMem";"2346104";"F\FlashbackLowMemFr\FlashbackLowMemFr.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackLowMemFr";"Flashback";"1992 Delphine Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"Fr";"LowMem";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, ClearMem";"2349586";"F\FlashbackLowMemIt\FlashbackLowMemIt.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackLowMemIt";"Flashback";"1992 Delphine Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"It";"LowMem";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, ClearMem";"2346356";"F\FlashbackLowMemPl\FlashbackLowMemPl.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackLowMemPl";"Flashback";"1992 Delphine Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"Pl";"LowMem";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, ClearMem";"2346206";"F\FlashbackPl\FlashbackPl.slave";"Flashback ? 1992 Delphine Software";"0";"FlashbackPl";"Flashback";"1992 Delphine Software";"425984";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Flashback";"OCS/ECS";"Pl";"";"";"";"";"flashback";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=414";"414";"Commercial";"English";"4";"1 Only";"Flashback";"US Gold";"f\flashback";"OCS,ECS";"Adventure - Arcade 2D";"flashback flashback 414 us gold flashback english";"A-Games"
"NoError, EmulPriv, Examine";"2902595";"F\FliesAttackOnEarthDe\FliesAttackOnEarthDe.Slave";"Flies-Attack on Earth ? 1994 Rainbow Arts.";"0";"FliesAttackOnEarthDe";"Flies - Attack on Earth";"1994 Rainbow Arts";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FliesAttackOnEarth";"OCS/ECS";"De";"";"";"";"";"flies attack on earth";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=2397";"2397";"Commercial";"German";"4";"1 Only";"Flies: Attack on Earth";"Rainbow Arts";"f\flies-attack-on-earth";"OCS,ECS";"Adventure - Point and Click";"flies attack on earth fliesattackonearth 2397 rainbow arts fliesattackonearth german";"A-Games"
"NoError, EmulPriv, Examine";"8568201";"F\FlightOfTheAmazonQueen\FlightOfTheAmazonQueen.Slave";"Flight Of The Amazon Queen ? 1995 Renegade.";"0";"FlightOfTheAmazonQueen";"Flight Of The Amazon Queen";"1995 Interactive Binary Illusions";"1044480";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FlightOfTheAmazonQueen";"OCS/ECS";"";"";"";"";"";"flight of the amazon queen";"Exact";"100";"Lemon Amiga";"1995";"http://www.lemonamiga.com/games/details.php?id=415";"415";"Commercial";"English,German,French,Italian";"11";"1 Only";"Flight of the Amazon Queen";"Renegade";"f\flight-of-the-amazon-queen";"OCS,ECS";"Adventure - Point and Click";"flight of the amazon queen flightoftheamazonqueen 415 renegade flightoftheamazonqueen english,german,french,italian";"A-Games"
