ArchiveFile;SlaveFile;SlaveOutputFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
MatchOfTheDay.lha;MatchOfTheDayHD\MatchOfTheDay.slave;MatchOfTheDay.lha_MatchOfTheDay.slave.txt;Match of the Day;1992 Zeppelin;560;10;NoError, EmulTrap;1048576;0;59;0
MatrixMarauders.lha;MatrixMaraudersHD\HD.slave;MatrixMarauders.lha_HD.slave.txt;;;776;5;Disk, NoError, EmulTrap;524288;58;59;
MaupitiIsland.lha;MaupitiIslandHd\MaupitiIsland.Slave;MaupitiIsland.lha_MaupitiIsland.Slave.txt;Maupiti Island;1990 Lankhor ;3060;13;NoError, EmulTrap, ClearMem;589824;5f;5d;524288
MaxRally.lha;MaxRallyHD\MaxRally.slave;MaxRally.lha_MaxRally.slave.txt;Max Rally;1998 Fortress;5824;17;NoError, Req68020, EmulPriv, ClearMem, Examine;1572864;0;5d;1179648
Maya.lha;MayaHd\Maya-nofast.Slave;Maya.lha_Maya-nofast.Slave.txt;Maya (Le fetiche);1990 Silmarils;5740;17;NoError, EmulPriv, Examine;589824;0;59;262144
Maya.lha;MayaHd\Maya.slave;Maya.lha_Maya.slave.txt;Maya (Le fetiche);1990 Silmarils;5744;17;NoError, EmulPriv, Examine;524288;0;59;524288
MaydaySquad.lha;MaydaySquadHD\MaydaySquad.slave;MaydaySquad.lha_MaydaySquad.slave.txt;Mayday Squad;19?? TyneSoft;484;10;NoError, EmulTrap, ClearMem;524288;0;59;0
McDonaldLand.lha;McDonaldLand Install\McDonaldLand.slave;McDonaldLand.lha_McDonaldLand.slave.txt;McDonald Land;1992 Virgin;2820;17;NoError, EmulTrap, ClearMem;524288;58;59;4096
MeanArenas.lha;MeanArenasHD\MeanArenas.slave;MeanArenas.lha_MeanArenas.slave.txt;Mean Arenas;1994 ICE;276;10;NoError, EmulTrap;1048576;0;59;0
MeanArenas.lha;MeanArenasHD\MeanArenasCD32.slave;MeanArenas.lha_MeanArenasCD32.slave.txt;Mean Arenas CD??;1994 ICE;280;10;NoError, EmulTrap;1048576;0;59;0
MeanMachine.lha;MeanMachineHD\MeanMachine.slave;MeanMachine.lha_MeanMachine.slave.txt;Mean Machine;1991 Code Masters;1456;17;NoError, EmulTrap;524288;0;59;0
MeanStreets.lha;MeanStreetsHD\MeanStreets.slave;MeanStreets.lha_MeanStreets.slave.txt;Mean Streets;1990 US Gold;880;10;NoError, ClearMem;524288;0;59;0
MegaBall.lha;MegaBall_Install\Megaball.slave;MegaBall.lha_Megaball.slave.txt;MegaBall;1995 Ed Mackey;4804;17;NoError, EmulPriv, Examine;524288;0;59;786432
MegaBall.lha;MegaBall_Install\MegaballAGA.slave;MegaBall.lha_MegaballAGA.slave.txt;MegaBall AGA;1995 Ed Mackey;5696;17;NoError, EmulPriv, Examine;524288;0;59;1048576
MegaBlast.lha;MegaBlastHD\MegaBlast.slave;MegaBlast.lha_MegaBlast.slave.txt;MegaBlast;1995 L.K. Avalon;340;14;NoError, ClearMem;438272;0;59;921600
MegaLoMania.lha;MegaLoMania Install\MegaLoMania.Slave;MegaLoMania.lha_MegaLoMania.Slave.txt;Mega-lo-Mania;1991 Mirrorsoft, Sensible Software;2752;17;NoError;602112;0;59;57344
MegaMotion.lha;MegaMotion Install\MegaMotion.slave;MegaMotion.lha_MegaMotion.slave.txt;Mega Motion;1992-94 Extend Design/Black Legend;1980;16;Disk, NoError, EmulTrap, EmulPriv;720896;0;59;262144
MegaPhoenix.lha;MegaPhoenixHd\MegaPhoenix.slave;MegaPhoenix.lha_MegaPhoenix.slave.txt;Mega Phoenix;1990 Dinamic;1624;10;NoError, EmulTrap, NoDivZero, NoKbd, ClearMem;1048576;0;5d;0
Megatwins.lha;MegaTwins Install\MegaTwins.slave;Megatwins.lha_MegaTwins.slave.txt;Mega Twins;1991 Capcom/US Gold;2424;10;NoError, EmulTrap, ClearMem;524288;58;59;0
MegaTyphoon.lha;MegaTyphoonHD\MegaTyphoon.slave;MegaTyphoon.lha_MegaTyphoon.slave.txt;Mega-Typhoon;1996 Bernhard Braun / Nordlicht Edv;4156;16;NoError, EmulPriv, Examine;1048576;0;5d;458752
Menace.lha;MenaceHD\Menace.slave;Menace.lha_Menace.slave.txt;Menace;1988 Psygnosis;1384;14;NoError, EmulTrap;524288;0;59;4096
MentalImage1.lha;MentalImage1HD\MentalImage1.slave;MentalImage1.lha_MentalImage1.slave.txt;Mental Image Game Disk 1;1991 Mental Image;1412;10;NoError, EmulTrap;524288;0;59;4096
MentalImageGameDisk2.lha;Mental Image II Install\MentalImageII.slave;MentalImageGameDisk2.lha_MentalImageII.slave.txt;Mental Image Game Disk II;1989 Mental Image;1612;10;NoError, EmulTrap, ClearMem;1048576;58;59;0
Mentor.lha;MentorHD\Mentor.slave;Mentor.lha_Mentor.slave.txt;Mentor;1994 MarkSoft;4612;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
Mercenary.lha;Mercenary-install\Mercenary.slave;Mercenary.lha_Mercenary.slave.txt;Mercenary;1986 Novagen;1108;10;Disk, NoError;524288;0;41;0
Mercenary2.lha;Mercenary2-install\Mercenary2.slave;Mercenary2.lha_Mercenary2.slave.txt;Mercenary 2 - Damocles;1990 Novagen;1204;10;Disk, NoError;524288;0;41;0
Mercenary3.lha;Mercenary3 Install\Mercenary3.Slave;Mercenary3.lha_Mercenary3.Slave.txt;Mercenary 3 - The Dion Crisis;1991 Novagen;1148;10;Disk, NoError, EmulTrap;524288;0;41;0
MERCS.lha;Mercs_Install\Mercs.slave;MERCS.lha_Mercs.slave.txt;Mercs;1991 Tiertex;1456;17;NoError, EmulTrap, ClearMem;524288;0;59;0
