"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ClearMem";"Spaced Out Vol. 2 ? 1991 Magnetic Fields.";"1991 Magnetic Fields";"whdload";"0";"Spaced Out Vol. 2";"SpacedOutVol2";"922157";"S\SpacedOutVol2\SpacedOutVol2.Slave";"0";"S\SpacedOutVol2";"524288";"SpacedOutVol2";"OCS/ECS";"";"";"";"";"";"spaced out vol 2 magnetic fields";"Exact";"100";"spaced-out-vol-2-magnetic-fields";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spaced-out-vol-2-magnetic-fields\screen.png";"spaced-out-vol-2-magnetic-fields"
"NoError, EmulTrap, ClearMem";"Spaceship ? 1988 Doctor Mabuse Orgasm Crackings.";"1988 Doctor Mabuse Orgasm Crackings";"whdload";"0";"Spaceship";"Spaceship";"125548";"S\Spaceship\Spaceship.Slave";"0";"S\Spaceship";"524288";"Spaceship";"OCS/ECS";"";"";"";"";"";"spaceship doctor mabuse orgasm crackings";"Exact";"100";"spaceship-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spaceship-doctor-mabuse-orgasm-crackings\screen.gif";"spaceship-doctor-mabuse-orgasm-crackings"
"Disk, NoError, EmulTrap";"Spasmolytic ? 199? Spaceballs.";"";"whdload";"0";"";"Spasmolytic";"912780";"S\Spasmolytic\Spasmolytic.slave";"";"S\Spasmolytic";"524288";"Spasmolytic";"OCS/ECS";"";"";"";"";"";"spasmolytic";"Best";"3.045117";"spasmolytic-spaceballs";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spasmolytic-spaceballs\screen.jpg";"spasmolytic-spaceballs"
"NoError, EmulTrap, ClearMem";"Spellcheck ? 1991 Andromeda.";"1991 Andromeda";"whdload";"0";"Spellcheck";"Spellcheck";"196895";"S\Spellcheck\Spellcheck.Slave";"0";"S\Spellcheck";"524288";"Spellcheck";"OCS/ECS";"";"";"";"";"";"spellcheck andromeda";"Exact";"100";"spellcheck-andromeda";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spellcheck-andromeda\screen.png";"spellcheck-andromeda"
"NoError, EmulTrap, ClearMem";"Tuneshow IV - Spherical Dreams";"1990 The Acoustic Revolution";"whdload";"0";"Tuneshow IV - Spherical Dreams";"SphericalDreams";"920208";"S\SphericalDreams\SphericalDreams.Slave";"0";"S\SphericalDreams";"524288";"SphericalDreams";"OCS/ECS";"";"";"";"";"";"spherical dreams tuneshow 4 the acoustic revolution";"Best";"6.165368";"tuneshow-iv-spherical-dreams-the-acoustic-revolution";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\tuneshow-iv-spherical-dreams-the-acoustic-revolution\screen.png";"tuneshow-iv-spherical-dreams-the-acoustic-revolution"
"NoError, EmulTrap, ClearMem";"Sploosh ? 1993 Anthrox.";"1993 Anthrox";"whdload";"0";"Sploosh";"Sploosh";"2724598";"S\Sploosh\Sploosh.Slave";"524288";"S\Sploosh";"524288";"Sploosh";"OCS/ECS";"";"";"";"";"";"sploosh anthrox";"Exact";"100";"sploosh-anthrox";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sploosh-anthrox\screen.jpg";"sploosh-anthrox"
"NoError, EmulTrap, ClearMem";"Sploosh 1.5 - Pond ? 1994 Anthrox.";"1994 Anthrox";"whdload";"0";"Sploosh 1.5 - Pond";"Sploosh15Pond";"1821281";"S\Sploosh15Pond\Sploosh15Pond.Slave";"524288";"S\Sploosh15Pond";"524288";"Sploosh15Pond";"OCS/ECS";"";"";"";"";"";"sploosh 15 pond 1 5 anthrox";"Best";"4.89975";"pond-sploosh-15-anthrox";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\p\pond-sploosh-15-anthrox\screen.png";"pond-sploosh-15-anthrox"
"Disk, NoError";"Spring Melodies ? 1992 Anarchy (2 disks)";"1992 Anarchy";"whdload";"0";"Spring Melodies";"SpringMelodies";"1812824";"S\SpringMelodies\SpringMelodies.slave";"4096";"S\SpringMelodies";"1048576";"SpringMelodies";"OCS/ECS";"";"";"";"";"";"spring melodies anarchy";"Exact";"100";"spring-melodies-anarchy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spring-melodies-anarchy\screen.png";"spring-melodies-anarchy"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag1";"926144";"S\Stag1\Stag1.slave";"0";"S\Stag1";"524288";"Stag1";"OCS/ECS";"";"";"";"";"";"stag 1 bnk team";"Exact";"100";"stag-1-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-1-bnk-team\screen.jpg";"stag-1-bnk-team"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag2";"926144";"S\Stag2\Stag2.slave";"0";"S\Stag2";"524288";"Stag2";"OCS/ECS";"";"";"";"";"";"stag 2 bnk team";"Exact";"100";"stag-2-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-2-bnk-team\screen.jpg";"stag-2-bnk-team"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag3";"926144";"S\Stag3\Stag3.slave";"0";"S\Stag3";"524288";"Stag3";"OCS/ECS";"";"";"";"";"";"stag 3 bnk team";"Exact";"100";"stag-3-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-3-bnk-team\screen.jpg";"stag-3-bnk-team"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag4";"926144";"S\Stag4\Stag4.slave";"0";"S\Stag4";"524288";"Stag4";"OCS/ECS";"";"";"";"";"";"stag 4 bnk team";"Exact";"100";"stag-4-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-4-bnk-team\screen.jpg";"stag-4-bnk-team"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag5";"926144";"S\Stag5\Stag5.slave";"0";"S\Stag5";"524288";"Stag5";"OCS/ECS";"";"";"";"";"";"stag 5 bnk team";"Exact";"100";"stag-5-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-5-bnk-team\screen.jpg";"stag-5-bnk-team"
