"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ClearMem";"Chip Music Festival ? 1990 Magnetic Fields.";"1990 Magnetic Fields";"whdload";"0";"Chip Music Festival";"ChipMusicFestival";"920426";"C\ChipMusicFestival\ChipMusicFestival.Slave";"0";"C\ChipMusicFestival";"524288";"ChipMusicFestival";"OCS/ECS";"";"";"";"";"";"chip music festival magnetic fields";"Exact";"100";"chip-music-festival-magnetic-fields";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\chip-music-festival-magnetic-fields\screen.gif";"chip-music-festival-magnetic-fields"
"NoError, EmulTrap, ClearMem";"Chords ? 1991 Foundation.";"1991 Foundation";"whdload";"0";"Chords";"Chords";"920565";"C\Chords\Chords.Slave";"0";"C\Chords";"524288";"Chords";"OCS/ECS";"";"";"";"";"";"chords foundation";"Exact";"100";"chords-foundation";"C:\Work\First Realize\amiga-demo-database\jasdd\c\chords-foundation\screen_001.png";"chords-foundation"
"NoError, EmulTrap, ClearMem";"Chromagic ? 1993 Dual Crew Shining.";"1993 Dual Crew Shining";"whdload";"0";"Chromagic";"Chromagic";"1143425";"C\Chromagic\Chromagic.Slave";"524288";"C\Chromagic";"524288";"Chromagic";"OCS/ECS";"";"";"";"";"";"chromagic dual crew shining";"Exact";"100";"chromagic-dual-crew-shining";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\chromagic-dual-crew-shining\screen.png";"chromagic-dual-crew-shining"
"NoError, EmulTrap, ClearMem";"Circle Scroller ? 1989 United Forces.";"1989 United Forces";"whdload";"0";"Circle Scroller";"CircleScroller";"124351";"C\CircleScroller\CircleScroller.Slave";"0";"C\CircleScroller";"524288";"CircleScroller";"OCS/ECS";"";"";"";"";"";"circle scroller united forces";"Best";"4.199525";"circle-scroller-a-new-great-demo-united-forces";"C:\Work\First Realize\amiga-demo-database\jasdd\c\circle-scroller-a-new-great-demo-united-forces\screen_001.png";"circle-scroller-a-new-great-demo-united-forces"
"NoError, EmulTrap, ClearMem";"Clapping World ? 1989 Subway.";"1989 Subway";"whdload";"0";"Clapping Hands";"ClappingWorld";"919331";"C\ClappingWorld\ClappingWorld.Slave";"0";"C\ClappingWorld";"524288";"ClappingWorld";"OCS/ECS";"";"";"";"";"";"clapping world hands subway";"Best";"3.38802";"clapping-world-subway";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\clapping-world-subway\screen.png";"clapping-world-subway"
"NoError, EmulTrap, ClearMem";"Coca Cola Demo ? 1989 Fraxion.";"1989 Fraxion";"whdload";"0";"Coca Cola Demo";"CocaColaDemo";"311911";"C\CocaColaDemo\CocaColaDemo.Slave";"0";"C\CocaColaDemo";"524288";"CocaCola";"OCS/ECS";"";"";"Demo";"";"";"coca cola demo fraxion";"Best";"4.391508";"coca-cola-fraxion";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\coca-cola-fraxion\screen.jpg";"coca-cola-fraxion"
"Disk, NoError, EmulTrap";"an Intro written in 1989 by The Code Killers GDR.";"1989 Code Killers";"whdload";"0";"Code Killers Intro";"CodeKillersIntro";"204566";"C\CodeKillersIntro\CodeKillersIntro.slave";"0";"C\CodeKillersIntro";"524288";"CodeKillers";"OCS/ECS";"";"";"";"Intro";"";"demo the code killers gdr";"Exact";"100";"demo-the-code-killers-gdr";"C:\Work\First Realize\amiga-demo-database\jasdd\d\demo-the-code-killers-gdr\screen_001.png";"demo-the-code-killers-gdr"
"NoError, EmulTrap, ClearMem";"The Codertrash ? 1991 Mexx.";"1991 Mexx";"whdload";"0";"The Codertrash";"Codertrash";"324130";"C\Codertrash\Codertrash.Slave";"0";"C\Codertrash";"524288";"Codertrash";"OCS/ECS";"";"";"";"";"";"codertrash the mexx";"Best";"5.481855";"the-codertrash-mexx";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-codertrash-mexx\screen_001.png";"the-codertrash-mexx"
"NoError, EmulTrap, ClearMem";"Color Crime 1992 X-Trade.";"1992 X-Trade";"whdload";"0";"Color Crime";"ColorCrime";"1820117";"C\ColorCrime\ColorCrime.Slave";"0";"C\ColorCrime";"524288";"ColorCrime";"OCS/ECS";"";"";"";"";"";"color crime trade";"Best";"4.829405";"color-crime-x-trade";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\color-crime-x-trade\screen.png";"color-crime-x-trade"
"NoError, EmulTrap, ClearMem";"Colors ? 1991 Devils";"1991 Devils";"whdload";"0";"Colors";"Colors";"923619";"C\Colors\Colors.Slave";"270336";"C\Colors";"524288";"Colors";"OCS/ECS";"";"";"";"";"";"colors devils";"Exact";"100";"colors-devils";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\colors-devils\screen.png";"colors-devils"
"NoError, ClearMem";"Coma ? 1990 Rebels";"1990 Rebels";"whdload";"0";"Coma";"Coma";"248650";"C\Coma\Coma.Slave";"4096";"C\Coma";"524288";"Coma";"OCS/ECS";"";"";"";"";"";"coma rebels";"Exact";"100";"coma-rebels";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\coma-rebels\screen.png";"coma-rebels"
"NoError, EmulTrap, ClearMem";"Compact Music Disk 1 1990 Semtex.";"1990 Semtex";"whdload";"0";"Compact Music Disk 1";"CompactMusicDisk1";"750834";"C\CompactMusicDisk1\CompactMusicDisk1.Slave";"0";"C\CompactMusicDisk1";"524288";"CompactMusicDisk1";"OCS/ECS";"";"";"";"";"";"compact music disk 1 semtex";"Exact";"100";"compact-music-disk-1-semtex";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\compact-music-disk-1-semtex\screen.jpg";"compact-music-disk-1-semtex"
"NoError";"Compilation Disk ? 1990 PowerLords.";"PowerLords";"whdload";"0";"Compilation Disk";"CompilationDisk";"884940";"C\CompilationDisk\CompilationDisk.Slave";"0";"C\CompilationDisk";"524288";"CompilationDisk";"OCS/ECS";"";"";"";"";"";"compilation disk power lords";"Exact";"100";"compilation-disk-powerlords";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Demos Custom\compilation-disk-powerlords\screen_001.png";"compilation-disk-powerlords"
"NoError, EmulTrap, ClearMem";"The Complete ? 1992 Talent.";"1992 Talent";"whdload";"0";"The Complete";"Complete";"918874";"C\Complete\Complete.Slave";"0";"C\Complete";"524288";"Complete";"OCS/ECS";"";"";"";"";"";"the complete talent";"Exact";"100";"the-complete-talent";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-complete-talent\screen.png";"the-complete-talent"
"NoError, EmulTrap, ClearMem";"Concept Criminosical ? 1993 Ruthless.";"1993 Ruthless";"whdload";"0";"Concept Criminosical";"ConceptCriminosical";"547841";"C\ConceptCriminosical\ConceptCriminosical.Slave";"0";"C\ConceptCriminosical";"524288";"ConceptCriminosical";"OCS/ECS";"";"";"";"";"";"concept criminosical ruthless";"Exact";"100";"concept-criminosical-ruthless";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\concept-criminosical-ruthless\screen.png";"concept-criminosical-ruthless"
"NoError, EmulPriv, Examine";"";"BRONX!";"whdload";"0";"Contact intro";"ContactIntro";"218022";"C\ContactIntro\ContactIntro.Slave";"262144";"C\ContactIntro";"524288";"Contact";"OCS/ECS";"";"";"";"Intro";"";"ankara section contact intro bronx";"Exact";"100";"ankara-section-contact-intro-bronx";"C:\Work\First Realize\amiga-demo-database\jasdd\a\ankara-section-contact-intro-bronx\screen_001.png";"ankara-section-contact-intro-bronx"
"NoError, EmulTrap";"Contravention (c) 1992 Reality - 1 disk. Download from";"1992 Reality";"whdload";"0";"Contravention";"Contravention";"201757";"C\Contravention\Contravention.Slave";"524288";"C\Contravention";"524288";"Contravention";"OCS/ECS";"";"";"";"";"";"contravention reality";"Exact";"100";"contravention-reality";"C:\Work\First Realize\amiga-demo-database\jasdd\c\contravention-reality\screen_001.PNG";"contravention-reality"
"Disk, NoError, Req68020, ReqAGA";"";"1995 Oxygene";"whdload";"0";"Control";"ControlAGA";"1814269";"C\ControlAGA\ControlAGA.slave";"802816";"C\ControlAGA";"2088960";"Control";"AGA";"";"";"";"";"";"control aga oxygene";"Best";"3.231266";"control-oxygene";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\control-oxygene\screen.jpg";"control-oxygene"
"NoError, EmulTrap, ClearMem";"Coppermaster, ?1990 Angels";"1990 Angels";"whdload";"0";"Copper Master";"CopperMaster";"161143";"C\CopperMaster\CopperMaster.slave";"0";"C\CopperMaster";"524288";"CopperMaster";"OCS/ECS";"";"";"";"";"";"copper master angels";"Exact";"100";"copper-master-angels";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\copper-master-angels\screen.jpg";"copper-master-angels"
"NoError, EmulTrap, ClearMem";"Copper Slave ? 1992 Ram Jam.";"1992 Ram Jam";"whdload";"0";"Copper Slave";"CopperSlave";"174645";"C\CopperSlave\CopperSlave.Slave";"524288";"C\CopperSlave";"524288";"CopperSlave";"OCS/ECS";"";"";"";"";"";"copper slave ram jam";"Exact";"100";"copper-slave-ram-jam";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\copper-slave-ram-jam\screen.png";"copper-slave-ram-jam"
"NoError";"Crayon Shinchan ? 1993 Melon Dezign - 1 disk";"1993 Melon Dezign";"whdload";"0";"Crayon Shinchan";"CrayonShinchan";"913386";"C\CrayonShinchan\CrayonShinchan.Slave";"0";"C\CrayonShinchan";"528384";"CrayonShinchan";"OCS/ECS";"";"";"";"";"";"crayon shinchan melon dezign";"Exact";"100";"crayon-shinchan-melon-dezign";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\crayon-shinchan-melon-dezign\screen.gif";"crayon-shinchan-melon-dezign"
"NoError, Req68020, ReqAGA, ClearMem";"Crazy Sexy Cool ? 1995 Essence";"1995 Essence";"whdload";"0";"Crazy Sexy Cool";"CrazySexyCoolAGA";"891644";"C\CrazySexyCoolAGA\CrazySexyCoolAGA.Slave";"1511424";"C\CrazySexyCoolAGA";"1138688";"CrazySexyCool";"AGA";"";"";"";"";"";"crazy sexy cool aga essence";"Best";"4.482394";"crazy-sexy-cool-essence";"C:\Work\First Realize\amiga-demo-database\jasdd\c\crazy-sexy-cool-essence\screen_001.png";"crazy-sexy-cool-essence"
"NoError, EmulTrap, ClearMem";"Crazy Sounds 2 ? 1989 Team-X.";"1989 Team-X";"whdload";"0";"Crazy Sounds 2";"CrazySounds2";"1191289";"C\CrazySounds2\CrazySounds2.Slave";"0";"C\CrazySounds2";"524288";"CrazySounds2";"OCS/ECS";"";"";"";"";"";"crazy sounds 2 team";"Best";"3.989828";"crazy-sounds-2-team-x";"C:\Work\First Realize\amiga-demo-database\jasdd\c\crazy-sounds-2-team-x\screen_001.png";"crazy-sounds-2-team-x"
"NoError, EmulTrap, ClearMem";"Creamy Cranium 1 ? 1991 Strangers.";"1991 Strangers";"whdload";"0";"Creamy Cranium 1";"CreamyCranium1";"919611";"C\CreamyCranium1\CreamyCranium1.Slave";"0";"C\CreamyCranium1";"524288";"CreamyCranium1";"OCS/ECS";"";"";"";"";"";"creamy cranium 1 strangers";"Exact";"100";"creamy-cranium-1-strangers";"C:\Work\First Realize\amiga-demo-database\jasdd\c\creamy-cranium-1-strangers\screen_001.png";"creamy-cranium-1-strangers"
"NoError, EmulTrap, ClearMem";"Crystal Symphonies ? 1991 Phenomena, Scoopex,";"1991 Phenomena, Scoopex, Rebels";"whdload";"0";"Crystal Symphonies";"CrystalSymphonies";"914235";"C\CrystalSymphonies\CrystalSymphonies.slave";"0";"C\CrystalSymphonies";"524288";"CrystalSymphonies";"OCS/ECS";"";"";"";"";"";"crystal symphonies phenomena";"Exact";"100";"crystal-symphonies-phenomena";"C:\Work\First Realize\amiga-demo-database\jasdd\c\crystal-symphonies-phenomena\screen_001.png";"crystal-symphonies-phenomena"
"NoError, EmulTrap, ClearMem";"Crystal Symphonies 2 ? 1992 Phenomena - 1 disk";"1992 Phenomena";"whdload";"0";"Crystal Symphonies 2";"CrystalSymphonies2";"914270";"C\CrystalSymphonies2\CrystalSymphonies2.slave";"0";"C\CrystalSymphonies2";"524288";"CrystalSymphonies2";"OCS/ECS";"";"";"";"";"";"crystal symphonies 2 phenomena";"Exact";"100";"crystal-symphonies-2-phenomena";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\crystal-symphonies-2-phenomena\screen.png";"crystal-symphonies-2-phenomena"
"NoError, EmulTrap, ClearMem";"Cutcreations ? 1992 Static Bytes.";"1992 Static Bytes";"whdload";"0";"Cutcreations";"Cutcreations";"909655";"C\Cutcreations\Cutcreations.Slave";"0";"C\Cutcreations";"524288";"Cutcreations";"OCS/ECS";"";"";"";"";"";"cutcreations static bytes";"Exact";"100";"cutcreations-static-bytes";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\cutcreations-static-bytes\screen.png";"cutcreations-static-bytes"
"NoError, EmulTrap, ClearMem";"Cyber Sounds 1991 Bastards.";"1991 Bastards";"whdload";"0";"Cyber Sounds";"CyberSounds";"920121";"C\CyberSounds\CyberSounds.Slave";"0";"C\CyberSounds";"524288";"CyberSounds";"OCS/ECS";"";"";"";"";"";"cyber sounds bastards";"Exact";"100";"cyber-sounds-bastards";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\c\cyber-sounds-bastards\screen.png";"cyber-sounds-bastards"
"NoError, EmulTrap, ClearMem";"Dance Diverse Vol.1 ? 1993 Majic 12.";"1993 Majic 12";"whdload";"0";"Dance Diverse Vol.1";"DanceDiverseVol1";"887129";"D\DanceDiverseVol1\DanceDiverseVol1.Slave";"524288";"D\DanceDiverseVol1";"524288";"DanceDiverseVol1";"OCS/ECS";"";"";"";"";"";"dance diverse vol 1 majic 12";"Exact";"100";"dance-diverse-vol-1-majic-12";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\dance-diverse-vol-1-majic-12\screen.jpg";"dance-diverse-vol-1-majic-12"
"NoError, EmulTrap, ClearMem";"Dance Trance ? 1992 Interactive.";"1992 Interactive";"whdload";"0";"Dance Trance";"DanceTrance";"919039";"D\DanceTrance\DanceTrance.Slave";"0";"D\DanceTrance";"524288";"DanceTrance";"OCS/ECS";"";"";"";"";"";"dance trance interactive";"Best";"6.716133";"dance-trance-i-interactive";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\dance-trance-i-interactive\screen.png";"dance-trance-i-interactive"
"NoError, EmulTrap, ClearMem";"Dance Trance 2 ? 1993 Interactive.";"1993 Interactive";"whdload";"0";"Dance Trance 2";"DanceTrance2";"1820064";"D\DanceTrance2\DanceTrance2.Slave";"524288";"D\DanceTrance2";"524288";"DanceTrance2";"OCS/ECS";"";"";"";"";"";"dance trance ii interactive";"Exact";"100";"dance-trance-ii-interactive";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\dance-trance-ii-interactive\screen.png";"dance-trance-ii-interactive"
"Disk, NoError, EmulTrap";"D.A.N.E. ? 1993 Kefrens.";"";"whdload";"0";"";"DANE";"911383";"D\DANE\DANE.slave";"";"D\DANE";"1048576";"DANE";"OCS/ECS";"";"";"";"";"";"dane";"Best";"3.139756";"dane-kefrens";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\dane-kefrens\screen.png";"dane-kefrens"
"NoError, EmulTrap, ClearMem";"Danish Know-How ? 1990 Flash Production.";"1990 Flash Production";"whdload";"0";"Danish Know-How";"DanishKnowHow";"542430";"D\DanishKnowHow\DanishKnowHow.Slave";"0";"D\DanishKnowHow";"524288";"DanishKnowHow";"OCS/ECS";"";"";"";"";"";"danish know how flash production";"Exact";"100";"danish-know-how-flash-production";"C:\Work\First Realize\amiga-demo-database\jasdd\d\danish-know-how-flash-production\screen_001.png";"danish-know-how-flash-production"
"NoError, EmulTrap, ClearMem";"Darkroom ? 1994 Stellar.";"1994 Stellar";"whdload";"0";"Darkroom";"Darkroom";"60493";"D\Darkroom\Darkroom.Slave";"0";"D\Darkroom";"524288";"Darkroom";"OCS/ECS";"";"";"";"";"";"darkroom stellar";"Exact";"100";"darkroom-stellar";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\darkroom-stellar\screen.jpg";"darkroom-stellar"
"NoError, Req68020, ReqAGA, ClearMem";"Darkside ? 1996 The Black Lotus";"1996 The Black Lotus";"whdload";"0";"Darkside";"DarksideAGA";"1741592";"D\DarksideAGA\DarksideAGA.Slave";"3899392";"D\DarksideAGA";"1875968";"Darkside";"AGA";"";"";"";"";"";"darkside aga the black lotus";"Best";"3.353651";"darkside-the-black-lotus";"C:\Work\First Realize\amiga-demo-database\jasdd\d\darkside-the-black-lotus\screen_001.png";"darkside-the-black-lotus"
"NoError, EmulTrap, ClearMem";"Darktro ? 1992 Darkness.";"1992 Darkness";"whdload";"0";"Darktro";"Darktro";"72794";"D\Darktro\Darktro.Slave";"0";"D\Darktro";"524288";"Darktro";"OCS/ECS";"";"";"";"";"";"darktro darkness";"Best";"1.586997";"demo-pack-1-darkness";"C:\Work\First Realize\amiga-demo-database\jasdd\d\demo-pack-1-darkness\screen_001.png";"demo-pack-1-darkness"
"NoError, ClearMem";"Day Of Reckoning ? 1992 Digital";"1992 Digital";"whdload";"0";"The Day Of Reckoning";"DayOfReckoning";"843044";"D\DayOfReckoning\DayOfReckoning.Slave";"4096";"D\DayOfReckoning";"524288";"DayOfReckoning";"OCS/ECS";"";"";"";"";"";"day of reckoning the digital";"Best";"5.077148";"day-of-reckoning-digital";"C:\Work\First Realize\amiga-demo-database\jasdd\d\day-of-reckoning-digital\screen_001.png";"day-of-reckoning-digital"
"NoError, EmulTrap";"Deadly Jammin 2 ? 1989 Deathstar.";"1989 Deathstar";"whdload";"0";"Deadly Jammin II";"DeadlyJammin2";"912669";"D\DeadlyJammin2\DeadlyJammin2.Slave";"0";"D\DeadlyJammin2";"524288";"DeadlyJammin2";"OCS/ECS";"";"";"";"";"";"deadly jammin 2 deathstar";"Exact";"100";"deadly-jammin-2-deathstar";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\deadly-jammin-2-deathstar\screen.png";"deadly-jammin-2-deathstar"
"Disk, NoError, EmulTrap, ClearMem";"Decaying Paradise ? 1991 Andromeda";"1991 Andromeda";"whdload";"0";"Decaying Paradise";"DecayingParadise";"919025";"D\DecayingParadise\DecayingParadise.Slave";"270336";"D\DecayingParadise";"524288";"DecayingParadise";"OCS/ECS";"";"";"";"";"";"decaying paradise andromeda";"Exact";"100";"decaying-paradise-andromeda";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\decaying-paradise-andromeda\screen.png";"decaying-paradise-andromeda"
"NoError, EmulTrap, ClearMem";"Decibel Overload ? 1992 Cue-X.";"1992 Cue-X";"whdload";"0";"Decibel Overload";"DecibelOverload";"920268";"D\DecibelOverload\DecibelOverload.Slave";"0";"D\DecibelOverload";"524288";"DecibelOverload";"OCS/ECS";"";"";"";"";"";"decibel overload cue";"Best";"6.427716";"decibel-overload-cue-x";"C:\Work\First Realize\amiga-demo-database\jasdd\d\decibel-overload-cue-x\screen_001.png";"decibel-overload-cue-x"
"NoError, EmulTrap, ClearMem";"Deepcore ? 1992 Balance.";"1992 Balance";"whdload";"0";"Deepcore";"Deepcore";"528089";"D\Deepcore\Deepcore.Slave";"0";"D\Deepcore";"524288";"Deepcore";"OCS/ECS";"";"";"";"";"";"deepcore balance";"Exact";"100";"deep-core-balance";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\deep-core-balance\screen.jpg";"deep-core-balance"
"Disk, NoError, EmulTrap";"Deformations ? 1992 Deform.";"";"whdload";"0";"";"Deformations";"917495";"D\Deformations\Deformations.slave";"";"D\Deformations";"524288";"Deformations";"OCS/ECS";"";"";"";"";"";"deformations";"Best";"3.139756";"deformations-deform";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\deformations-deform\screen.png";"deformations-deform"
"NoError, EmulTrap";"Deja Vu by Anarchy (c) 1992 - 1 disk.";"1992 Anarchy";"whdload";"0";"Deja Vu";"DejaVu";"677653";"D\DejaVu\DejaVu.slave";"4096";"D\DejaVu";"524288";"DejaVu";"OCS/ECS";"";"";"";"";"";"deja vu anarchy";"Exact";"100";"deja-vu-anarchy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\deja-vu-anarchy\screen.gif";"deja-vu-anarchy"
"NoError, EmulTrap";"Delicate Sounds ? 1990 Razor 1911.";"1990 Razor 1911";"whdload";"0";"Delicate Sounds";"DelicateSounds";"913460";"D\DelicateSounds\DelicateSounds.Slave";"0";"D\DelicateSounds";"524288";"DelicateSounds";"OCS/ECS";"";"";"";"";"";"delicate sounds razor";"Best";"5.273128";"delicate-sounds-razor-1911";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\delicate-sounds-razor-1911\screen.png";"delicate-sounds-razor-1911"
"NoError, EmulTrap, ClearMem";"Delirium ? 1990 Fraxion.";"1990 Fraxion";"whdload";"0";"Delirium";"Delirium";"162979";"D\Delirium\Delirium.Slave";"0";"D\Delirium";"524288";"Delirium";"OCS/ECS";"";"";"";"";"";"delirium fraxion";"Exact";"100";"delirium-fraxion";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\delirium-fraxion\screen.jpg";"delirium-fraxion"
"NoError, EmulTrap, ClearMem";"Delirium ? 1992 Deform.";"1992 Deform";"whdload";"0";"Delirium";"DeliriumDeform";"797260";"D\DeliriumDeform\DeliriumDeform.Slave";"0";"D\DeliriumDeform";"524288";"DeliriumDeform";"OCS/ECS";"";"";"";"";"";"delirium deform";"Exact";"100";"delirium-deform";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\delirium-deform\screen.jpg";"delirium-deform"
"NoError, EmulTrap, ClearMem";"Delirium ? 1990 Fraxion.";"1990 Fraxion";"whdload";"0";"Delirium";"DeliriumFraxion";"162986";"D\DeliriumFraxion\DeliriumFraxion.Slave";"0";"D\DeliriumFraxion";"524288";"DeliriumFraxion";"OCS/ECS";"";"";"";"";"";"delirium fraxion";"Exact";"100";"delirium-fraxion";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\delirium-fraxion\screen.jpg";"delirium-fraxion"
"NoError, EmulTrap, ClearMem";"Demodisk 1 1989 Apology.";"1989 Apology";"whdload";"0";"Demodisk 1";"DemoDiskOne";"641801";"D\DemoDiskOne\DemodiskOne.Slave";"0";"D\DemoDiskOne";"524288";"DemoDiskOne";"OCS/ECS";"";"";"";"";"";"demo disk 1 apology";"Exact";"100";"demo-disk-1-apology";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Demos Custom\demo-disk-1-apology\screen_001.png";"demo-disk-1-apology"
"NoError, EmulTrap, ClearMem";"Demo Disk ? 1988 Quest.";"1988 Quest";"whdload";"0";"Demo Disk";"DemoDiskQuest";"716185";"D\DemoDiskQuest\DemoDiskQuest.Slave";"0";"D\DemoDiskQuest";"524288";"DemoDiskQuest";"OCS/ECS";"";"";"";"";"";"demo disk quest";"Exact";"100";"demo-disk-quest";"C:\Work\First Realize\amiga-demo-database\jasdd\d\demo-disk-quest\screen_001.png";"demo-disk-quest"
"NoError, EmulTrap, ClearMem";"Demo Disk ? 1989 Subway.";"1989 Subway";"whdload";"0";"Demo Disk";"DemoDiskSubway";"888140";"D\DemoDiskSubway\DemoDiskSubway.Slave";"0";"D\DemoDiskSubway";"524288";"DemoDiskSubway";"OCS/ECS";"";"";"";"";"";"demo disk subway";"Exact";"100";"demo-disk-subway";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\demo-disk-subway\screen.jpg";"demo-disk-subway"
"NoError";"";"Mute101";"whdload";"0";"Demo";"DemoMute101";"69253";"D\DemoMute101\DemoMute101.Slave";"0";"D\DemoMute101";"524288";"DemoMute101";"OCS/ECS";"";"";"";"";"";"demo mute 101";"Best";"5.98267";"minimeeting-demo-mute-101";"C:\Work\First Realize\amiga-demo-database\jasdd\m\minimeeting-demo-mute-101\screen_001.PNG";"minimeeting-demo-mute-101"
"Disk, NoError, NoDivZero";"Demon Download ? 1993 Silents DK.";"1993 Silents DK";"whdload";"0";"Demon Download";"DemonDownload";"1814033";"D\DemonDownload\DemonDownload.Slave";"524288";"D\DemonDownload";"524288";"DemonDownload";"OCS/ECS";"";"";"";"";"";"demon download silents dk";"Best";"3.581973";"demon-download-the-silents";"C:\Work\First Realize\amiga-demo-database\jasdd\d\demon-download-the-silents\screen_001.png";"demon-download-the-silents"
"NoError, EmulTrap, ClearMem";"the famous Demons Are Forever ? 1988 D.O.C.";"1988 D.O.C.";"whdload";"0";"Demons Are Forever";"DemonsAreForever";"157941";"D\DemonsAreForever\DemonsAreForever.Slave";"4096";"D\DemonsAreForever";"524288";"DemonsAreForever";"OCS/ECS";"";"";"";"";"";"demons are forever";"Best";"2.719679";"demons-are-forever-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\jasdd\d\demons-are-forever-doctor-mabuse-orgasm-crackings\screen_001.PNG";"demons-are-forever-doctor-mabuse-orgasm-crackings"
"NoError, EmulTrap, ClearMem";"Demon's Rage 1993 Nerve Axis.";"1993 Nerve Axis";"whdload";"0";"Demon";"DemonsRage";"447897";"D\DemonsRage\DemonsRage.slave";"0";"D\DemonsRage";"524288";"DemonsRage";"OCS/ECS";"";"";"";"";"";"demons rage demon nerve axis";"Best";"4.307916";"demons-rage-nerve-axis";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\demons-rage-nerve-axis\screen.jpg";"demons-rage-nerve-axis"
"NoError, EmulTrap, ClearMem";"Hinch Demo ? 1990 Decay.";"1990 Decay";"whdload";"0";"Hinch Demo";"DerrynHinchDemo";"287456";"D\DerrynHinchDemo\DerrynHinchDemo.Slave";"1048576";"D\DerrynHinchDemo";"524288";"DerrynHinch";"OCS/ECS";"";"";"Demo";"";"";"derryn hinch demo decay";"Best";"4.795061";"derryn-hinch-intro-decay";"C:\Work\First Realize\amiga-demo-database\jasdd\d\derryn-hinch-intro-decay\screen_001.png";"derryn-hinch-intro-decay"
"Disk, NoError, EmulTrap";"Desert Dream, 1993 Kefrens (2 disks).";"";"whdload";"0";"";"DesertDream";"1810368";"D\DesertDream\DesertDream.slave";"";"D\DesertDream";"1048576";"DesertDream";"OCS/ECS";"";"";"";"";"";"desert dream";"Best";"3.357443";"desert-dream-kefrens";"C:\Work\First Realize\amiga-demo-database\jasdd\d\desert-dream-kefrens\screen_001.png";"desert-dream-kefrens"
"NoError, NoKbd, ClearMem";"Despair ? 1991 LSD";"1991 LSD";"whdload";"0";"Despair";"Despair";"212739";"D\Despair\Despair.Slave";"8192";"D\Despair";"524288";"Despair";"OCS/ECS";"";"";"";"";"";"despair lsd";"Exact";"100";"despair-lsd";"C:\Work\First Realize\amiga-demo-database\jasdd\d\despair-lsd\screen_001.png";"despair-lsd"
