"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"CrackerJournal06\CrackerJournal06.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #6 1988 Alpha Flight.";"Cracker Journal #6";"1988 Alpha Flight";"0";"C\CrackerJournal06_v1.0_AlphaFlight.lha";"CrackerJournal06";"CrackerJournal06";"0";"whdload";"524288";"843086";"CrackerJournal06";"OCS/ECS";"";"";"";"";"";"cracker journal 06 6 alpha flight";"Best";"3.93158";"cracker-journal-6-alpha-flight";"D:\work2\amiga-whdload-game-scripts\screenshots\Magazines Custom\cracker-journal-6-alpha-flight\screen_001.png";"cracker-journal-6-alpha-flight"
"CrackerJournal07&08\CrackerJournal07&08.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #7+8 1988 Alpha Flight.";"Cracker Journal #7+8";"1988 Alpha Flight";"0";"C\CrackerJournal07&08_v1.0_AlphaFlight.lha";"CrackerJournal07&08";"CrackerJournal07&08";"0";"whdload";"524288";"844415";"CrackerJournal07&08";"OCS/ECS";"";"";"";"";"";"cracker journal 07 08 7 8 alpha flight";"Best";"3.603901";"cracker-journal-07-08-alpha-flight-1970";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\c\cracker-journal-07-08-alpha-flight-1970\screen.png";"cracker-journal-07-08-alpha-flight-1970"
"CrackerJournal09\CrackerJournal09.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #9 1988 Alpha Flight.";"Cracker Journal #9";"1988 Alpha Flight";"0";"C\CrackerJournal09_v1.0_AlphaFlight.lha";"CrackerJournal09";"CrackerJournal09";"0";"whdload";"524288";"813124";"CrackerJournal09";"OCS/ECS";"";"";"";"";"";"cracker journal 09 9 alpha flight";"Best";"4.017682";"cracker-journal-9-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-9-alpha-flight\screen_001.png";"cracker-journal-9-alpha-flight"
"CrackerJournal10\CrackerJournal10.Slave";"NoError, ClearMem";"Cracker Journal #10 1988 Alpha Flight.";"Cracker Journal #10";"1988 Alpha Flight";"0";"C\CrackerJournal10_v1.0_AlphaFlight.lha";"CrackerJournal10";"CrackerJournal10";"0";"whdload";"524288";"858863";"CrackerJournal10";"OCS/ECS";"";"";"";"";"";"cracker journal 10 alpha flight";"Exact";"100";"cracker-journal-10-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-10-alpha-flight\screen_001.png";"cracker-journal-10-alpha-flight"
"CrackerJournal11\CrackerJournal11.Slave";"NoError, ClearMem";"Cracker Journal #11 1988 Alpha Flight.";"Cracker Journal #11";"1988 Alpha Flight";"0";"C\CrackerJournal11_v1.0_AlphaFlight.lha";"CrackerJournal11";"CrackerJournal11";"0";"whdload";"524288";"902948";"CrackerJournal11";"OCS/ECS";"";"";"";"";"";"cracker journal 11 alpha flight";"Exact";"100";"cracker-journal-11-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-11-alpha-flight\screen_001.png";"cracker-journal-11-alpha-flight"
"CrackerJournal12\CrackerJournal12.slave";"NoError, ClearMem";"Cracker Journal #12 1989 Alpha Flight.";"Cracker Journal #12";"1989 Alpha Flight";"0";"C\CrackerJournal12_v1.01_AlphaFlight.lha";"CrackerJournal12";"CrackerJournal12";"0";"whdload";"524288";"903936";"CrackerJournal12";"OCS/ECS";"";"";"";"";"";"cracker journal 12 alpha flight";"Exact";"100";"cracker-journal-12-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-12-alpha-flight\screen_001.png";"cracker-journal-12-alpha-flight"
"CrackerJournal13\CrackerJournal13.Slave";"NoError, ClearMem";"Cracker Journal #13 1989 Alpha Flight.";"Cracker Journal #13";"1989 Alpha Flight";"0";"C\CrackerJournal13_v1.0_AlphaFlight.lha";"CrackerJournal13";"CrackerJournal13";"0";"whdload";"524288";"841871";"CrackerJournal13";"OCS/ECS";"";"";"";"";"";"cracker journal 13 alpha flight";"Exact";"100";"cracker-journal-13-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-13-alpha-flight\screen_001.png";"cracker-journal-13-alpha-flight"
"CrackerJournal14\CrackerJournal14.Slave";"NoError, ClearMem";"Cracker Journal #14 1989 Alpha Flight.";"Cracker Journal #14";"1989 Alpha Flight";"0";"C\CrackerJournal14_v1.0_AlphaFlight.lha";"CrackerJournal14";"CrackerJournal14";"0";"whdload";"524288";"807016";"CrackerJournal14";"OCS/ECS";"";"";"";"";"";"cracker journal 14 alpha flight";"Exact";"100";"cracker-journal-14-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-14-alpha-flight\screen_001.png";"cracker-journal-14-alpha-flight"
"CrackerJournal15\CrackerJournal15.Slave";"NoError, ClearMem";"Cracker Journal #15 1989 Alpha Flight.";"Cracker Journal #15";"1989 Alpha Flight";"0";"C\CrackerJournal15_v1.0_AlphaFlight.lha";"CrackerJournal15";"CrackerJournal15";"0";"whdload";"524288";"796561";"CrackerJournal15";"OCS/ECS";"";"";"";"";"";"cracker journal 15 alpha flight";"Exact";"100";"cracker-journal-15-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-15-alpha-flight\screen_001.png";"cracker-journal-15-alpha-flight"
"CrackerJournal16\CrackerJournal16.Slave";"NoError, ClearMem";"Cracker Journal #16 1989 Alpha Flight.";"Cracker Journal #16";"1989 Alpha Flight";"0";"C\CrackerJournal16_v1.0_AlphaFlight.lha";"CrackerJournal16";"CrackerJournal16";"0";"whdload";"524288";"790557";"CrackerJournal16";"OCS/ECS";"";"";"";"";"";"cracker journal 16 alpha flight";"Exact";"100";"cracker-journal-16-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-16-alpha-flight\screen_001.png";"cracker-journal-16-alpha-flight"
