"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"CrackerJournal11\CrackerJournal11.Slave";"NoError, ClearMem";"Cracker Journal #11 1988 Alpha Flight.";"Cracker Journal #11";"1988 Alpha Flight";"0";"C\CrackerJournal11_v1.0_AlphaFlight.lha";"CrackerJournal11";"CrackerJournal11";"0";"whdload";"524288";"902948";"CrackerJournal11";"OCS/ECS";"";"";"";"";"";"cracker journal 11 alpha flight"
"CrackerJournal12\CrackerJournal12.slave";"NoError, ClearMem";"Cracker Journal #12 1989 Alpha Flight.";"Cracker Journal #12";"1989 Alpha Flight";"0";"C\CrackerJournal12_v1.01_AlphaFlight.lha";"CrackerJournal12";"CrackerJournal12";"0";"whdload";"524288";"903936";"CrackerJournal12";"OCS/ECS";"";"";"";"";"";"cracker journal 12 alpha flight"
"CrackerJournal13\CrackerJournal13.Slave";"NoError, ClearMem";"Cracker Journal #13 1989 Alpha Flight.";"Cracker Journal #13";"1989 Alpha Flight";"0";"C\CrackerJournal13_v1.0_AlphaFlight.lha";"CrackerJournal13";"CrackerJournal13";"0";"whdload";"524288";"841871";"CrackerJournal13";"OCS/ECS";"";"";"";"";"";"cracker journal 13 alpha flight"
"CrackerJournal14\CrackerJournal14.Slave";"NoError, ClearMem";"Cracker Journal #14 1989 Alpha Flight.";"Cracker Journal #14";"1989 Alpha Flight";"0";"C\CrackerJournal14_v1.0_AlphaFlight.lha";"CrackerJournal14";"CrackerJournal14";"0";"whdload";"524288";"807016";"CrackerJournal14";"OCS/ECS";"";"";"";"";"";"cracker journal 14 alpha flight"
"CrackerJournal15\CrackerJournal15.Slave";"NoError, ClearMem";"Cracker Journal #15 1989 Alpha Flight.";"Cracker Journal #15";"1989 Alpha Flight";"0";"C\CrackerJournal15_v1.0_AlphaFlight.lha";"CrackerJournal15";"CrackerJournal15";"0";"whdload";"524288";"796561";"CrackerJournal15";"OCS/ECS";"";"";"";"";"";"cracker journal 15 alpha flight"
"CrackerJournal16\CrackerJournal16.Slave";"NoError, ClearMem";"Cracker Journal #16 1989 Alpha Flight.";"Cracker Journal #16";"1989 Alpha Flight";"0";"C\CrackerJournal16_v1.0_AlphaFlight.lha";"CrackerJournal16";"CrackerJournal16";"0";"whdload";"524288";"790557";"CrackerJournal16";"OCS/ECS";"";"";"";"";"";"cracker journal 16 alpha flight"
"CrackerJournal17\CrackerJournal17.Slave";"NoError, ClearMem";"Cracker Journal #17 ? 1989 Alpha Flight.";"Cracker Journal #17";"1989 Alpha Flight";"0";"C\CrackerJournal17_v1.0_AlphaFlight.lha";"CrackerJournal17";"CrackerJournal17";"0";"whdload";"524288";"731975";"CrackerJournal17";"OCS/ECS";"";"";"";"";"";"cracker journal 17 alpha flight"
"CrackerJournal18\CrackerJournal18.Slave";"NoError, ClearMem";"Cracker Journal #18 ? 1990 Alpha Flight.";"Cracker Journal #18";"1990 Alpha Flight";"0";"C\CrackerJournal18_v1.0_AlphaFlight.lha";"CrackerJournal18";"CrackerJournal18";"0";"whdload";"524288";"846893";"CrackerJournal18";"OCS/ECS";"";"";"";"";"";"cracker journal 18 alpha flight"
"CrackerJournal19\CrackerJournal19.Slave";"NoError, ClearMem";"Cracker Journal #19 ? 1990 Alpha Flight.";"Cracker Journal #19";"1990 Alpha Flight";"0";"C\CrackerJournal19_v1.0_AlphaFlight.lha";"CrackerJournal19";"CrackerJournal19";"0";"whdload";"524288";"853372";"CrackerJournal19";"OCS/ECS";"";"";"";"";"";"cracker journal 19 alpha flight"
"CrackerJournal20\CrackerJournal20.Slave";"NoError, ClearMem";"Cracker Journal #20 ? 1990 Alpha Flight.";"Cracker Journal #20";"1990 Alpha Flight";"0";"C\CrackerJournal20_v1.0_AlphaFlight.lha";"CrackerJournal20";"CrackerJournal20";"0";"whdload";"524288";"863826";"CrackerJournal20";"OCS/ECS";"";"";"";"";"";"cracker journal 20 alpha flight"
"CrackerJournal21\CrackerJournal21.Slave";"NoError, ClearMem";"Cracker Journal #21 ? 1990 Alpha Flight.";"Cracker Journal #21";"1990 Alpha Flight";"0";"C\CrackerJournal21_v1.0_AlphaFlight.lha";"CrackerJournal21";"CrackerJournal21";"0";"whdload";"524288";"1702536";"CrackerJournal21";"OCS/ECS";"";"";"";"";"";"cracker journal 21 alpha flight"
"CrackerJournal22\CrackerJournal22.Slave";"NoError, ClearMem";"Cracker Journal #22 ? 1990 Alpha Flight.";"Cracker Journal #22";"1990 Alpha Flight";"0";"C\CrackerJournal22_v1.0_AlphaFlight.lha";"CrackerJournal22";"CrackerJournal22";"0";"whdload";"524288";"815307";"CrackerJournal22";"OCS/ECS";"";"";"";"";"";"cracker journal 22 alpha flight"
"DISC1\DISC1.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #1 ? 1990 Level 4.";"D.I.S.C. #1";"Level 4";"262144";"D\DISC1_v1.0_Level4.lha";"DISC1";"DISC1";"0";"whdload";"524288";"557924";"DISC1";"OCS/ECS";"";"";"";"";"";"disc issue 1 level 4"
"DISC2\DISC2.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #2 ? 1990 Level 4.";"D.I.S.C. #2";"Level 4";"262144";"D\DISC2_v1.0_Level4.lha";"DISC2";"DISC2";"0";"whdload";"524288";"776211";"DISC2";"OCS/ECS";"";"";"";"";"";"disc issue 2 level 4"
"DISC3\DISC3.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #3 ? 1990 Level 4.";"D.I.S.C. #3";"Level 4";"262144";"D\DISC3_v1.0_Level4.lha";"DISC3";"DISC3";"0";"whdload";"524288";"712223";"DISC3";"OCS/ECS";"";"";"";"";"";"disc issue 3 level 4"
"DISC4\DISC4.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #4 ? 1990 Level 4.";"D.I.S.C. #4";"Level 4";"262144";"D\DISC4_v1.0_Level4.lha";"DISC4";"DISC4";"0";"whdload";"524288";"574385";"DISC4";"OCS/ECS";"";"";"";"";"";"disc issue 4 level 4"
"DISC5\DISC5.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #5 ? 1990 Level 4.";"D.I.S.C. #5";"Level 4";"262144";"D\DISC5_v1.0_Level4.lha";"DISC5";"DISC5";"0";"whdload";"524288";"704876";"DISC5";"OCS/ECS";"";"";"";"";"";"disc 5 1 level 4"
"DISC6\DISC6.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #6 ? 1991 Level 4.";"D.I.S.C. #6";"Level 4";"262144";"D\DISC6_v1.0_Level4.lha";"DISC6";"DISC6";"0";"whdload";"524288";"748621";"DISC6";"OCS/ECS";"";"";"";"";"";"disc 6 1 level 4"
"DISC7\DISC7.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #7 ? 1991 Level 4.";"D.I.S.C. #7";"Level 4";"262144";"D\DISC7_v1.0_Level4.lha";"DISC7";"DISC7";"0";"whdload";"524288";"480165";"DISC7";"OCS/ECS";"";"";"";"";"";"disc 7 1 level 4"
