"Year";"Url";"Id";"License";"Languages";"Disks";"Players";"Name";"Publisher";"Path";"Hardware";"Genre"
"1989";"http://www.lemonamiga.com/games/details.php?id=1330";"1330";"Commercial";"English";"1";"1 Only";"Sir Fred: The Legend";"Ubi Soft";"s\sir-fred-the-legend";"OCS";
"1990";"http://www.lemonamiga.com/games/details.php?id=2247";"2247";"Commercial";"English";"1";"1 Only";"Sirius 7";"Actual Screenshots";"s\sirius-7";"OCS";
"1998";"http://www.lemonamiga.com/games/details.php?id=2349";"2349";"Commercial";"English";;"1 Only";"Sixth Sense Investigations";"Islona Entertainment";"s\sixth-sense-investigations-cd32";"CD32,AGA,CD-ROM";"Adventure - Point and Click"
"1989";"http://www.lemonamiga.com/games/details.php?id=969";"969";"Commercial";"English";"1";"1 Only";"Skate of the Art";"Linel";"s\skate-of-the-art";"OCS";"Sports - Skateboard"
"1995";"http://www.lemonamiga.com/games/details.php?id=547";"547";"Commercial";"English";;"1 or 2, Simultaneous";"Skeleton Krew";"Core Design";"s\skeleton-krew-cd32";"CD32";
"1995";"http://www.lemonamiga.com/games/details.php?id=2567";"2567";"Commercial";"English";"3";"1 or 2, Simultaneous";"Skeleton Krew";"Core Design";"s\skeleton-krew-aga";"AGA";
"1990";"http://www.lemonamiga.com/games/details.php?id=970";"970";"Commercial";"English";"1";"1 to 6";"Ski or Die";"Electronic Arts";"s\ski-or-die";"OCS,ECS";"Sports - Multi-Event"
"1993";"http://www.lemonamiga.com/games/details.php?id=3122";"3122";"Commercial";"English";"4";"1 to 4, Simultaneous";"Skidmarks";"Acid Software";"s\skidmarks-aga";"ECS,AGA";"Racing - Cars"
"1989";"http://www.lemonamiga.com/games/details.php?id=2249";"2249";"Commercial";"English";"1";"1 Only";"Skidoo";"Coktel Vision";"s\skidoo";"OCS";"Racing - Miscellaneous"
"1990";"http://www.lemonamiga.com/games/details.php?id=971";"971";"Commercial";"English";"1";"1 Only";"Skidz";"Gremlin Graphics";"s\skidz";"OCS";"Sports - Miscellaneous"
"1988";"http://www.lemonamiga.com/games/details.php?id=2269";"2269";"Commercial";"English";"1";"1 Only";"Skrull";"Infogrames";"s\skrull";"OCS";"Adventure - Miscellaneous"
"1991";"http://www.lemonamiga.com/games/details.php?id=1331";"1331";"Commercial";"English";"1";"1 or 2, Simultaneous";"Skull and Crossbones";"Domark";"s\skull-and-crossbones";"OCS,ECS";
"1989";"http://www.lemonamiga.com/games/details.php?id=2456";"2456";"Commercial";"English,French";"1";"1 or 2";"Skweek";"Loriciel";"s\skweek";"OCS";"Brain - Puzzle"
"1991";"http://www.lemonamiga.com/games/details.php?id=2907";"2907";"Commercial";"English";"2";"1 or 2, Simultaneous";"Sky Cabbie";"Kingsoft";"s\sky-cabbie";"OCS,ECS";"Arcade - Miscellaneous"
