Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1992;http://www.lemonamiga.com/games/details.php?id=1887;c\conquest-of-japan;Commercial;2;;Conquest of Japan;Impressions;English;OCS,ECS;Strategy - War;Conquest of Japan Impressions
1992;http://www.lemonamiga.com/games/details.php?id=3106;c\conquestador;Commercial;;1 to 4;Conquestador;German Design Group;German;OCS,ECS;Strategy - War;Conquestador German Design Group
1990;http://www.lemonamiga.com/games/details.php?id=1556;c\conquests-of-camelot-the-search-for-the-grail;Commercial;6;1 Only;Conquests of Camelot: The Search for the Grail;Sierra On-Line;English;OCS,ECS;Adventure - Animated Graphics/Text;Conquests of Camelot: The Search for the Grail Sierra On-Line
1989;http://www.lemonamiga.com/games/details.php?id=275;c\continental-circus;Commercial;1;1 Only;Continental Circus;Virgin Mastertronic;English;OCS;Sports - Formula One;Continental Circus Virgin Mastertronic
1992;http://www.lemonamiga.com/games/details.php?id=2338;c\contraption-zack;Commercial;3;1 Only;Contraption Zack;Mindscape;English;OCS,ECS;Brain - Logical;Contraption Zack Mindscape
1986;http://www.lemonamiga.com/games/details.php?id=3492;c\conversation-with-a-computer;Commercial;1;1 Only;Conversation with a Computer;Jenday Software;English;OCS;Educational - Miscellaneous;Conversation with a Computer Jenday Software
1991;http://www.lemonamiga.com/games/details.php?id=1791;c\cool-croc-twins;Commercial;1;1 or 2, Simultaneous;Cool Croc Twins;Empire Software;English;OCS,ECS;Platformer - Single Screen;Cool Croc Twins Empire Software
1993;http://www.lemonamiga.com/games/details.php?id=301;c\cool-spot;Commercial;3;1 Only;Cool Spot;Virgin Interactive;English;OCS,ECS;Platformer - Scrolling Screen;Cool Spot Virgin Interactive
1992;http://www.lemonamiga.com/games/details.php?id=1888;c\cool-world;Commercial;2;1 Only;Cool World;Ocean;English;OCS,ECS;;Cool World Ocean
1990;http://www.lemonamiga.com/games/details.php?id=3253;c\corporate-raiders;Commercial;1;1 Only;Corporate Raiders;Twilight Games;English;OCS;;Corporate Raiders Twilight Games
1990;http://www.lemonamiga.com/games/details.php?id=276;c\corporation;Commercial;2;1 Only;Corporation;Core Design;English;OCS;Adventure - Arcade 3D;Corporation Core Design
1988;http://www.lemonamiga.com/games/details.php?id=1557;c\corruption;Commercial;1;1 Only;Corruption;Rainbird;English;OCS;Adventure - Graphics/Text;Corruption Rainbird
1989;http://www.lemonamiga.com/games/details.php?id=1889;c\corsarios;Commercial;1;1 Only;Corsarios;Opera Soft;English;OCS;;Corsarios Opera Soft
1988;http://www.lemonamiga.com/games/details.php?id=1890;c\cortex;Commercial;1;1 Only;Cortex;ECP;English;OCS;;Cortex ECP
1991;http://www.lemonamiga.com/games/details.php?id=1724;c\corx;Commercial;1;1 or 2, Simultaneous;Corx;Starbyte Software;English;OCS,ECS;Arcade - Tron;Corx Starbyte Software
1988;http://www.lemonamiga.com/games/details.php?id=1891;c\cosmic-bouncer;Commercial;1;1 Only;Cosmic Bouncer;ReadySoft;English;OCS;Arcade - Miscellaneous;Cosmic Bouncer ReadySoft
1989;http://www.lemonamiga.com/games/details.php?id=277;c\cosmic-pirate;Commercial;1;1 Only;Cosmic Pirate;Palace Software;English;OCS;;Cosmic Pirate Palace Software
1988;http://www.lemonamiga.com/games/details.php?id=2939;c\cosmic-relief-prof-renegade-to-the-rescue;Commercial;1;1 Only;Cosmic Relief: Prof. Renegade to the Rescue;Datasoft;English;OCS;Adventure - Arcade 2D;Cosmic Relief: Prof. Renegade to the Rescue Datasoft
1993;http://www.lemonamiga.com/games/details.php?id=1892;c\cosmic-spacehead;Commercial;2;1 or 2, Simultaneous;Cosmic Spacehead;Codemasters;English,German,French,Spanish;OCS,ECS;Adventure - Miscellaneous;Cosmic Spacehead Codemasters
1989;http://www.lemonamiga.com/games/details.php?id=3001;c\cosmo-ranger-sol-ad-2000;Commercial;1;1 Only;Cosmo Ranger: SOL AD 2000;Turtle Byte Software;English,German;OCS;;Cosmo Ranger: SOL AD 2000 Turtle Byte Software
1991;http://www.lemonamiga.com/games/details.php?id=1893;c\cosmostruction;Commercial;1;1 or 2;Cosmostruction;Empire Graphics;English;OCS,ECS;Strategy - Miscellaneous;Cosmostruction Empire Graphics
1990;http://www.lemonamiga.com/games/details.php?id=1896;c\cougar-force;Commercial;2;1 Only;Cougar Force;Tomahawk;English;OCS;Arcade - Multigenre;Cougar Force Tomahawk
1990;http://www.lemonamiga.com/games/details.php?id=353;c\count-duckula;Commercial;1;1 Only;Count Duckula;Alternative Software;English;OCS;Platformer - Multi Screen;Count Duckula Alternative Software
1992;http://www.lemonamiga.com/games/details.php?id=1897;c\count-duckula-ii;Commercial;1;1 Only;Count Duckula II;Alternative Software;English;OCS,ECS;Platformer - Multi Screen;Count Duckula II Alternative Software
1990;http://www.lemonamiga.com/games/details.php?id=1898;c\count-it;Commercial;1;1 Only;Count-It;Action Media;English;OCS;Educational - Math;Count-It Action Media
1989;http://www.lemonamiga.com/games/details.php?id=1899;c\courtroom;Commercial;1;1 or 2;CourtRoom;FairBrother & SoeparMann;English;OCS;Simulation - Miscellaneous;CourtRoom FairBrother & SoeparMann
1992;http://www.lemonamiga.com/games/details.php?id=1900;c\cover-girl-strip-poker;Commercial;3;1 to 3;Cover Girl Strip Poker;The Sales Curve;English,German,French,Italian;OCS,ECS;Cards - Poker;Cover Girl Strip Poker The Sales Curve
1992;http://www.lemonamiga.com/games/details.php?id=1726;c\covert-action;Commercial;3;1 Only;Covert Action;MicroProse Software;English;OCS,ECS;Adventure - Miscellaneous;Covert Action MicroProse Software
1988;http://www.lemonamiga.com/games/details.php?id=1901;c\crack;Commercial;1;1 or 2, Simultaneous;Crack;Linel;English;OCS;Arcade - Breakout/Pong;Crack Linel
1990;http://www.lemonamiga.com/games/details.php?id=278;c\crack-down;Commercial;1;1 or 2, Simultaneous;Crack Down;US Gold;English;OCS;;Crack Down US Gold
1988;http://www.lemonamiga.com/games/details.php?id=1902;c\craps-academy;Commercial;1;1 to 4;Craps Academy;MicroIllusions;English;OCS;Gambling - Dice;Craps Academy MicroIllusions
1988;http://www.lemonamiga.com/games/details.php?id=1387;c\crash-garrett;Commercial;1;1 Only;Crash Garrett;ERE Informatique;English;OCS;Adventure - Animated Graphics/Text;Crash Garrett ERE Informatique
1992;http://www.lemonamiga.com/games/details.php?id=1903;c\crash-landing;Commercial;1;1 Only;Crash Landing;Codemasters;English;OCS,ECS;Platformer - Multi Screen;Crash Landing Codemasters
1988;http://www.lemonamiga.com/games/details.php?id=1558;c\crazy-cars;Commercial;1;1 Only;Crazy Cars;Titus Software;English;OCS;Racing - Cars;Crazy Cars Titus Software
1989;http://www.lemonamiga.com/games/details.php?id=280;c\crazy-cars-ii;Commercial;1;1 Only;Crazy Cars II;Titus Software;English;OCS;Racing - Cars;Crazy Cars II Titus Software
1992;http://www.lemonamiga.com/games/details.php?id=279;c\crazy-cars-iii;Commercial;2;1 Only;Crazy Cars III;Titus Software;English;OCS,ECS;Racing - Cars;Crazy Cars III Titus Software
1992;http://www.lemonamiga.com/games/details.php?id=1904;c\crazy-cones;Commercial;1;1 Only;Crazy Cones;Dakamar Software;English;OCS,ECS;Arcade - Labyrinth/Maze;Crazy Cones Dakamar Software
1992;http://www.lemonamiga.com/games/details.php?id=1905;c\crazy-seasons;Commercial;2;1 or 2, Simultaneous;Crazy Seasons;Idea Software;English;OCS,ECS;Platformer - Single Screen;Crazy Seasons Idea Software
1989;http://www.lemonamiga.com/games/details.php?id=1906;c\crazy-shot;Commercial;1;1 Only;Crazy Shot;Loriciel;English;OCS;;Crazy Shot Loriciel
1990;http://www.lemonamiga.com/games/details.php?id=1907;c\crazy-sue;Coverdisk;1;1 or 2;Crazy Sue;Amiga Fun;English;OCS,ECS;Platformer - Scrolling Screen;Crazy Sue Amiga Fun
1992;http://www.lemonamiga.com/games/details.php?id=1908;c\crazy-sue-goes-on;Coverdisk;1;1 Only;Crazy Sue ...Goes On;Amiga Fun;English;OCS,ECS;Platformer - Scrolling Screen;Crazy Sue ...Goes On Amiga Fun
1989;http://www.lemonamiga.com/games/details.php?id=2339;c\creature;Commercial;2;1 Only;Creature;Actionware;English;OCS;;Creature Actionware
1993;http://www.lemonamiga.com/games/details.php?id=281;c\creatures;Commercial;2;1 Only;Creatures;Thalamus;English;OCS,ECS;Platformer - Scrolling Screen;Creatures Thalamus
1990;http://www.lemonamiga.com/games/details.php?id=1909;c\creepy;Commercial;1;1 Only;Creepy;Thalamus;English;OCS,ECS;Arcade - Worm/Snake;Creepy Thalamus
1990;http://www.lemonamiga.com/games/details.php?id=1910;c\cribbage-king-gin-king;Commercial;1;;Cribbage King & Gin King;The Software Toolworks;English;OCS;Cards - Miscellaneous;Cribbage King & Gin King The Software Toolworks
1990;http://www.lemonamiga.com/games/details.php?id=1727;c\cricket-amiga;Commercial;1;1 or 2;Cricket Amiga;Soundware International;English;OCS,ECS;Sports - Cricket;Cricket Amiga Soundware International
1989;http://www.lemonamiga.com/games/details.php?id=1388;c\cricket-captain;Commercial;1;;Cricket Captain;D&H Games;English;OCS;Sports - Cricket;Cricket Captain D&H Games
1993;http://www.lemonamiga.com/games/details.php?id=1911;c\cricket-masters;Commercial;1;1 Only;Cricket Masters;ESP Software;English;OCS,ECS;Sports - Cricket;Cricket Masters ESP Software
1992;http://www.lemonamiga.com/games/details.php?id=282;c\crime-city;Commercial;1;1 Only;Crime City;Impressions;English;OCS,ECS;Adventure - Point and Click;Crime City Impressions
1990;http://www.lemonamiga.com/games/details.php?id=1912;c\crime-does-not-pay;Commercial;1;1 Only;Crime Does Not Pay;Titus Software;English,German,French,Italian,Spanish;OCS,ECS;Adventure - Miscellaneous;Crime Does Not Pay Titus Software
1990;http://www.lemonamiga.com/games/details.php?id=1728;c\crime-time;Commercial;1;1 Only;Crime Time;Starbyte Software;English;OCS,ECS;Adventure - Graphics/Text;Crime Time Starbyte Software
1990;http://www.lemonamiga.com/games/details.php?id=1729;c\crime-wave;Commercial;2;1 Only;Crime Wave;US Gold;English;OCS,ECS;;Crime Wave US Gold
1986;http://www.lemonamiga.com/games/details.php?id=1913;c\crimson-crown;Commercial;1;1 Only;Crimson Crown;Polarware;English;OCS;Adventure - Graphics/Text;Crimson Crown Polarware
1992;http://www.lemonamiga.com/games/details.php?id=1876;c\croak;Coverdisk;1;1 or 2, Simultaneous;Croak!;Amiga Format;English;OCS,ECS;Arcade - Frogger;Croak! Amiga Format
1989;http://www.lemonamiga.com/games/details.php?id=1389;c\crossbow-the-legend-of-william-tell;Commercial;1;1 Only;Crossbow: The Legend of William Tell;Screen 7;English;OCS;Adventure - Miscellaneous;Crossbow: The Legend of William Tell Screen 7
1994;http://www.lemonamiga.com/games/details.php?id=1914;c\crosscheck;Commercial;1;1 or 2, Simultaneous;CrossCheck;Sunflowers;German;OCS,ECS;Sports - Ice Hockey;CrossCheck Sunflowers
1997;http://www.lemonamiga.com/games/details.php?id=2522;c\crossfire-aga;Shareware;;2 to 4, Simultaneous;Crossfire;(unknown);English;ECS,AGA;;Crossfire (unknown)
2002;http://www.lemonamiga.com/games/details.php?id=2352;c\crossfire-ii-aga;Commercial;;1 to 4, Simultaneous;Crossfire II;APC&TCP;English;AGA,RTG,PPC,CD-ROM;;Crossfire II APC&TCP
1993;http://www.lemonamiga.com/games/details.php?id=3420;c\crossword-wizard;Commercial;1;1 Only;Crossword Wizard;Rush Software;English;OCS,ECS;Brain - Crossword;Crossword Wizard Rush Software
1990;http://www.lemonamiga.com/games/details.php?id=1915;c\crown;Commercial;2;1 Only;Crown;Starbyte Software;English;OCS;Arcade - Miscellaneous;Crown Starbyte Software
1987;http://www.lemonamiga.com/games/details.php?id=1916;c\crown-of-ardania-the;Commercial;1;2 to 4;Crown of Ardania, The;GLAUG;English;OCS;Strategy - Miscellaneous;Crown of Ardania, The GLAUG
1991;http://www.lemonamiga.com/games/details.php?id=283;c\cruise-for-a-corpse;Commercial;5;1 Only;Cruise for a Corpse;US Gold;English;OCS,ECS;Adventure - Point and Click;Cruise for a Corpse US Gold
1987;http://www.lemonamiga.com/games/details.php?id=1917;c\cruncher-factory;Commercial;1;1 or 2, Simultaneous;Cruncher Factory;Kingsoft;English;OCS;Arcade - Pac-Man;Cruncher Factory Kingsoft
1991;http://www.lemonamiga.com/games/details.php?id=1918;c\crusade-the;Commercial;2;1 Only;Crusade, The;Inland International Software;English;OCS,ECS;Adventure - RPG 2D;Crusade, The Inland International Software
1994;http://www.lemonamiga.com/games/details.php?id=1559;c\crystal-dragon;Commercial;3;1 Only;Crystal Dragon;Black Legend;English;OCS,ECS;Adventure - RPG 3D;Crystal Dragon Black Legend
1988;http://www.lemonamiga.com/games/details.php?id=284;c\crystal-hammer;Commercial;1;1 or 2;Crystal Hammer;reLINE Software;English;OCS;Arcade - Breakout/Pong;Crystal Hammer reLINE Software
1993;http://www.lemonamiga.com/games/details.php?id=1919;c\crystal-palace;Coverdisk;1;1 Only;Crystal Palace;Amiga Fun;English;OCS,ECS;Platformer - Scrolling Screen;Crystal Palace Amiga Fun
1989;http://www.lemonamiga.com/games/details.php?id=2342;c\crystal-quest;Commercial;1;1 or 2;Crystal Quest;Casady & Greene;English;OCS;;Crystal Quest Casady & Greene
1993;http://www.lemonamiga.com/games/details.php?id=3421;c\crystal-skull;Commercial;1;1 Only;Crystal Skull;Fission Soft;English;OCS,ECS;Adventure - Point and Click;Crystal Skull Fission Soft
1990;http://www.lemonamiga.com/games/details.php?id=286;c\crystals-of-arborea;Commercial;1;1 Only;Crystals of Arborea;Silmarils;English;OCS;Adventure - Miscellaneous;Crystals of Arborea Silmarils
1992;http://www.lemonamiga.com/games/details.php?id=2341;c\cube-x;Commercial;1;1 Only;Cube-X;Soft Enterprises;English;OCS,ECS;Arcade - Logical Game;Cube-X Soft Enterprises
1988;http://www.lemonamiga.com/games/details.php?id=3422;c\cubemaster;Commercial;1;1 Only;CubeMaster;ASDG;English;OCS;;CubeMaster ASDG
1991;http://www.lemonamiga.com/games/details.php?id=3178;c\cubix;Commercial;1;1 Only;Cubix;Media GmbH;English;OCS,ECS;Brain - Logical;Cubix Media GmbH
1991;http://www.lemonamiga.com/games/details.php?id=287;c\cubulus;Commercial;1;1 Only;Cubulus;Software 2000;English;OCS,ECS;Brain - Puzzle;Cubulus Software 2000
1992;http://www.lemonamiga.com/games/details.php?id=289;c\curse-of-enchantia;Commercial;6;1 Only;Curse of Enchantia;Core Design;English;OCS,ECS;Adventure - Point and Click;Curse of Enchantia Core Design
1990;http://www.lemonamiga.com/games/details.php?id=881;c\curse-of-ra-the;Commercial;1;1 Only;Curse of RA, The;Rainbow Arts;English;OCS;Arcade - Logical Game;Curse of RA, The Rainbow Arts
1990;http://www.lemonamiga.com/games/details.php?id=288;c\curse-of-the-azure-bonds;Commercial;2;1 Only;Curse of the Azure Bonds;Strategic Simulations, Inc.;English;OCS,ECS;Adventure - RPG 3D;Curse of the Azure Bonds Strategic Simulations, Inc.
1989;http://www.lemonamiga.com/games/details.php?id=1920;c\custodian;Commercial;1;1 Only;Custodian;Hewson;English;OCS;;Custodian Hewson
1986;http://www.lemonamiga.com/games/details.php?id=1921;c\cutthroats;Commercial;1;1 Only;Cutthroats;Infocom;English;OCS;Adventure - Text only;Cutthroats Infocom
1991;http://www.lemonamiga.com/games/details.php?id=1922;c\cyber-assault;Commercial;1;1 Only;Cyber Assault;Trojan Software;English;OCS,ECS;;Cyber Assault Trojan Software
1991;http://www.lemonamiga.com/games/details.php?id=293;c\cyber-cop;Commercial;1;1 Only;Cyber Cop;Impressions;English;OCS,ECS;;Cyber Cop Impressions
1992;http://www.lemonamiga.com/games/details.php?id=290;c\cyber-empires;Commercial;2;1 to 5;Cyber Empires;Strategic Simulations, Inc.;English;OCS,ECS;Strategy - War;Cyber Empires Strategic Simulations, Inc.
1995;http://www.lemonamiga.com/games/details.php?id=3235;c\cyber-force-zniewolony-umys;Commercial;3;1 Only;Cyber Force: Zniewolony Umys?;Mirage;Polish;OCS,ECS;Adventure - Arcade 2D;Cyber Force: Zniewolony Umys? Mirage
1994;http://www.lemonamiga.com/games/details.php?id=3147;c\cyber-kick;Commercial;1;1 Only;Cyber Kick;L.K. Avalon;Polish;OCS,ECS;Platformer - Multi Screen;Cyber Kick L.K. Avalon
1993;http://www.lemonamiga.com/games/details.php?id=3454;c\cyber-man;Shareware;1;1 Only;Cyber Man;(unknown);English;OCS,ECS;Arcade - Pac-Man;Cyber Man (unknown)
1990;http://www.lemonamiga.com/games/details.php?id=1923;c\cyber-world;Commercial;1;1 Only;Cyber World;Magic Bytes;English;OCS,ECS;Arcade - Miscellaneous;Cyber World Magic Bytes
1990;http://www.lemonamiga.com/games/details.php?id=1924;c\cyberball-football-in-the-21st-century;Commercial;1;1 or 2, Simultaneous;Cyberball: Football in the 21st Century;Domark;English;OCS,ECS;Sports - American Football;Cyberball: Football in the 21st Century Domark
1990;http://www.lemonamiga.com/games/details.php?id=297;c\cyberblast;Commercial;1;1 or 2;Cyberblast;Innerprise;English;OCS,ECS;;Cyberblast Innerprise
1991;http://www.lemonamiga.com/games/details.php?id=292;c\cybercon-iii;Commercial;1;1 Only;Cybercon III;US Gold;English;OCS,ECS;Adventure - Arcade 3D;Cybercon III US Gold
1992;http://www.lemonamiga.com/games/details.php?id=2343;c\cybergammon;Coverdisk;1;1 or 2;Cybergammon;Amiga Fun;English;OCS,ECS;Board - Backgammon;Cybergammon Amiga Fun
1988;http://www.lemonamiga.com/games/details.php?id=294;c\cybernauts;Commercial;1;1 Only;Cybernauts;Kingsoft;English;OCS;;Cybernauts Kingsoft
1992;http://www.lemonamiga.com/games/details.php?id=1286;c\cybernetix-the-first-battle;Shareware;1;1 or 2;Cybernetix: The First Battle;Amiga Format;English;OCS,ECS;;Cybernetix: The First Battle Amiga Format
1989;http://www.lemonamiga.com/games/details.php?id=1560;c\cybernoid-ii-the-revenge;Commercial;1;1 Only;Cybernoid II: The Revenge;Hewson;English;OCS;;Cybernoid II: The Revenge Hewson
1988;http://www.lemonamiga.com/games/details.php?id=295;c\cybernoid-the-fighting-machine;Commercial;1;1 Only;Cybernoid: The Fighting Machine;Hewson;English;OCS;;Cybernoid: The Fighting Machine Hewson
1993;http://www.lemonamiga.com/games/details.php?id=296;c\cyberpunks;Commercial;1;1 Only;Cyberpunks;Core Design;English;OCS,ECS;;Cyberpunks Core Design
1993;http://www.lemonamiga.com/games/details.php?id=1925;c\cyberzerk;Commercial;2;1 or 2, Simultaneous;Cyberzerk;Boeder Software;English;OCS,ECS;;Cyberzerk Boeder Software
1989;http://www.lemonamiga.com/games/details.php?id=298;c\cycles-the-international-grand-prix-racing;Commercial;1;1 Only;Cycles, The: International Grand Prix Racing;Accolade;English;OCS;Racing - Motorcycle;Cycles, The: International Grand Prix Racing Accolade
1997;http://www.lemonamiga.com/games/details.php?id=1926;c\cygnus-8;Commercial;2;1 Only;Cygnus 8;Islona Entertainment;English;OCS,ECS;Strategy - Trading;Cygnus 8 Islona Entertainment
1992;http://www.lemonamiga.com/games/details.php?id=299;c\cytron;Commercial;2;1 Only;Cytron;Psygnosis;English;OCS,ECS;;Cytron Psygnosis
1993;http://www.lemonamiga.com/games/details.php?id=1939;d\d-day;Commercial;4;1 Only;D-Day;US Gold;English;OCS,ECS;Strategy - War;D-Day US Gold
1994;http://www.lemonamiga.com/games/details.php?id=1733;d\d-day-the-beginning-of-the-end;Commercial;2;;D-Day: The Beginning of the End;Impressions;English;OCS,ECS;Strategy - War;D-Day: The Beginning of the End Impressions
1992;http://www.lemonamiga.com/games/details.php?id=1734;d\d-generation;Commercial;2;1 Only;D/Generation;Mindscape;English;OCS,ECS;Adventure - Isometric 3D;D/Generation Mindscape
1993;http://www.lemonamiga.com/games/details.php?id=752;d\d-generation-cd32;Commercial;;1 Only;D/Generation;Mindscape;English;CD32;Adventure - Isometric 3D;D/Generation Mindscape
1993;http://www.lemonamiga.com/games/details.php?id=2735;d\d-generation-aga;Commercial;2;1 Only;D/Generation;Mindscape;English;AGA;Adventure - Isometric 3D;D/Generation Mindscape
1989;http://www.lemonamiga.com/games/details.php?id=1930;d\daily-double-horse-racing;Commercial;1;1 to 4;Daily Double Horse Racing;CDS Software;English;OCS;Gambling - Racing;Daily Double Horse Racing CDS Software
1994;http://www.lemonamiga.com/games/details.php?id=1932;d\dalx;Commercial;1;1 or 2, Simultaneous;Dal'X;Mediagogo;French;OCS,ECS;Platformer - 3D;Dal'X Mediagogo
1993;http://www.lemonamiga.com/games/details.php?id=1294;d\dalek-attack;Commercial;2;1 or 2, Simultaneous;Dalek Attack;Admiral Software;English;OCS,ECS;;Dalek Attack Admiral Software
1988;http://www.lemonamiga.com/games/details.php?id=302;d\daley-thompsons-olympic-challenge;Commercial;1;1 Only;Daley Thompson's Olympic Challenge;Ocean;English;OCS;Sports - Multi-Event;Daley Thompson's Olympic Challenge Ocean
1996;http://www.lemonamiga.com/games/details.php?id=3530;d\damage-the-sadistic-butchering-of-humanity;Commercial;2;1 Only;Damage: The Sadistic Butchering of Humanity;Suomi-Peli;English;OCS,ECS;;Damage: The Sadistic Butchering of Humanity Suomi-Peli
1990;http://www.lemonamiga.com/games/details.php?id=1192;d\damocles-mercenary-ii;Commercial;1;1 Only;Damocles - Mercenary II;Novagen;English;OCS,ECS;Adventure - Miscellaneous;Damocles - Mercenary II Novagen
1990;http://www.lemonamiga.com/games/details.php?id=1295;d\dan-dare-iii-the-escape;Commercial;1;1 Only;Dan Dare III: The Escape;Virgin Mastertronic;English;OCS,ECS;;Dan Dare III: The Escape Virgin Mastertronic
1994;http://www.lemonamiga.com/games/details.php?id=3424;d\dan-wilder;Commercial;2;1 Only;Dan Wilder;Mirage;Polish;OCS,ECS;Adventure - Isometric 3D;Dan Wilder Mirage
1989;http://www.lemonamiga.com/games/details.php?id=1934;d\danger-castle;Commercial;1;1 or 2;Danger Castle;Kunert Soft;English;OCS;Platformer - Single Screen;Danger Castle Kunert Soft
1988;http://www.lemonamiga.com/games/details.php?id=303;d\danger-freak;Commercial;1;1 to 4;Danger Freak;Rainbow Arts;English;OCS;Arcade - Miscellaneous;Danger Freak Rainbow Arts
;http://www.lemonamiga.com/games/details.php?id=2737;d\danger-mouse;Public Domain/Freeware;1;1 Only;Danger Mouse;(unknown);English;OCS,ECS;Platformer - Single Screen;Danger Mouse (unknown)
1993;http://www.lemonamiga.com/games/details.php?id=1390;d\dangerous-streets-aga;Commercial;3;1 or 2, Simultaneous;Dangerous Streets;Flair Software;English;AGA;;Dangerous Streets Flair Software
1993;http://www.lemonamiga.com/games/details.php?id=2734;d\dangerous-streets;Commercial;1;1 or 2, Simultaneous;Dangerous Streets;Flair Software;English;OCS,ECS;;Dangerous Streets Flair Software
1993;http://www.lemonamiga.com/games/details.php?id=1950;d\dangerous-streets-cd32;Commercial;;1 or 2, Simultaneous;Dangerous Streets;Flair Software;English;CD32;;Dangerous Streets Flair Software
1989;http://www.lemonamiga.com/games/details.php?id=1730;d\darius;Commercial;1;1 Only;Darius+;The Edge;English;OCS;;Darius+ The Edge
1987;http://www.lemonamiga.com/games/details.php?id=309;d\dark-castle;Commercial;2;1 Only;Dark Castle;Mindscape;English;OCS;Adventure - Miscellaneous;Dark Castle Mindscape
1990;http://www.lemonamiga.com/games/details.php?id=1731;d\dark-century;Commercial;1;1 or 2, Simultaneous;Dark Century;Titus Software;English;OCS,ECS;;Dark Century Titus Software
1989;http://www.lemonamiga.com/games/details.php?id=1935;d\dark-fusion;Commercial;1;1 Only;Dark Fusion;Gremlin Graphics;English;OCS;;Dark Fusion Gremlin Graphics
1996;http://www.lemonamiga.com/games/details.php?id=2738;d\dark-obsession;Commercial;1;1 Only;Dark Obsession;Sir Rah Software;English;OCS,ECS;Adventure - Text only;Dark Obsession Sir Rah Software
1992;http://www.lemonamiga.com/games/details.php?id=341;d\dark-queen-of-krynn-the;Commercial;3;1 Only;Dark Queen of Krynn, The;Strategic Simulations, Inc.;English;OCS,ECS;Adventure - RPG 3D;Dark Queen of Krynn, The Strategic Simulations, Inc.
1989;http://www.lemonamiga.com/games/details.php?id=1936;d\dark-side;Commercial;1;1 Only;Dark Side;MicroStatus;English;OCS;Adventure - Arcade 3D;Dark Side MicroStatus
1991;http://www.lemonamiga.com/games/details.php?id=305;d\darkman;Commercial;1;1 Only;Darkman;Ocean;English;OCS,ECS;;Darkman Ocean
1993;http://www.lemonamiga.com/games/details.php?id=306;d\darkmere-the-nightmares-begun;Commercial;4;1 Only;Darkmere: The Nightmare's Begun;Core Design;English,German,French,Italian;OCS,ECS;Adventure - Miscellaneous;Darkmere: The Nightmare's Begun Core Design
1992;http://www.lemonamiga.com/games/details.php?id=304;d\darkseed;Commercial;7;1 Only;Darkseed;Cyberdreams;English;OCS,ECS;Adventure - Point and Click;Darkseed Cyberdreams
1994;http://www.lemonamiga.com/games/details.php?id=472;d\darkseed-cd32;Commercial;;1 Only;Darkseed;Cyberdreams;English;CD32;Adventure - Point and Click;Darkseed Cyberdreams
1991;http://www.lemonamiga.com/games/details.php?id=2733;d\darkspyre;Commercial;2;1 Only;DarkSpyre;Electronic Zoo;English;OCS,ECS;Adventure - RPG 2D;DarkSpyre Electronic Zoo
1998;http://www.lemonamiga.com/games/details.php?id=2743;d\darts-501;Licenceware;1;1 or 2;Darts 501;F1 Licenceware;English;OCS,ECS;Sports - Darts;Darts 501 F1 Licenceware
1989;http://www.lemonamiga.com/games/details.php?id=307;d\datastorm;Commercial;1;1 or 2, Simultaneous;Datastorm;Visionary Design;English;OCS;;Datastorm Visionary Design
1996;http://www.lemonamiga.com/games/details.php?id=3673;d\date-girls-club-vida-x-aga;Commercial;2;1 Only;Date girls club: Vida X;MarkSoft;Polish;ECS,AGA;Adventure - Animated Graphics/Text;Date girls club: Vida X MarkSoft
1994;http://www.lemonamiga.com/games/details.php?id=1732;d\dawn-patrol;Commercial;3;1 Only;Dawn Patrol;Empire Interactive;English;OCS,ECS;Simulation - Flight;Dawn Patrol Empire Interactive
1996;http://www.lemonamiga.com/games/details.php?id=2739;d\dawn-a-new-beginning-remix;Public Domain/Freeware;1;1 Only;Dawn: A New Beginning Remix;ZSoft Productions;English;OCS,ECS;Adventure - RPG 3D;Dawn: A New Beginning Remix ZSoft Productions
1989;http://www.lemonamiga.com/games/details.php?id=1937;d\day-of-the-viper;Commercial;1;1 Only;Day of the Viper;Accolade;English;OCS;Adventure - Arcade 3D;Day of the Viper Accolade
1991;http://www.lemonamiga.com/games/details.php?id=1938;d\daylight-robbery;Commercial;1;1 to 3, Simultaneous;Daylight Robbery;Electronic Zoo;English;OCS,ECS;;Daylight Robbery Electronic Zoo
1990;http://www.lemonamiga.com/games/details.php?id=308;d\days-of-thunder;Commercial;1;1 Only;Days of Thunder;Mindscape;English;OCS;Racing - Cars;Days of Thunder Mindscape
1992;http://www.lemonamiga.com/games/details.php?id=2740;d\dead-breath;Shareware;1;1 Only;Dead Breath;Locus Design;English;OCS,ECS;Adventure - Point and Click;Dead Breath Locus Design
1986;http://www.lemonamiga.com/games/details.php?id=1940;d\deadline;Commercial;1;1 Only;Deadline;Activision;English;OCS;Adventure - Text only;Deadline Activision
1995;http://www.lemonamiga.com/games/details.php?id=2742;d\death-angel;;1;1 or 2, Simultaneous;Death Angel;Amiga Format;English;OCS,ECS;;Death Angel Amiga Format
1989;http://www.lemonamiga.com/games/details.php?id=2940;d\death-bringer;Commercial;2;1 Only;Death Bringer;Spotlight Software;English;OCS;Adventure - RPG 3D;Death Bringer Spotlight Software
