Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1989;http://www.lemonamiga.com/games/details.php?id=3203;r\roll-out;Commercial;1;1 or 2;Roll-out;Procovision;English;OCS;Arcade - Labyrinth/Maze;Roll-out Procovision
1994;http://www.lemonamiga.com/games/details.php?id=3221;r\rollerball;Commercial;1;1 Only;RollerBall;Intersoft;English;OCS,ECS;Arcade - Miscellaneous;RollerBall Intersoft
1989;http://www.lemonamiga.com/games/details.php?id=913;r\rollercoaster-rumbler;Commercial;1;1 or 2, Simultaneous;RollerCoaster Rumbler;Tynesoft;English;OCS;;RollerCoaster Rumbler Tynesoft
1991;http://www.lemonamiga.com/games/details.php?id=916;r\rolling-ronny;Commercial;1;1 Only;Rolling Ronny;Virgin Games;English;OCS,ECS;Platformer - Scrolling Screen;Rolling Ronny Virgin Games
1987;http://www.lemonamiga.com/games/details.php?id=914;r\rolling-thunder;Commercial;1;1 or 2;Rolling Thunder;US Gold;English;OCS;;Rolling Thunder US Gold
1990;http://www.lemonamiga.com/games/details.php?id=915;r\romance-of-the-three-kingdoms;Commercial;2;1 to 8;Romance of the Three Kingdoms;Koei;English;OCS;Strategy - War;Romance of the Three Kingdoms Koei
1988;http://www.lemonamiga.com/games/details.php?id=2518;r\romantic-encounters-at-the-dome;Commercial;2;1 Only;Romantic Encounters at the Dome;MicroIllusions;English;OCS;Adventure - Text only;Romantic Encounters at the Dome MicroIllusions
1994;http://www.lemonamiga.com/games/details.php?id=3186;r\rooster-ii;Commercial;2;1 Only;Rooster II;TSA;Polish;OCS,ECS;;Rooster II TSA
1990;http://www.lemonamiga.com/games/details.php?id=2451;r\rorkes-drift;Commercial;1;1 Only;Rorke's Drift;Impressions;English,German,French,Italian,Spanish;OCS;Strategy - War;Rorke's Drift Impressions
1989;http://www.lemonamiga.com/games/details.php?id=917;r\rotor;Commercial;1;;Rotor;Arcana;English;OCS;;Rotor Arcana
1990;http://www.lemonamiga.com/games/details.php?id=2452;r\rotox;Commercial;2;1 Only;Rotox;US Gold;English;OCS;;Rotox US Gold
1991;http://www.lemonamiga.com/games/details.php?id=2250;r\round-the-bend;Commercial;1;1 Only;Round the Bend!;Impulze;English;OCS,ECS;Platformer - Scrolling Screen;Round the Bend! Impulze
1994;http://www.lemonamiga.com/games/details.php?id=2849;r\roundabout;Commercial;1;1 Only;Roundabout;Intersoft;English;OCS,ECS;Brain - Puzzle;Roundabout Intersoft
1992;http://www.lemonamiga.com/games/details.php?id=1632;r\rubicon;Commercial;2;1 Only;Rubicon;21st Century Entertainment;English;OCS,ECS;;Rubicon 21st Century Entertainment
1994;http://www.lemonamiga.com/games/details.php?id=920;r\ruff-n-tumble;Commercial;2;1 Only;Ruff 'n' Tumble;Renegade;English;OCS,ECS;;Ruff 'n' Tumble Renegade
1990;http://www.lemonamiga.com/games/details.php?id=2236;r\ruff-and-reddy-in-the-space-adventure;Commercial;1;1 Only;Ruff and Reddy in the Space Adventure;Hi-Tec Software;English;OCS;Platformer - Multi Screen;Ruff and Reddy in the Space Adventure Hi-Tec Software
1996;http://www.lemonamiga.com/games/details.php?id=2104;r\ruffian;Commercial;3;1 Only;Ruffian;Xplosive Software;English;OCS,ECS;Platformer - Scrolling Screen;Ruffian Xplosive Software
1991;http://www.lemonamiga.com/games/details.php?id=921;r\rugby-the-world-cup;Commercial;1;1 or 2, Simultaneous;Rugby: The World Cup;Domark;English;OCS,ECS;Sports - Rugby;Rugby: The World Cup Domark
2000;http://www.lemonamiga.com/games/details.php?id=3695;r\ruhrpott-fussball-manager-pro;Public Domain/Freeware;2;1 Only;Ruhrpott Fussball Manager Pro;(unknown);German;OCS,ECS;Sports - Football/Soccer;Ruhrpott Fussball Manager Pro (unknown)
1991;http://www.lemonamiga.com/games/details.php?id=3280;r\rules-of-engagement;Commercial;2;1 Only;Rules of Engagement;Mindcraft;English;OCS,ECS;Strategy - War;Rules of Engagement Mindcraft
1989;http://www.lemonamiga.com/games/details.php?id=922;r\run-the-gauntlet;Commercial;2;1 to 4;Run the Gauntlet;Ocean;English;OCS;Sports - Multi-Event;Run the Gauntlet Ocean
1989;http://www.lemonamiga.com/games/details.php?id=923;r\running-man-the;Commercial;2;1 Only;Running Man, The;Grandslam;English;OCS;;Running Man, The Grandslam
1990;http://www.lemonamiga.com/games/details.php?id=924;r\rvf-honda;Commercial;1;1 Only;RVF Honda;MicroStyle;English;OCS;Racing - Motorcycle;RVF Honda MicroStyle
1993;http://www.lemonamiga.com/games/details.php?id=2882;r\ryder-cup-johnnie-walker-aga;Commercial;3;1 to 4;Ryder Cup: Johnnie Walker;Ocean;English;AGA;Sports - Golf;Ryder Cup: Johnnie Walker Ocean
1993;http://www.lemonamiga.com/games/details.php?id=1962;r\ryder-cup-johnnie-walker-cd32;Commercial;;;Ryder Cup: Johnnie Walker;Ocean;English;CD32;Sports - Golf;Ryder Cup: Johnnie Walker Ocean
