"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords"
"NoError, NoKbd, EmulTrapV";"Super Cauldron ? 1993 Titus.";"1993 Titus";"whdload";"0";"Super Cauldron";"SuperCauldron";"1015763";"S\SuperCauldron\SuperCauldron.Slave";"0";"S\SuperCauldron";"524288";"SuperCauldron";"OCS/ECS";"";"";"";"";"";"super cauldron";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1019";"1019";"Commercial";"English";"2";"1 Only";"Super Cauldron";"Titus Software";"s\super-cauldron";"OCS,ECS";"Platformer - Scrolling Screen";"super cauldron supercauldron 1019 titus software supercauldron english"
"NoError, EmulPriv, Examine";"Super C ? 1990 Konami/USI Unlimited Software Inc.";"1990 Konami/USI Unlimited Software.";"whdload";"0";"Super C (fast)";"SuperCFast";"759470";"S\SuperCFast\SuperCFast.Slave";"786432";"S\SuperCFast";"524288";"SuperC";"OCS/ECS";"";"Fast";"";"";"";"super fast";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=3181";"3181";"Commercial";"English";"1";"1 or 2, Simultaneous";"Super C";"Konami";"s\super-c";"OCS";"";"super c superc 3181 konami superc english"
"NoError, EmulTrap, NoKbd";"Superfrog (c) 1993/1994 Team 17 - 3 disks/CD32.";"1993 Team 17";"whdload";"0";"Superfrog Intro";"Superfrog";"3019134";"S\Superfrog\SuperfrogIntro.Slave";"0";"S\Superfrog";"1048576";"Superfrog";"OCS/ECS";"";"";"";"";"";"superfrog intro";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1023";"1023";"Commercial";"English";"3";"1 Only";"Superfrog";"Team 17";"s\superfrog";"OCS,ECS";"Platformer - Scrolling Screen";"superfrog superfrog 1023 team 17 superfrog english"
"NoError, EmulTrap, NoKbd";"Superfrog (c) 1993/1994 Team 17 - 3 disks/CD32.";"1993 Team 17";"whdload";"0";"Superfrog";"Superfrog";"3019134";"S\Superfrog\Superfrog.Slave";"0";"S\Superfrog";"1048576";"Superfrog";"OCS/ECS";"";"";"";"";"";"superfrog";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1023";"1023";"Commercial";"English";"3";"1 Only";"Superfrog";"Team 17";"s\superfrog";"OCS,ECS";"Platformer - Scrolling Screen";"superfrog superfrog 1023 team 17 superfrog english"
"NoError, NoKbd";"Superfrog (c) 1993/1994 Team 17 - 3 disks/CD32.";"1994 Team 17";"whdload";"0";"Superfrog CD³²";"SuperfrogCD32";"3848800";"S\SuperfrogCD32\SuperfrogCD32.Slave";"0";"S\SuperfrogCD32";"2031616";"Superfrog";"CD32";"";"";"";"";"";"superfrog";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1023";"1023";"Commercial";"English";"3";"1 Only";"Superfrog";"Team 17";"s\superfrog";"OCS,ECS";"Platformer - Scrolling Screen";"superfrog superfrog 1023 team 17 superfrog english"
"NoError";"Superfrog (c) 1993/1994 Team 17 - 3 disks/CD32.";"1994 Team 17";"whdload";"0";"Superfrog Intro CD³²";"SuperfrogCD32";"3848800";"S\SuperfrogCD32\SuperfrogIntroCD32.Slave";"0";"S\SuperfrogCD32";"1179648";"Superfrog";"CD32";"";"";"";"";"";"superfrog intro";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1023";"1023";"Commercial";"English";"3";"1 Only";"Superfrog";"Team 17";"s\superfrog";"OCS,ECS";"Platformer - Scrolling Screen";"superfrog superfrog 1023 team 17 superfrog english"
"NoError, EmulTrap, NoKbd";"Superfrog Demo (c) 1993 Team 17 - 1 disk. The demo";"1993 Team 17";"whdload";"0";"Superfrog Demo";"SuperfrogDemoAmigaAction";"476067";"S\SuperfrogDemoAmigaAction\SuperfrogDemoAmigaAction.Slave";"4096";"S\SuperfrogDemoAmigaAction";"1048576";"Superfrog";"OCS/ECS";"";"";"Demo";"AmigaAction";"";"superfrog";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1023";"1023";"Commercial";"English";"3";"1 Only";"Superfrog";"Team 17";"s\superfrog";"OCS,ECS";"Platformer - Scrolling Screen";"superfrog superfrog 1023 team 17 superfrog english"
"NoError, EmulTrap, NoKbd";"Superfrog Demo (c) 1993 Team 17 - 1 disk. The demo";"1993 Team 17";"whdload";"0";"Superfrog Demo";"SuperfrogDemoCUAmiga";"420144";"S\SuperfrogDemoCUAmiga\SuperfrogDemoCUAmiga.Slave";"4096";"S\SuperfrogDemoCUAmiga";"1048576";"Superfrog";"OCS/ECS";"";"";"Demo";"CUAmiga";"";"superfrog";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1023";"1023";"Commercial";"English";"3";"1 Only";"Superfrog";"Team 17";"s\superfrog";"OCS,ECS";"Platformer - Scrolling Screen";"superfrog superfrog 1023 team 17 superfrog english"
"NoError, EmulTrap, NoKbd";"Superfrog Demo (c) 1993 Team 17 - 1 disk. The demo";"1993 Team 17";"whdload";"0";"Superfrog Demo";"SuperfrogDemoTheOne";"409615";"S\SuperfrogDemoTheOne\SuperfrogDemoTheOne.Slave";"4096";"S\SuperfrogDemoTheOne";"1048576";"Superfrog";"OCS/ECS";"";"";"Demo";"TheOne";"";"superfrog";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1023";"1023";"Commercial";"English";"3";"1 Only";"Superfrog";"Team 17";"s\superfrog";"OCS,ECS";"Platformer - Scrolling Screen";"superfrog superfrog 1023 team 17 superfrog english"
"NoError, EmulTrap";"Super Grand Prix (c) 1991 Codemasters - 1 disk.";"1991 Codemasters";"whdload";"0";"Super Grand Prix";"SuperGrandPrix";"934584";"S\SuperGrandPrix\SuperGrandPrix.Slave";"4096";"S\SuperGrandPrix";"524288";"SuperGrandPrix";"OCS/ECS";"";"";"";"";"";"super grand prix";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=1022";"1022";"Commercial";"English";"1";"1 to 4";"Super Grand Prix";"Codemasters";"s\super-grand-prix";"OCS,ECS";"Racing - Overhead";"super grand prix supergrandprix 1022 codemasters supergrandprix english"
