"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"CannonFodderNewCampaign\CannonFodderNewCampaign.slave";"Disk, NoError, EmulTrap";"Cannon Fodder, ?1993 Sensible Software";"--<> Cannon Fodder <>--";"1993 Sensible Software / Virgin";"65536";"C\CannonFodderNewCampaign_v1.3.lha";"CannonFodderNewCampaign";"CannonFodderNewCampaign";"0";"whdload";"1048576";"2257586";"CannonFodderNewCampaign";"OCS/ECS";"";"";"";"";"";"cannon fodder new campaign";"Exact";"100";"CannonFodderNewCampaign";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonFodderNewCampaign.png";"cannonfoddernewcampaign"
"CannonFodderPlus\CannonFodderPlus.Slave";"NoError";"Cannon Fodder Plus ? 1993 Sensible Software";"Cannon Fodder Plus";"1993 Sensible Software";"40960";"C\CannonFodderPlus_v1.0_0060.lha";"CannonFodderPlus";"CannonFodderPlus";"0";"whdload";"1048576";"703317";"CannonFodderPlus";"OCS/ECS";"";"";"";"";"";"cannon fodder plus";"Exact";"100";"CannonFodderPlus";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonFodderPlus.png";"cannonfodderplus"
"CannonFodderCD32\CannonFodderCD32.Slave";"NoError";"Cannon Fodder CD?? ? 1993 Sensible Software.";"Cannon Fodder CD³²";"1993 Sensible Software";"45056";"C\CannonFodder_v1.2_CD32.lha";"CannonFodderCD32";"CannonFodderCD32";"0";"whdload";"1048576";"1528830";"CannonFodder";"CD32";"";"";"";"";"";"cannon fodder";"Exact";"100";"CannonFodderCD32";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonFodderCD32.png";"cannonfoddercd32"
"CannonFodder\CannonFodder.Slave";"NoError";"Cannon Fodder, ?1993 Sensible Software";"Cannon Fodder";"1993 Sensible Software";"45056";"C\CannonFodder_v2.0_0860.lha";"CannonFodder";"CannonFodder";"0";"whdload";"1048576";"1580684";"CannonFodder";"OCS/ECS";"";"";"";"";"";"cannon fodder";"Exact";"100";"CannonFodder";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonFodder.png";"cannonfodder"
"CannonFodderDe\CannonFodderDe.Slave";"NoError";"Cannon Fodder, ?1993 Sensible Software";"Cannon Fodder";"1993 Sensible Software";"45056";"C\CannonFodder_v2.0_De.lha";"CannonFodderDe";"CannonFodderDe";"0";"whdload";"1048576";"1577934";"CannonFodder";"OCS/ECS";"De";"";"";"";"";"cannon fodder";"Exact";"100";"CannonFodderDe";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonFodderDe.png";"cannonfodderde"
"CannonFodderFr\CannonFodderFr.Slave";"NoError";"Cannon Fodder, ?1993 Sensible Software";"Cannon Fodder";"1993 Sensible Software";"45056";"C\CannonFodder_v2.0_Fr_2332.lha";"CannonFodderFr";"CannonFodderFr";"0";"whdload";"1048576";"1581376";"CannonFodder";"OCS/ECS";"Fr";"";"";"";"";"cannon fodder";"Exact";"100";"CannonFodderFr";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonFodderFr.png";"cannonfodderfr"
"CannonFodderIt\CannonFodderIt.Slave";"NoError";"Cannon Fodder, ?1993 Sensible Software";"Cannon Fodder";"1993 Sensible Software";"45056";"C\CannonFodder_v2.0_It.lha";"CannonFodderIt";"CannonFodderIt";"0";"whdload";"1048576";"1577495";"CannonFodder";"OCS/ECS";"It";"";"";"";"";"cannon fodder";"Exact";"100";"CannonFodderIt";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonFodderIt.png";"cannonfodderit"
"CannonSoccer\CannonSoccer.Slave";"NoError";"Cannon Soccer ? 1993 Sensible Software/Amiga Format";"Cannon Soccer - Amiga Format Xmas Special";"1993 Sensible Software";"45056";"C\CannonSoccer_v1.0_0165.lha";"CannonSoccer";"CannonSoccer";"0";"whdload";"1048576";"383208";"CannonSoccer";"OCS/ECS";"";"";"";"";"";"cannon soccer amiga format xmas special";"Exact";"100";"CannonSoccer";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CannonSoccer.png";"cannonsoccer"
"CapitalPunishmentAGA\CapitalPunishmentAGA.Slave";"NoError, EmulTrap, Req68020, ReqAGA, EmulPriv, Examine";"Capital Punishment ?1996 ClickBoom.";"Capital Punishment";"1996 Click Boom";"1572864";"C\CapitalPunishment_v1.2_AGA_1758.lha";"CapitalPunishmentAGA";"CapitalPunishmentAGA";"0";"whdload";"2031616";"14787616";"CapitalPunishment";"AGA";"";"";"";"";"";"capital punishment";"Exact";"100";"CapitalPunishmentAGA";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CapitalPunishmentAGA.png";"capitalpunishmentaga"
"CapitalPunishmentAGACD\CapitalPunishmentAGACD.Slave";"NoError, EmulTrap, Req68020, ReqAGA, EmulPriv, Examine";"Capital Punishment ?1996 ClickBoom.";"Capital Punishment";"1996 Click Boom";"1572864";"C\CapitalPunishment_v1.2_AGA_CD.lha";"CapitalPunishmentAGACD";"CapitalPunishmentAGACD";"0";"whdload";"2031616";"14732923";"CapitalPunishment";"CD,AGA";"";"";"";"";"";"capital punishment";"Exact";"100";"CapitalPunishmentAGACD";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CapitalPunishmentAGACD.png";"capitalpunishmentagacd"
"CapNCarnage\CapNCarnage.slave";"NoError, EmulPriv, Examine";"Cap 'N' Carnage ? 1991 Energize (Impressions).";"Cap ";"1991 Energize (Impressions)";"262144";"C\CapNCarnage_v1.0_2227.lha";"CapNCarnage";"CapNCarnage";"0";"whdload";"524288";"310021";"CapNCarnage";"OCS/ECS";"";"";"";"";"";"cap ncarnage";"Exact";"100";"CapNCarnage";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CapNCarnage.png";"capncarnage"
"Capone\Capone.Slave";"NoError, EmulPriv, Examine";"Capone ? 1988 Actionware.";"Capone";"1988 Actionware.";"262144";"C\Capone_v1.2.lha";"Capone";"Capone";"0";"whdload";"524288";"660922";"Capone";"OCS/ECS";"";"";"";"";"";"capone";"Exact";"100";"Capone";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Capone.png";"capone"
