"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, EmulTrap, ClearMem";"1444096";"A\Amplifier2\Amplifier2.Slave";"Amplifier II ? 1991 Dimension 4.";"0";"Amplifier2";"Amplifier II";"1991 Dimension 4";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Amplifier2";"OCS/ECS";"";"";"";"";"";"the amplifier 2 dimension 4"
"NoError, ClearMem";"929897";"A\Analogia\Analogia.Slave";"Analogia ? 1991 Analog";"0";"Analogia";"Analogia";"1991 Analog";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Analogia";"OCS/ECS";"";"";"";"";"";"analogia analog"
"NoError";"195247";"A\AnarchyAnnouncetro\AnarchyAnnouncetro.Slave";"Anarchy - Announcetro ? 1991 The Silents & Anarchy";"0";"AnarchyAnnouncetro";"Anarchy - Announcetro";"1991 The Silents & Anarchy";"364544";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AnarchyAnnouncetro";"OCS/ECS";"";"";"";"";"";"anarchy announcetro the silents"
"NoError, EmulTrap, ClearMem";"924973";"A\AnarchyParty1991Slideshow\AnarchyPartySlide.Slave";"Anarchy Party 1991 Slideshow ? 1991 Razor 1911.";"0";"AnarchyParty1991Slideshow";"Anarchy Party 1991 Slideshow";"1991 Razor 1911";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AnarchyParty1991Slideshow";"OCS/ECS";"";"";"";"";"";"anarchy party slide razor 1911"
"NoError, EmulTrap, ClearMem";"219165";"A\Animotion\Animotion.Slave";"Animotion ? 1990 Phenomena.";"0";"Animotion";"Animotion";"1990 Phenomena";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Animotion";"OCS/ECS";"";"";"";"";"";"animotion phenomena"
"NoError";"345406";"A\Announce\Announce.Slave";"Announce ? 1993 Lemon.";"0";"Announce";"Announce";"1993 Lemon.";"466944";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Announce";"OCS/ECS";"";"";"";"";"";"announce lemon"
"NoError, EmulTrap, ClearMem";"394645";"A\Apocalypse\Apocalypse.Slave";"Apocalypse 1992 Gods.";"0";"Apocalypse";"Apocalypse";"1992 Gods";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Apocalypse";"OCS/ECS";"";"";"";"";"";"apocalypse gods"
"NoError, EmulTrap, ClearMem";"727468";"A\Aquarium\Aquarium.Slave";"Aquarium 1993 Carillon & Cyberiad.";"0";"Aquarium";"Aquarium";"1993 Carillon & Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Aquarium";"OCS/ECS";"";"";"";"";"";"aquarium carillon cyberiad"
"NoError, ClearMem";"917773";"A\Art&Go\Art&Go.Slave";"Art and Go ? 1993 Impulse.";"0";"Art&Go";"Art and Go";"1993 Impulse";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Art&Go";"OCS/ECS";"";"";"";"";"";"art go and impulse"
"Disk, NoError, EmulTrap";"898402";"A\Arte\Arte.Slave";"Arte ? 1993 Sanity.";"0";"Arte";"Arte";"1993 Sanity";"495616";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Arte";"OCS/ECS";"";"";"";"";"";"arte sanity"
