"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"NoError, EmulTrap, ClearMem";"919642";"M\Monoxide\Monoxide.Slave";"Monoxide ? 1992 Vanish.";"0";"Monoxide";"Monoxide";"1992 Vanish";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Monoxide";"OCS/ECS";"";"";"";"";"monoxide vanish";"Exact";"100";"Pouet";"amiga demo";"3rd";"Vanish";"m\monoxide-vanish";"demo";"World of Commodore 1992";"http://content.pouet.net/files/screenshots/00000/00000406.gif";"november 1992";"Monoxide";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=406";"monoxide monoxide vanish monoxidevanish"
"NoError, EmulTrap, ClearMem";"1322930";"M\MorbidVisions\MorbidVisions.Slave";"Morbid Visions 1992 Cyberiad.";"0";"MorbidVisions";"Morbid Visions";"1992 Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MorbidVisions";"OCS/ECS";"";"";"";"";"morbid visions cyberiad";"Exact";"100";"Pouet";"";"";"Cyberiad";"m\morbid-visions-cyberiad";"slideshow";"";"http://content.pouet.net/files/screenshots/00031/00031150.png";"august 1992";"Morbid Visions";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=31150";"morbid visions morbidvisions cyberiad morbidvisionscyberiad"
"NoError, EmulTrap, ClearMem";"603319";"M\MorbidVisions2\MorbidVisions2.Slave";"Morbid Visions 2 1993 Carillon & Cyberiad.";"0";"MorbidVisions2";"Morbid Visions 2";"1993 Carillon & Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MorbidVisions2";"OCS/ECS";"";"";"";"";"morbid visions 2 carillon cyberiad";"Best";"4,855123";"Pouet";"";"";"Carillon & Cyberiad";"m\morbid-visions-ii-carillon-cyberiad";"slideshow";"";"http://content.pouet.net/files/screenshots/00031/00031148.png";"march 1993";"Morbid Visions II";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=31148";"morbid visions 2 morbidvisions2 carillon cyberiad morbidvisionsiicarilloncyberiad"
"NoError, EmulTrap, ClearMem";"450351";"M\MorbidVisions3\MorbidVisions3.Slave";"Morbid Visions 3 1994 Carillon, Cyberiad & Complex.";"0";"MorbidVisions3";"Morbid Visions 3";"1994 Carillon, Cyberiad & Complex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MorbidVisions3";"OCS/ECS";"";"";"";"";"morbid visions 3 carillon cyberiad complex";"Exact";"100";"Pouet";"none";"n/a";"Carillon & Cyberiad,Complex";"m\morbid-visions-3-carillon-cyberiad-complex";"slideshow";"The Party 1993";"http://content.pouet.net/files/screenshots/00011/00011363.jpg";"april 1994";"morbid visions 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=11363";"morbid visions 3 morbidvisions3 carillon cyberiad complex morbidvisions3carilloncyberiadcomplex"
"NoError, EmulTrap, ClearMem";"922610";"M\MoreThanMusic\MoreThanMusic.Slave";"More Than Music ? 1991 Alcatraz";"0";"MoreThanMusic";"More Than Music";"1991 Alcatraz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MoreThanMusic";"OCS/ECS";"";"";"";"";"more than music alcatraz";"Exact";"100";"Pouet";"";"";"Alcatraz";"m\more-than-music-alcatraz";"demo";"";"http://content.pouet.net/files/screenshots/00009/00009578.png";"april 1991";"more than music";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9578";"more than music morethanmusic alcatraz morethanmusicalcatraz"
"Disk, NoError, Req68020, ReqAGA";"1814010";"M\Motion\Motion.slave";"Motion ? 1994 Bomb.";"0";"Motion";"";"";"2080768";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Motion";"AGA";"";"";"";"";"motion origin 2 bomb";"Exact";"100";"Pouet";"amiga demo";"3rd";"Bomb";"m\motion-origin-2-bomb";"demo";"The Party 1994";"http://content.pouet.net/files/screenshots/00005/00005436.jpg";"december 1994";"motion (origin 2)";"Amiga AGA";"http://www.pouet.net/prod.php?which=5436";"motion origin 2 motionorigin2 bomb motionorigin2bomb"
"Disk, NoError, Req68020, ReqAGA";"1814627";"M\MotionAGA\MotionAGA.slave";"Motion ? 1994 Bomb.";"0";"MotionAGA";"";"";"2080768";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Motion";"AGA";"";"";"";"";"motion origin 2 bomb";"Exact";"100";"Pouet";"amiga demo";"3rd";"Bomb";"m\motion-origin-2-bomb";"demo";"The Party 1994";"http://content.pouet.net/files/screenshots/00005/00005436.jpg";"december 1994";"motion (origin 2)";"Amiga AGA";"http://www.pouet.net/prod.php?which=5436";"motion origin 2 motionorigin2 bomb motionorigin2bomb"
"NoError, EmulTrap, ReqAGA, ClearMem";"457840";"M\MrMonkey\MrMonkey.Slave";"Mr. Monkey ? 1994 Rebels.";"0";"MrMonkey";"Mr. Monkey";"1994 Rebels";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MrMonkey";"AGA";"";"";"";"";"mr monkey rebels";"Exact";"100";"Pouet";"amiga demo";"3rd";"Rebels";"m\mr-monkey-rebels";"demo";"South Sealand Party 1994";"http://content.pouet.net/files/screenshots/00017/00017528.jpg";"june 1994";"Mr. Monkey";"Amiga AGA";"http://www.pouet.net/prod.php?which=17528";"mr monkey mrmonkey rebels mrmonkeyrebels"
"NoError, EmulTrap, ReqAGA, ClearMem";"458441";"M\MrMonkeyAGA\MrMonkeyAGA.Slave";"Mr. Monkey ? 1994 Rebels.";"0";"MrMonkeyAGA";"Mr. Monkey";"1994 Rebels";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MrMonkey";"AGA";"";"";"";"";"mr monkey aga rebels";"Best";"2,736173";"Pouet";"amiga demo";"3rd";"Rebels";"m\mr-monkey-rebels";"demo";"South Sealand Party 1994";"http://content.pouet.net/files/screenshots/00017/00017528.jpg";"june 1994";"Mr. Monkey";"Amiga AGA";"http://www.pouet.net/prod.php?which=17528";"mr monkey mrmonkey rebels mrmonkeyrebels"
"Disk, NoError";"909230";"M\Multica\Multica.slave";"Multica ? 1992 Andromeda.";"0";"Multica";"Multica";"1992 Andromeda";"520192";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Multica";"OCS/ECS";"";"";"";"";"multica andromeda";"Exact";"100";"Pouet";"amiga demo";"10th";"Andromeda";"m\multica-andromeda";"demo";"The Gathering 1992";"http://content.pouet.net/files/screenshots/00005/00005420.jpg";"april 1992";"multica";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=5420";"multica multica andromeda multicaandromeda"
"NoError, EmulTrap, ClearMem";"128923";"M\Multidemo\Multidemo.Slave";"Multidemo ? 1990 Amaze.";"0";"Multidemo";"Multidemo";"1990 Amaze";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Multidemo";"OCS/ECS";"";"";"";"";"multidemo amaze";"Exact";"100";"Pouet";"";"";"Amaze";"m\multi-demo-amaze";"demo";"";"http://content.pouet.net/files/screenshots/00034/00034142.gif";"august 1990";"Multi Demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=34142";"multi demo multidemo amaze multidemoamaze"
"Disk, NoError";"910394";"M\MultiMegamix\MultiMegamix.slave";"Multi Megamix ? 1991 Kefrens (1 disk)";"0";"MultiMegamix";"Multi Megamix";"1991 Kefrens";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MultiMegamix";"OCS/ECS";"";"";"";"";"multi megamix kefrens";"Exact";"100";"Pouet";"";"";"Kefrens";"m\multi-megamix-kefrens";"musicdisk";"";"http://content.pouet.net/files/screenshots/00004/00004708.jpg";"1991";"Multi Megamix";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=4708";"multi megamix multimegamix kefrens multimegamixkefrens"
"Disk, NoError, ClearMem";"912253";"M\MultiMegamix2\MultiMegamix2.slave";"Multi Megamix II ? 1992 Kefrens (1 disk)";"0";"MultiMegamix2";"Multi Megamix II";"1992 Kefrens";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MultiMegamix2";"OCS/ECS";"";"";"";"";"multi megamix 2 kefrens";"Exact";"100";"Pouet";"";"";"Kefrens";"m\multi-megamix-2-kefrens";"musicdisk";"";"http://content.pouet.net/files/screenshots/00004/00004709.jpg";"1991";"Multi Megamix 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=4709";"multi megamix 2 multimegamix2 kefrens multimegamix2kefrens"
"NoError, ClearMem";"922685";"M\MultiMegamix3\MultiMegamix3.Slave";"MultiMegamix III ? 1992 Kefrens";"0";"MultiMegamix3";"Multi Megamix III";"1992 Kefrens";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MultiMegamix3";"OCS/ECS";"";"";"";"";"multi megamix 3 kefrens";"Exact";"100";"Pouet";"";"";"Kefrens";"m\multi-megamix-3-kefrens";"musicdisk";"";"http://content.pouet.net/files/screenshots/00004/00004713.jpg";"december 1992";"Multi Megamix 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=4713";"multi megamix 3 multimegamix3 kefrens multimegamix3kefrens"
"NoError, EmulTrap, ClearMem";"921261";"M\Museum\Museum.Slave";"Museum ? 1992 Alcatraz.";"0";"Museum";"Museum";"1992 Alcatraz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Museum";"OCS/ECS";"";"";"";"";"museum alcatraz";"Exact";"100";"Pouet";"";"";"Alcatraz";"m\museum-alcatraz";"slideshow";"";"http://content.pouet.net/files/screenshots/00009/00009597.png";"april 1992";"museum";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9597";"museum museum alcatraz museumalcatraz"
"NoError, EmulTrap, ClearMem";"466340";"M\MusicalRabbit\MusicalRabbit.Slave";"Musical Rabbit ? 1993 Carrillon & Cyberiad.";"0";"MusicalRabbit";"Muscial Rabbit";"1993 Carrillon & Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicalRabbit";"OCS/ECS";"";"";"";"";"musical rabbit muscial carrillon cyberiad";"Best";"1,777772";"Pouet";"";"";"Carillon & Cyberiad";"m\musical-rabbit-carillon-cyberiad";"musicdisk";"";"http://content.pouet.net/files/screenshots/00031/00031149.png";"july 1993";"Musical Rabbit";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=31149";"musical rabbit musicalrabbit carillon cyberiad musicalrabbitcarilloncyberiad"
"NoError, EmulTrap, ClearMem";"919979";"M\MusicalSecrets\MusicalSecrets.Slave";"Musical Secrets ? 1992 Zite.";"0";"MusicalSecrets";"Musical Secrets";"1992 Zite";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicalSecrets";"OCS/ECS";"";"";"";"";"musical secrets zite";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Zite";;"Musicdisk";"";;"8/92";"Musical Secrets";;;"musical secrets musicalsecrets zite musicalsecretszite"
"NoError, EmulTrap, ClearMem";"841399";"M\Musication\Musication.slave";"Musication ? 1992 Absolute!.";"0";"Musication";"Musication";"1992 Absolute!";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Musication";"OCS/ECS";"";"";"";"";"musication absolute";"Best";"4,967727";"Pouet";"";"";"Absolute!";"m\musication-vol1-absolute";"musicdisk";"";"http://content.pouet.net/files/screenshots/00028/00028800.png";"august 1992";"Musication Vol.1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=28800";"musication vol 1 musicationvol1 absolute musicationvol1absolute"
"NoError, EmulTrap, ClearMem";"883377";"M\Musicbox3\Musicbox3.Slave";"Musicbox 3 ? 1991 Gate.";"0";"Musicbox3";"Musicbox 3";"1991 Gate";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Musicbox3";"OCS/ECS";"";"";"";"";"musicbox 3 gate";"Exact";"100";"Pouet";"";"";"Gate";"m\musicbox-3-gate";"musicdisk";"";"http://content.pouet.net/files/screenshots/00009/00009560.png";"january 1991";"Musicbox 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9560";"musicbox 3 musicbox3 gate musicbox3gate"
"NoError, EmulTrap, ClearMem";"1105707";"M\MusicBoxCopyride\MusicBoxCopyride.Slave";"Music Box ? 1991 Copyride.";"0";"MusicBoxCopyride";"Music Box";"1991 Copyride";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicBoxCopyride";"OCS/ECS";"";"";"";"";"music box copyride";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Copyride";;"Musicdisk";"Amiga Summit Convention";;"";"Music Box";;;"music box musicbox copyride musicboxcopyride"
"NoError, EmulTrap, ClearMem";"1820533";"M\MusicCollection\MusicCollection.Slave";"Music Collection 1991 Katharsis.";"0";"MusicCollection";"Music Collection";"1991 Katharsis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicCollection";"OCS/ECS";"";"";"";"";"music collection katharsis";"Exact";"100";"Custom Demos";;;"Katharsis";;"";"";;"1991";"Music Collection";"ECS/OCS";;"music collection musiccollection katharsis musiccollectionkatharsis"
"NoError, EmulTrap, ClearMem";"921379";"M\MusicCompacting2\MusicCompacting2.Slave";"Music Compacting 2 ? 1991 Zylon & Alpha Flight.";"0";"MusicCompacting2";"Music Compacting 2";"1991 Zylon & Alpha Flight";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicCompacting2";"OCS/ECS";"";"";"";"";"music compacting 2 zylon alpha flight";"Best";"4,005239";"Pouet";"";"";"Alpha Flight 1970,Zylon";"m\music-compacting-2-alpha-flight-1970-zylon";"musicdisk";"";"http://content.pouet.net/files/screenshots/00033/00033663.gif";"1991";"Music Compacting 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33663";"music compacting 2 musiccompacting2 alpha flight 1970 zylon musiccompacting2alphaflight1970zylon"
"NoError, EmulTrap, ClearMem";"793797";"M\MusicCompilation\MusicCompilation.Slave";"Music Compilation ? 1989 Random Access.";"0";"MusicCompilation";"Music Compilation ";"1989 Random Access";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicCompilation";"OCS/ECS";"";"";"";"";"music compilation random access";"Exact";"100";"Pouet";"";"";"Random Access";"m\music-compilation-random-access";"musicdisk";"";"http://content.pouet.net/files/screenshots/00021/00021406.png";"n/a";"Music Compilation";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21406";"music compilation musiccompilation random access musiccompilationrandomaccess"
"NoError, EmulTrap, ClearMem";"919051";"M\MusicDemoDeform\MusicDemoDeform.Slave";"Music Demo ? 1992 Deform.";"0";"MusicDemoDeform";"Music Demo";"1992 Deform";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDemoDeform";"OCS/ECS";"";"";"";"";"music demo deform";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Deform";;"Musicdisk";"";;"92";"Music Demo";;;"music demo musicdemo deform musicdemodeform"
"NoError, EmulTrap, ClearMem";"1627280";"M\MusicDisk1\MusicDisk1.Slave";"Music Disk ? 1990 The Fantasy Force.";"0";"MusicDisk1";"Music Disk";"1990 The Fantasy Force";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1";"OCS/ECS";"";"";"";"";"musicdisk 1 royal amiga force";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Royal Amiga Force";;"Musicdisk";"";;"7/90";"Musicdisk 1";;;"musicdisk 1 musicdisk1 royal amiga force musicdisk1royalamigaforce"
"NoError, EmulTrap, ClearMem";"1820306";"M\MusicDisk181stTrack\MusicDisk181stTrack.Slave";"Music Disk 1 ? 1991 81st Track.";"0";"MusicDisk181stTrack";"Music Disk 1";"1991 81st Track";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk181stTrack";"OCS/ECS";"";"";"";"";"music disk 181 st track 1 81";"Best";"3,734093";"Pouet";"";"";"The 81st Track";"m\music-disk-1-the-81st-track";"musicdisk";"";"http://content.pouet.net/files/screenshots/00059/00059682.gif";"1992";"Music Disk 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=59682";"music disk 1 musicdisk1 the 81 st track musicdisk1the81sttrack"
"NoError, EmulTrap, ClearMem";"322828";"M\MusicDisk1AdamMcCrory\MusicDisk1AdamMcCrory.Slave";"Music Disk 1 ? 1993 Adam McCrory.";"0";"MusicDisk1AdamMcCrory";"Music Disk 1";"1993 Adam McCrory";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1AdamMcCrory";"OCS/ECS";"";"";"";"";"music disk 1 adam mc crory";"Best";"6,328896";"Janeway Amiga Scene Demo Database";;;"Adam McCrory";;"Musicdisk";"";;"";"Adam McCrory Music Disk 1";;;"adam mc crory music disk 1 adammccrorymusicdisk1 adam mc crory adammccrorymusicdisk1adammccrory"
"NoError, ClearMem";"926565";"M\MusicDisk1Alcatraz\MusicDisk1Alcatraz.Slave";"Music Disk 1 ? 1990 Alcatraz";"0";"MusicDisk1Alcatraz";"Music Disk 1";"1990 Alcatraz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1Alcatraz";"OCS/ECS";"";"";"";"";"music disk 1 alcatraz";"Exact";"100";"Pouet";"";"";"Alcatraz";"m\musicdisk-1-alcatraz";"musicdisk";"";"http://content.pouet.net/files/screenshots/00012/00012747.png";"february 1991";"musicdisk 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12747";"musicdisk 1 musicdisk1 alcatraz musicdisk1alcatraz"
"NoError, EmulTrap, ClearMem";"843394";"M\MusicDisk1Bass\MusicDisk1Bass.Slave";"Music Disk 1 ? 1991 Bass.";"0";"MusicDisk1Bass";"Music Disk 1";"1991 Bass";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1Bass";"OCS/ECS";"";"";"";"";"music disk bass";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Bass";;"Musicdisk";"";;"";"Music Disk";;;"music disk musicdisk bass musicdiskbass"
"NoError";"918043";"M\MusicDisk1DMob\MusicDisk1DMob.Slave";"MusicDisk 1 ? 1989 D-Mob.";"0";"MusicDisk1DMob";"MusicDisk 1";"1989 D-Mob";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1DMob";"OCS/ECS";"";"";"";"";"music disk 1 dmob mob";"Best";"2,61973";"Pouet";"";"";"D-Mob";"m\music-disk-1-d-mob";"musicdisk";"";"http://content.pouet.net/files/screenshots/00016/00016561.jpg";"1989";"Music-Disk 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=16561";"music disk 1 musicdisk1 d mob musicdisk1dmob"
"NoError, EmulTrap, ClearMem";"726770";"M\MusicDisk1FantasyForce\MusicDisk1FantasyForce.Slave";"Music Disk ? 1990 The Fantasy Force.";"0";"MusicDisk1FantasyForce";"Music Disk";"1990 The Fantasy Force";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1FantasyForce";"OCS/ECS";"";"";"";"";"music disk 1 the fantasy force";"Exact";"100";"Pouet";"";"";"The Fantasy Force";"m\musicdisk-1-the-fantasy-force";"musicdisk";"";"http://content.pouet.net/files/screenshots/00028/00028348.png";"december 1990";"Musicdisk #1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=28348";"musicdisk #1 musicdisk#1 the fantasy force musicdisk1thefantasyforce"
"NoError, EmulTrap, ClearMem";"920865";"M\MusicDisk1IKS\MusicDisk1IKS.Slave";"Music Disk 1 ? 1989 IKS.";"0";"MusicDisk1IKS";"Music Disk 1";"1989 IKS";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1IKS";"OCS/ECS";"";"";"";"";"music disk 1 iks";"Exact";"100";"Pouet";"";"";"IKS";"m\musicdisk-1-iks";"musicdisk";"";"http://content.pouet.net/files/screenshots/00064/00064567.png";"1989";"MusicDisk #1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=64567";"music disk #1 musicdisk#1 iks musicdisk1iks"
"NoError, EmulTrap, ClearMem";"766314";"M\MusicDisk1IpecElite\MusicDisk1IpecElite.Slave";"Music Disk ? 1989 Ipec Elite.";"0";"MusicDisk1IpecElite";"Music Disk";"1989 Ipec Elite";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1IpecElite";"OCS/ECS";"";"";"";"";"music disk ipec elite";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Ipec Elite";;"Musicdisk";"Equinoxe and Horizon Party";;"5/89";"Music Disk";;;"music disk musicdisk ipec elite musicdiskipecelite"
"NoError, EmulTrap, ClearMem";"917612";"M\MusicDisk1Mahoney&Kaktus\MusicDisk1Mahoney&Kaktus.Slave";"Music Disk 1 1988 Mahoney & Kaktus.";"0";"MusicDisk1Mahoney&Kaktus";"Music Disk 1";"1988 Mahoney & Kaktus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1Mahoney&Kaktus";"OCS/ECS";"";"";"";"";"music disk 1 mahoney kaktus";"Exact";"100";"Pouet";"";"";"Mahoney & Kaktus";"m\musicdisk-1-mahoney-kaktus";"musicdisk";"";"http://content.pouet.net/files/screenshots/00063/00063975.png";"november 1988";"Musicdisk 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=63975";"musicdisk 1 musicdisk1 mahoney kaktus musicdisk1mahoneykaktus"
"NoError, EmulTrap, ClearMem";"918793";"M\MusicDisk1Prologic\MusicDisk1Prologic.Slave";"Music Disk 1 ? 1991 Prologic.";"0";"MusicDisk1Prologic";"Music Disk 1";"1991 Prologic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1Prologic";"OCS/ECS";"";"";"";"";"music disk 1 prologic";"Exact";"100";"Pouet";"";"";"Prologic";"m\music-disk-1-prologic";"musicdisk";"";"http://content.pouet.net/files/screenshots/00032/00032779.png";"1991";"Music Disk 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=32779";"music disk 1 musicdisk1 prologic musicdisk1prologic"
"NoError, EmulTrap, ClearMem";"566983";"M\MusicDisk2\MusicDisk2.Slave";"Music Disk 2 ? 1991 The Fantasy Force.";"0";"MusicDisk2";"Music Disk 2";"1991 The Fantasy Force";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk2";"OCS/ECS";"";"";"";"";"musicdisk 2 fantasy force";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Fantasy Force";;"Musicdisk";"";;"91";"Musicdisk 2";;;"musicdisk 2 musicdisk2 fantasy force musicdisk2fantasyforce"
"NoError, EmulTrap, ClearMem";"892338";"M\MusicDisk281stTrack\MusicDisk281stTrack.Slave";"Music Disk 2 ? 1991 81st Track.";"0";"MusicDisk281stTrack";"Music Disk 2";"1992 The 81st Track";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk281stTrack";"OCS/ECS";"";"";"";"";"music disk 2 the 81st track";"Exact";"100";"Pouet";"";"";"The 81st Track";"m\music-disk-2-the-81st-track";"musicdisk";"";"http://content.pouet.net/files/screenshots/00059/00059683.png";"1992";"Music Disk 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=59683";"music disk 2 musicdisk2 the 81 st track musicdisk2the81sttrack"
"NoError, ClearMem";"917536";"M\MusicDisk2Darkness\MusicDisk2Darkness.Slave";"Music Disk 2 ? 1992 Darkness.";"0";"MusicDisk2Darkness";"Music Disk 2";"1992 Darkness";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk2Darkness";"OCS/ECS";"";"";"";"";"music disk 2 darkness";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Darkness";;"Musicdisk";"";;"7/92";"Musicdisk 2";;;"musicdisk 2 musicdisk2 darkness musicdisk2darkness"
"NoError, EmulTrap, ClearMem";"920698";"M\MusicDisk2IKS\MusicDisk2IKS.Slave";"Music Disk 2 ? 1989 IKS.";"0";"MusicDisk2IKS";"Music Disk 2";"1989 IKS";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk2IKS";"OCS/ECS";"";"";"";"";"music disk 2 iks";"Exact";"100";"Pouet";"";"";"IKS";"m\musicdisk-2-iks";"musicdisk";"";"http://content.pouet.net/files/screenshots/00064/00064568.png";"1989";"MusicDisk #2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=64568";"music disk #2 musicdisk#2 iks musicdisk2iks"
"NoError, EmulTrap, ClearMem";"428798";"M\MusicDisk2Vega\MusicDisk2Vega.Slave";"Music Disk 2 ? 1991 Vega.";"0";"MusicDisk2Vega";"Music Disk 2";"1991 Vega";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk2Vega";"OCS/ECS";"";"";"";"";"music disk 2 vega";"Exact";"100";"Pouet";"";"";"Vega";"m\musicdisk-2-vega";"musicdisk";"";"http://content.pouet.net/files/screenshots/00008/00008496.gif";"september 1991";"Musicdisk 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8496";"musicdisk 2 musicdisk2 vega musicdisk2vega"
"NoError";"923901";"M\MusicDisk3\MusicDisk3.Slave";"MusicDisk 3 ? 1989 D-Mob.";"0";"MusicDisk3";"MusicDisk 3";"1989 D-Mob";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk3";"OCS/ECS";"";"";"";"";"mega musicdisk iii d mob";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"D-Mob";;"Musicdisk";"Spectre and Northstar Halloween Party 89";;"";"Mega Musicdisk III";;;"mega musicdisk 3 megamusicdisk3 d mob megamusicdiskiiidmob"
