"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"Disk, NoError, Req68020, ReqAGA";"907885";"E\Explorer\Explorer.slave";"Explorer ? 1994 Delight.";"0";"Explorer";"";"";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Explorer";"AGA";"";"";"";"";"explorer delight";"Exact";"100";"Pouet";"n/a";"n/a";"Delight";"e\explorer-delight";"demo";"Analog Party 1994";"http://content.pouet.net/files/screenshots/00012/00012329.jpg";"july 1994";"Explorer";"Amiga AGA";"http://www.pouet.net/prod.php?which=12329";"explorer explorer delight explorerdelight"
"Disk, NoError, Req68020, ReqAGA";"908502";"E\ExplorerAGA\ExplorerAGA.slave";"Explorer ? 1994 Delight.";"0";"ExplorerAGA";"";"";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Explorer";"AGA";"";"";"";"";"explorer delight";"Exact";"100";"Pouet";"n/a";"n/a";"Delight";"e\explorer-delight";"demo";"Analog Party 1994";"http://content.pouet.net/files/screenshots/00012/00012329.jpg";"july 1994";"Explorer";"Amiga AGA";"http://www.pouet.net/prod.php?which=12329";"explorer explorer delight explorerdelight"
"NoError, EmulTrap, ClearMem";"919109";"E\Expressions\Expressions.Slave";"Expressions ? 1989 Timecircle.";"0";"Expressions";"Expressions";"1989 Timecircle";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Expressions";"OCS/ECS";"";"";"";"";"expressions timecircle";"Exact";"100";"Pouet";"";"";"Timecircle";"e\expressions-timecircle";"musicdisk";"";"http://content.pouet.net/files/screenshots/00009/00009341.gif";"december 1989";"Expressions";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9341";"expressions expressions timecircle expressionstimecircle"
"NoError";"911565";"E\Extemporized\Extemporized.Slave";"Extemporized ? 1993 Digital - 1 disk";"0";"Extemporized";"Extemporized";"1993 Digital";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Extemporized";"OCS/ECS";"";"";"";"";"extemporized digital";"Exact";"100";"Pouet";"";"";"Digital";"e\extemporized-digital";"musicdisk";"";"http://content.pouet.net/files/screenshots/00007/00007974.jpg";"october 1993";"Extemporized";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7974";"extemporized extemporized digital extemporizeddigital"
"Disk, NoError";"717619";"E\Extension\Extension.Slave";"";"0";"Extension";"Extension";"1993 Pygmy Projects";"454656";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Extension";"OCS/ECS";"";"";"";"";"extension pygmy projects";"Exact";"100";"Pouet";"amiga demo";"1st";"Pygmy projects";"e\extension-pygmy-projects";"demo";"Assembly 1993";"http://content.pouet.net/files/screenshots/00003/00003038.png";"august 1993";"Extension";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3038";"extension extension pygmy projects extensionpygmyprojects"
"NoError, EmulTrap, ClearMem";"922417";"F\FaceAnotherDay\FaceAnotherDay.Slave";"Face Another Day ? 1991 Razor 1911.";"0";"FaceAnotherDay";"Face Another Day";"1991 Razor 1911";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FaceAnotherDay";"OCS/ECS";"";"";"";"";"face another day razor";"Best";"4,093952";"Pouet";"";"";"Razor 1911";"f\face-another-day-razor-1911";"musicdisk";"";"http://content.pouet.net/files/screenshots/00004/00004203.jpg";"august 1991";"Face another day";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=4203";"face another day faceanotherday razor 1911 faceanotherdayrazor1911"
"NoError, EmulTrap, ReqAGA, ClearMem";"2193150";"F\Faktory\Faktory.Slave";"Faktory ? 1995 Virtual Dreams/Fairlight.";"0";"Faktory";"Faktory";"1995 Virtual Dreams/Fairlight";"573440";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Faktory";"AGA";"";"";"";"";"faktory virtual dreams fairlight";"Exact";"100";"Pouet";"amiga demo";"3rd";"Virtual Dreams,Fairlight";"f\faktory-virtual-dreams-fairlight";"demo";"The Party 1995";"http://content.pouet.net/files/screenshots/00001/00001153.jpg";"december 1995";"faktory";"Amiga AGA";"http://www.pouet.net/prod.php?which=1153";"faktory faktory virtual dreams fairlight faktoryvirtualdreamsfairlight"
"NoError, EmulTrap, ReqAGA, ClearMem";"2193763";"F\FaktoryAGA\FaktoryAGA.Slave";"Faktory ? 1995 Virtual Dreams/Fairlight.";"0";"FaktoryAGA";"Faktory";"1995 Virtual Dreams/Fairlight";"573440";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Faktory";"AGA";"";"";"";"";"faktory aga virtual dreams fairlight";"Best";"3,70291";"Pouet";"amiga demo";"3rd";"Virtual Dreams,Fairlight";"f\faktory-virtual-dreams-fairlight";"demo";"The Party 1995";"http://content.pouet.net/files/screenshots/00001/00001153.jpg";"december 1995";"faktory";"Amiga AGA";"http://www.pouet.net/prod.php?which=1153";"faktory faktory virtual dreams fairlight faktoryvirtualdreamsfairlight"
"NoError, EmulTrap, ClearMem";"920777";"F\FallingUp\FallingUp.Slave";"Falling Up ? 1992 Analog";"0";"FallingUp";"Falling Up";"1992 Analog";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FallingUp";"OCS/ECS";"";"";"";"";"falling up analog";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Analog";;"Trackmo";"Hurricane and Brutal Summer Party";;"6/92";"Falling Up";;;"falling up fallingup analog fallingupanalog"
"Disk, NoError, EmulTrap";"1832417";"F\FantasticArt\FantasticArt.slave";"The Fantastic Art ? 1990 Crusaders.";"0";"FantasticArt";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"FantasticArt";"OCS/ECS";"";"";"";"";"fantastic art";"Best";"2,45614";"Pouet";"";"";"Crusaders";"t\the-fantastic-art-of-tobias-richter-crusaders";"slideshow";"";"http://content.pouet.net/files/screenshots/00012/00012323.png";"april 1990";"The Fantastic Art Of Tobias Richter";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12323";"the fantastic art of tobias richter thefantasticartoftobiasrichter crusaders thefantasticartoftobiasrichtercrusaders"
