"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"Disk, NoError, EmulTrap, EmulTrapV";"954357";"R\RainbowIslands\RainbowIslands.slave";"Rainbow Islands ? 1990 Ocean, 1 disk";"0";"RainbowIslands";"Rainbow Islands";"1990 Ocean";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RainbowIslands";"OCS/ECS";"";"";"";"";"";"rainbow islands"
"Disk, NoError, EmulTrap";"1579624";"R\RainbowWarrior\RainbowWarrior.Slave";"";"0";"RainbowWarrior";"Rainbow Warrior";"1989 Micro Style";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RainbowWarrior";"OCS/ECS";"";"";"";"";"";"rainbow warrior"
"NoError, ReqAGA, ClearMem";"4808971";"R\RallyChampionshipsAGA\RallyChampionshipsAGA.Slave";"Rally Championships ?1994 Flair";"0";"RallyChampionshipsAGA";"Rally Championships AGA";"1994 Flair";"1933312";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"RallyChampionships";"AGA";"";"";"";"";"";"rally championships"
"NoError, ClearMem";"3238931";"R\RallyChampionships\RallyChampionships.Slave";"Rally Championships ?1994 Flair";"0";"RallyChampionships";"Rally Championships ECS";"1994 Flair";"983040";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RallyChampionships";"OCS/ECS";"";"";"";"";"";"rally championships"
"NoError, EmulTrap, NoDivZero";"621641";"R\RallyCrossChallenge\RallyCrossChallenge.Slave";"Rally Cross Challenge (c) 1989 Ultra Graphix/Anco -";"0";"RallyCrossChallenge";"Rally Cross Challenge";"1989 Ultra Graphix/Anco";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RallyCrossChallenge";"OCS/ECS";"";"";"";"";"";"rally cross challenge"
"Disk, NoError, EmulTrap";"780132";"R\Rambo3\Rambo3.slave";"Rambo III (c) 1989 Ocean (1 disk version).";"0";"Rambo3";"Rambo 3";"1989 Ocean";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Rambo3";"OCS/ECS";"";"";"";"";"";"rambo 3"
"EmulTrap, NoDivZero, NoKbd, ClearMem";"931963";"R\Rampage\Rampage.slave";"";"0";"Rampage";"Rampage";"1989 Activision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Rampage";"OCS/ECS";"";"";"";"";"";"rampage"
"NoError, EmulTrap, ClearMem";"853618";"R\Rampart\Rampart.Slave";"Rampart (c) Domark 1992";"0";"Rampart";"Rampart";"1992 Domark";"401408";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Rampart";"OCS/ECS";"";"";"";"";"";"rampart"
"Disk, NoError, EmulTrap";"1800034";"R\RanX\RanX.Slave";"RanX ? Albin Michel/Legend Software.";"0";"RanX";"RanX";"Albin Michel/Legend Software";"655360";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RanX";"OCS/ECS";"";"";"";"";"";"ran"
"Disk, NoError, EmulTrap";"1800036";"R\RanXFr\RanXFr.Slave";"RanX ? Albin Michel/Legend Software.";"0";"RanXFr";"RanX";"Albin Michel/Legend Software";"655360";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RanX";"OCS/ECS";"Fr";"";"";"";"";"ran"
"Disk, NoError, EmulTrap";"1800036";"R\RanXDe\RanXDe.Slave";"RanX ? Albin Michel/Legend Software.";"0";"RanXDe";"RanX";"Albin Michel/Legend Software";"655360";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RanX";"OCS/ECS";"De";"";"";"";"";"ran"
"NoError, EmulTrap";"1514012";"R\RatTrap\RatTrap.Slave";"Rat Trap (c) 1991 Audiogenic.";"0";"RatTrap";"Rat Trap";"1991 Audiogenic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RatTrap";"OCS/ECS";"";"";"";"";"";"rat trap"
"NoError, EmulTrap";"945450";"R\RBI2Baseball\RBI2Baseball.Slave";"RBI 2 Baseball (c) 1991 Domark - 1 disk.";"0";"RBI2Baseball";"RBI 2 Baseball";"1991 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RBI2Baseball";"OCS/ECS";"";"";"";"";"";"rbi 2 baseball"
"NoError, EmulTrap";"719184";"R\RealGhostbusters\RealGhostbusters.Slave";"The Real Ghostbusters (c) 1988 Activision - 1 disk.";"0";"RealGhostbusters";"The Real Ghostbusters";"1988 Activision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RealGhostbusters";"OCS/ECS";"";"";"";"";"";"real ghostbusters the"
"Disk, NoError, EmulTrap, EmulTrapV";"1409931";"R\Realms\Realms.Slave";"Realms (c) 1991 Graftgold.";"1024";"Realms";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Realms";"OCS/ECS";"";"";"";"";"";"realms"
"NoError, EmulPriv, Examine";"6933012";"R\RealmsOfArkania\RealmsOfArkania.Slave";"Realms Of Arkania : Blade Of Destiny ? 1992 Fantasy";"0";"RealmsOfArkania";"Realms Of Arkania/Das Schwarze Auge";"1992 Fantasy";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RealmsOfArkania";"OCS/ECS";"";"";"";"";"";"realms of arkania das schwarze auge"
