"Priority";"Name";"File";"Keywords"
"2";"BlackCrypt";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BlackCrypt\igame.iff";"black crypt"
"2";"BlackViperAGA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BlackViperAGA\igame.iff";"black viper aga"
"2";"Blob";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Blob\igame.iff";"blob"
"2";"BomberBob";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BomberBob\igame.iff";"bomber bob"
"2";"BombFusion";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BombFusion\igame.iff";"bomb fusion"
"2";"BrainMan";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BrainMan\igame.iff";"brain man"
"2";"Brataccas";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Brataccas\igame.iff";"brataccas"
"2";"BridesOfDracula";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BridesOfDracula\igame.iff";"brides of dracula"
"2";"Bubble&SqueakAGA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Bubble&SqueakAGA\igame.iff";"bubble squeak aga"
"2";"Bubble+";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Bubble+\igame.iff";"bubble"
"2";"Caesar";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Caesar\igame.iff";"caesar"
"2";"Calephar";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Calephar\igame.iff";"calephar"
"2";"CalepharFiles";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CalepharFiles\igame.iff";"calephar files"
"2";"CalepharImage";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CalepharImage\igame.iff";"calephar image"
"2";"CaptainFizz";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CaptainFizz\igame.iff";"captain fizz"
"2";"CastleMaster2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CastleMaster2\igame.iff";"castle master 2"
"2";"CatchEm";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CatchEm\igame.iff";"catch em"
"2";"ChuckRock2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\ChuckRock2\igame.iff";"chuck rock 2"
"2";"CityDefence";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CityDefence\igame.iff";"city defence"
"2";"CJInTheUSA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CJInTheUSA\igame.iff";"cjin the usa"
"2";"Classic&BabyArcadia";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Classic&BabyArcadia\igame.iff";"classic baby arcadia"
"2";"ClassicPucman";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\ClassicPucman\igame.iff";"classic pucman"
"2";"CloudKingdoms";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CloudKingdoms\igame.iff";"cloud kingdoms"
"2";"ClownOMania";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\ClownOMania\igame.iff";"clown omania"
"2";"CosmicBouncer";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CosmicBouncer\igame.iff";"cosmic bouncer"
"2";"CovertAction";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CovertAction\igame.iff";"covert action"
"2";"Crack";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Crack\igame.iff";"crack"
"2";"CrackDown";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrackDown\igame.iff";"crack down"
"2";"CrazyCars3";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrazyCars3\igame.iff";"crazy cars 3"
"2";"Croak";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Croak\igame.iff";"croak"
"2";"Croak2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Croak2\igame.iff";"croak 2"
"2";"CrossCheck";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrossCheck\igame.iff";"cross check"
"2";"CrystalHammerV2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrystalHammerV2\igame.iff";"crystal hammer v 2"
"2";"CrystalKingdomDizzy";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrystalKingdomDizzy\igame.iff";"crystal kingdom dizzy"
"2";"Custodian";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Custodian\igame.iff";"custodian"
"2";"Cygnus8";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Cygnus8\igame.iff";"cygnus 8"
"2";"Darius+";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Darius+\igame.iff";"darius"
"2";"DarkCastle";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DarkCastle\igame.iff";"dark castle"
"2";"DarkQueenOfKrynn";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DarkQueenOfKrynn\igame.iff";"dark queen of krynn"
"2";"DarkSeed";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DarkSeed\igame.iff";"dark seed"
"2";"DawnPatrol";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DawnPatrol\igame.iff";"dawn patrol"
"2";"DeathBringerSpotlight";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeathBringerSpotlight\igame.iff";"death bringer spotlight"
"2";"DeathbringerTheSwordOfAbaddon";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeathbringerTheSwordOfAbaddon\igame.iff";"deathbringer the sword of abaddon"
"2";"DeathTrap";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeathTrap\igame.iff";"death trap"
"2";"DeepCore";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeepCore\igame.iff";"deep core"
"2";"DeluxePacmanAGA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeluxePacmanAGA\igame.iff";"deluxe pacman aga"
"2";"Denjoy";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Denjoy\igame.iff";"denjoy"
"2";"Dennis";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Dennis\igame.iff";"dennis"
"2";"DennisAGA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DennisAGA\igame.iff";"dennis aga"
"2";"Detonator";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Detonator\igame.iff";"detonator"
"2";"DickTracy";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DickTracy\igame.iff";"dick tracy"
"2";"DickTracyAdventure";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DickTracyAdventure\igame.iff";"dick tracy adventure"
"2";"DieHard2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DieHard2\igame.iff";"die hard 2"
"2";"Digger";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Digger\igame.iff";"digger"
"2";"DizzyColDISK1";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DizzyColDISK1\igame.iff";"dizzy col disk 1"
"2";"DizzysExcellentAdventures";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DizzysExcellentAdventures\igame.iff";"dizzys excellent adventures"
"2";"DogsOfWar";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DogsOfWar\igame.iff";"dogs of war"
"2";"DomanPl";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DomanPl\igame.iff";"doman pl"
"2";"Dominium";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Dominium\igame.iff";"dominium"
"2";"DoubleDragon3";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DoubleDragon3\igame.iff";"double dragon 3"
"2";"DragonBreed";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonBreed\igame.iff";"dragon breed"
"2";"DragonsBreath";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonsBreath\igame.iff";"dragons breath"
"2";"DragonsLair2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonsLair2\igame.iff";"dragons lair 2"
"2";"DragonsLair3";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonsLair3\igame.iff";"dragons lair 3"
"2";"DragonsLairEscape";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonsLairEscape\igame.iff";"dragons lair escape"
"2";"DragonsLairEscapeFast";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonsLairEscapeFast\igame.iff";"dragons lair escape fast"
"2";"DragonsLairEscapeSlow";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonsLairEscapeSlow\igame.iff";"dragons lair escape slow"
"2";"DragonSpirit";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonSpirit\igame.iff";"dragon spirit"
"2";"DragonStone";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonStone\igame.iff";"dragon stone"
"2";"DragonTiles";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonTiles\igame.iff";"dragon tiles"
"2";"DragonTiles2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonTiles2\igame.iff";"dragon tiles 2"
"2";"DragonTilesAGA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonTilesAGA\igame.iff";"dragon tiles aga"
"2";"DragonWars";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonWars\igame.iff";"dragon wars"
"2";"DreamWeb";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DreamWeb\igame.iff";"dream web"
"2";"DreamWebAGA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DreamWebAGA\igame.iff";"dream web aga"
"2";"DrFruit";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DrFruit\igame.iff";"dr fruit"
"2";"Dugger";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Dugger\igame.iff";"dugger"
"2";"DynastyWars";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DynastyWars\igame.iff";"dynasty wars"
"2";"EaglesRider";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EaglesRider\igame.iff";"eagles rider"
"2";"Ebonstar";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Ebonstar\igame.iff";"ebonstar"
"2";"EliteAdvanced";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EliteAdvanced\igame.iff";"elite advanced"
"2";"EmeraldMine";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EmeraldMine\igame.iff";"emerald mine"
"2";"EmeraldMine2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EmeraldMine2\igame.iff";"emerald mine 2"
"2";"EmeraldMine3";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EmeraldMine3\igame.iff";"emerald mine 3"
"2";"Enemy(EasyPlay)";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Enemy(EasyPlay)\igame.iff";"enemy easy play"
"2";"Enemy2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Enemy2\igame.iff";"enemy 2"
"2";"EnemyTempestOfViolence";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EnemyTempestOfViolence\igame.iff";"enemy tempest of violence"
"2";"Enforcer";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Enforcer\igame.iff";"enforcer"
"2";"Epic&MissionDisk";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Epic&MissionDisk\igame.iff";"epic mission disk"
"2";"ESWAT";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\ESWAT\igame.iff";"eswat"
"2";"F19StealthFighter";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\F19StealthFighter\igame.iff";"f 19 stealth fighter"
"2";"FaceOff";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FaceOff\igame.iff";"face off"
"2";"FantasticDIZZY";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FantasticDIZZY\igame.iff";"fantastic dizzy"
"2";"FatalMission";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FatalMission\igame.iff";"fatal mission"
