"Priority";"Name";"File";"Keywords"
"1";"AfterTheWar";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AfterTheWar.png";"after the war"
"1";"AGE";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AGE.png";"age"
"1";"Agony";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Agony.png";"agony"
"1";"AgonyDemo";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AgonyDemo.png";"agony demo"
"1";"AgonyNTSC";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AgonyNTSC.png";"agony ntsc"
"1";"AigleDOr512kFr";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AigleDOr512kFr.png";"aigle dor 512 k fr"
"1";"AigleDOrFr";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AigleDOrFr.png";"aigle dor fr"
"1";"Airball";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Airball.png";"airball"
"1";"AirborneRanger";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AirborneRanger.png";"airborne ranger"
"1";"AirSupport";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AirSupport.png";"air support"
"1";"AirSupportNTSC";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AirSupportNTSC.png";"air support ntsc"
"1";"Akira";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Akira.png";"akira"
"1";"AkiraCD32";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AkiraCD32.png";"akira cd 32"
"1";"AladdinAGA";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AladdinAGA.png";"aladdin aga"
"1";"AlbedoFr";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AlbedoFr.png";"albedo fr"
"1";"Alcatraz";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Alcatraz.png";"alcatraz"
