"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ClearMem";"418479";"D\DetKniber\DetKniber.slave";"Det Kniber ? 1991 Rebels.";"0";"DetKniber";"Det Kniber";"1991 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DetKniber";"OCS/ECS";"";"";"";"";"det kniber rebels";"Exact";"100";"det-kniber-rebels";"C:\Work\First Realize\amiga-demo-database\jasdd\d\det-kniber-rebels\screen_001.png";"det-kniber-rebels"
"Disk, NoError";"2716379";"D\DevilsKey\DevilsKey.slave";"Devil's Key (MD4) ? 1990 Alcatraz (3 disks)";"0";"DevilsKey";"Devil";"1990 Alcatraz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DevilsKey";"OCS/ECS";"";"";"";"";"devils key devil alcatraz";"Best";"2,940356";"megademo-4-devils-key-alcatraz";"C:\Work\First Realize\amiga-demo-database\jasdd\m\megademo-4-devils-key-alcatraz\screen_001.PNG";"megademo-4-devils-key-alcatraz"
"NoError, EmulTrap, ClearMem";"906860";"D\DifficultToCure\DifficultToCure.Slave";"Difficult To Cure ? 1995 Analog.";"0";"DifficultToCure";"Difficult To Cure";"1995 Analog";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DifficultToCure";"OCS/ECS";"";"";"";"";"difficult to cure analog";"Exact";"100";"difficult-to-cure-analog";"C:\Work\First Realize\amiga-demo-database\jasdd\d\difficult-to-cure-analog\screen_001.png";"difficult-to-cure-analog"
"NoError, EmulTrap, ClearMem";"1630982";"D\DiggyPiggys\DiggyPiggys.Slave";"Diggy Piggys ? 1990 Channel 42 & Silents.";"0";"DiggyPiggys";"Diggy Piggys Slideshow";"1990 Channel 42 & Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DiggyPiggys";"OCS/ECS";"";"";"";"";"diggy piggys slideshow channel 42 silents";"Best";"5,771412";"slideshow-diggy-piggys-channel-42";"C:\Work\First Realize\amiga-demo-database\jasdd\s\slideshow-diggy-piggys-channel-42\screen_001.png";"slideshow-diggy-piggys-channel-42"
"NoError, EmulTrap, ClearMem";"417938";"D\DigitalComplexityCrass\DigitalComplexityCrass.Slave";"Digital Complexity ? 1992 Crass.";"0";"DigitalComplexityCrass";"Digital Complexity";"1992 Crass";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalComplexityCrass";"OCS/ECS";"";"";"";"";"digital complexity crass";"Exact";"100";"digital-complexity-crass";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-complexity-crass\screen_001.png";"digital-complexity-crass"
"NoError, ClearMem";"841010";"D\DigitalConcert\DigitalConcert.Slave";"Digital Concert #1 ? 1989 Flash Production";"0";"DigitalConcert";"Digital Concert #1";"1989 Flash Production";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalConcert";"OCS/ECS";"";"";"";"";"digital concert 1 flash production";"Exact";"100";"digital-concert-1-flash-production";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-concert-1-flash-production\screen_001.PNG";"digital-concert-1-flash-production"
"NoError, ClearMem";"904446";"D\DigitalConcert2\DigitalConcert2.Slave";"Digital Concert #2 ? 1989 Flash Production";"0";"DigitalConcert2";"Digital Concert #2";"1989 Flash Production";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalConcert2";"OCS/ECS";"";"";"";"";"digital concert 2 flash production";"Exact";"100";"digital-concert-2-flash-production";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-concert-2-flash-production\screen_001.PNG";"digital-concert-2-flash-production"
"NoError, ClearMem";"914404";"D\DigitalConcert3\DigitalConcert3.Slave";"Digital Concert #3 ? 1990 Flash Production";"0";"DigitalConcert3";"Digital Concert #3";"1990 Flash Production";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalConcert3";"OCS/ECS";"";"";"";"";"digital concert 3 flash production";"Exact";"100";"digital-concert-3-flash-production";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-concert-3-flash-production\screen_001.PNG";"digital-concert-3-flash-production"
"NoError, NoKbd, ClearMem";"925007";"D\DigitalConcert4\DigitalConcert4.Slave";"Digital Concert #4 ? 1990 Flash Production";"0";"DigitalConcert4";"Digital Concert #4";"1990 Flash Production";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalConcert4";"OCS/ECS";"";"";"";"";"digital concert 4 flash production";"Exact";"100";"digital-concert-4-flash-production";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-concert-4-flash-production\screen_001.PNG";"digital-concert-4-flash-production"
"NoError, ClearMem";"873938";"D\DigitalConcert5\DigitalConcert5.Slave";"Digital Concert #5 ? 1990 Flash Production";"0";"DigitalConcert5";"Digital Concert #5";"1990 Flash Production";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalConcert5";"OCS/ECS";"";"";"";"";"digital concert 5 flash production";"Exact";"100";"digital-concert-5-flash-production";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-concert-5-flash-production\screen_001.PNG";"digital-concert-5-flash-production"
"NoError, ClearMem";"926268";"D\DigitalConcert6\DigitalConcert6.Slave";"Digital Concert #6 ? 1991 Flash Production";"0";"DigitalConcert6";"Digital Concert #6";"1991 Flash Production";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalConcert6";"OCS/ECS";"";"";"";"";"digital concert 6 flash production";"Exact";"100";"digital-concert-6-flash-production";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-concert-6-flash-production\screen_001.PNG";"digital-concert-6-flash-production"
"Disk, NoError, EmulTrap";"906435";"D\DigitalInnovation\DigitalInnovation.slave";"Digital Innovation by Anarchy (c) 1991 - 1 disk.";"0";"DigitalInnovation";"Digital Innovation";"1991 Anarchy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalInnovation";"OCS/ECS";"";"";"";"";"digital innovation anarchy";"Exact";"100";"digital-innovation-anarchy";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-innovation-anarchy\screen_001.png";"digital-innovation-anarchy"
"NoError, EmulTrap, ClearMem";"389333";"D\DigitalMusicArt\DigitalMusicArt.Slave";"Digital Music Art ? 1992 Wildfire.";"0";"DigitalMusicArt";"Digital Music Art";"1992 Wildfire";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalMusicArt";"OCS/ECS";"";"";"";"";"digital music art wildfire";"Exact";"100";"digital-music-art-wildfire";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-music-art-wildfire\screen_001.png";"digital-music-art-wildfire"
"NoError, EmulTrap, ClearMem";"762411";"D\DigitalNoises\DigitalNoises.Slave";"Digital Noises ? 1991 Ram Jam.";"0";"DigitalNoises";"Digital Noises";"1991 Ram Jam";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalNoises";"OCS/ECS";"";"";"";"";"digital noises ram jam";"Exact";"100";"digital-noises-ram-jam";"C:\Work\First Realize\amiga-demo-database\jasdd\d\digital-noises-ram-jam\screen_001.png";"digital-noises-ram-jam"
"NoError, EmulTrap, ClearMem";"926448";"D\DigitalSounds1\DigitalSounds1.Slave";"Digital Sounds Volume 1 ? 1990 The Warfalcons.";"0";"DigitalSounds1";"Digital Sounds Volume 1";"1990 Warfalcons";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DigitalSounds1";"OCS/ECS";"";"";"";"";"digital sounds 1 volume warfalcons";"Best";"3,941887";"digital-sounds-vol-1-the-warfalcons";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\digital-sounds-vol-1-the-warfalcons\screen.gif";"digital-sounds-vol-1-the-warfalcons"
"NoError, Req68020, ReqAGA, ClearMem";"374241";"D\Dirt\Dirt.Slave";"Dirt ? 1994 Mystic - 1 disk";"0";"Dirt";"Dirt";"1994 Mystic";"786432";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Dirt";"AGA";"";"";"";"";"dirt mystic";"Exact";"100";"dirt-mystic";"C:\Work\First Realize\amiga-demo-database\jasdd\d\dirt-mystic\screen_001.png";"dirt-mystic"
"NoError, EmulTrap, ClearMem";"640968";"D\DiscoFever\DiscoFever.Slave";"Disco Fever ? 1990 Ipec Elite.";"0";"DiscoFever";"Disco Fever";"1990 Ipec Elite";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DiscoFever";"OCS/ECS";"";"";"";"";"disco fever ipec elite";"Exact";"100";"disco-fever-ipec-elite";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\disco-fever-ipec-elite\screen.png";"disco-fever-ipec-elite"
"NoError, EmulTrap, ClearMem";"856659";"D\DivineInspiration\DivineInspiration.Slave";"Divine Inspiration ? 1991 Goldfire.";"0";"DivineInspiration";"Divine Inspiration";"1991 Goldfire";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DivineInspiration";"OCS/ECS";"";"";"";"";"divine inspiration goldfire";"Exact";"100";"divine-inspiration-goldfire";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\divine-inspiration-goldfire\screen.png";"divine-inspiration-goldfire"
"NoError, EmulTrap, ClearMem";"924701";"D\DizzyTunes\DizzyTunes.Slave";"Dizzy Tunes ? 1992 Silents & Noiseless";"0";"DizzyTunes";"Dizzy Tunes";"1992 Silents & Noiseless";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DizzyTunes";"OCS/ECS";"";"";"";"";"dizzy tunes silents noiseless";"Best";"7,137755";"dizzy-tunes-1-noiseless-the-silents";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\dizzy-tunes-1-noiseless-the-silents\screen.gif";"dizzy-tunes-1-noiseless-the-silents"
"NoError, EmulTrap, ClearMem";"2746813";"D\DizzyTunes2\DizzyTunes2.Slave";"Dizzy Tunes 2 ? 1994 Noiseless & Spaceballs.";"0";"DizzyTunes2";"Dizzy Tunes 2";"1994 Noiseless & Spaceballs";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DizzyTunes2";"OCS/ECS";"";"";"";"";"dizzy tunes 2 noiseless spaceballs";"Best";"5,751288";"dizzy-tunes-2-spaceballs-noiseless";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\dizzy-tunes-2-spaceballs-noiseless\screen.gif";"dizzy-tunes-2-spaceballs-noiseless"
"NoError, EmulTrap";"2720128";"D\DogsCogs\DogsCogs.Slave";"The Dogs Cogs ? 1994 Nerve Axis - 3 disks";"0";"DogsCogs";"The Dogs Cogs";"1994 Nerve Axis";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DogsCogs";"OCS/ECS";"";"";"";"";"dogs cogs the nerve axis";"Best";"6,904243";"the-dogs-cogs-nerve-axis";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-dogs-cogs-nerve-axis\screen_001.png";"the-dogs-cogs-nerve-axis"
"NoError, EmulTrap, ClearMem";"730120";"D\DonMartinMusicDisk\DonMartinMusicDisk.Slave";"Don Martin Music Disk ? 1990 Hypnosis.";"0";"DonMartinMusicDisk";"Don Martin Music Disk";"1990 Hypnosis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DonMartinMusicDisk";"OCS/ECS";"";"";"";"";"don martin music disk hypnosis";"Best";"3,577771";"don-martin-hypnosis";"C:\Work\First Realize\amiga-demo-database\jasdd\d\don-martin-hypnosis\screen_001.png";"don-martin-hypnosis"
"NoError, EmulTrap, ClearMem";"1253243";"D\DontPanic\DontPanic.Slave";"Don't Panic ? 1992 LSD.";"0";"DontPanic";"Don";"1992 LSD";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DontPanic";"OCS/ECS";"";"";"";"";"dont panic don lsd";"Best";"3,006174";"dont-panic-lsd";"C:\Work\First Realize\amiga-demo-database\jasdd\d\dont-panic-lsd\screen_001.png";"dont-panic-lsd"
"NoError";"750165";"D\DOS\DOS.Slave";"D.O.S. ? 1992 Andromeda - 1 disk";"0";"DOS";"D.O.S.";"1992 Andromeda";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DOS";"OCS/ECS";"";"";"";"";"dos andromeda";"Exact";"100";"dos-andromeda";"C:\Work\First Realize\amiga-demo-database\jasdd\d\dos-andromeda\screen_001.png";"dos-andromeda"
"NoError, EmulTrap, ClearMem";"452174";"D\DoTheBartman\DoTheBartman.Slave";"Do the Bartman ? 1991 FreeHand.";"0";"DoTheBartman";"Do The Bartman";"1991 FreeHand";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DoTheBartman";"OCS/ECS";"";"";"";"";"do the bartman free hand";"Exact";"100";"do-the-bartman-freehand";"C:\Work\First Realize\amiga-demo-database\jasdd\d\do-the-bartman-freehand\screen_001.png";"do-the-bartman-freehand"
"NoError, EmulTrap, ClearMem";"108623";"D\DoubleIntro\DoubleIntro.Slave";"Double Intro ? 1991 Vega.";"0";"DoubleIntro";"Double Intro";"1991 Vega";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Double";"OCS/ECS";"";"";"";"Intro";"double intro part1 vega";"Best";"2,001893";"double-intro-part2-vega";"C:\Work\First Realize\amiga-demo-database\jasdd\d\double-intro-part2-vega\screen_001.png";"double-intro-part2-vega"
"NoError, EmulPriv, Examine";"524646";"D\DragonLord\DragonLord.Slave";"demo called:";"0";"DragonLord";"Dragon Lord demo";"19?? ALFA FORCE";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DragonLord";"OCS/ECS";"";"";"";"";"dragon lord alfaforce";"Exact";"100";"dragon-lord-alfaforce";"C:\Work\First Realize\amiga-demo-database\jasdd\d\dragon-lord-alfaforce\screen_001.png";"dragon-lord-alfaforce"
"NoError, EmulTrap, ClearMem";"1024099";"D\DreamTrippin\DreamTrippin.Slave";"Dream Tripping ? 1993 Digital";"0";"DreamTrippin";"Dream Tripping";"1993 Digital";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DreamTrippin";"OCS/ECS";"";"";"";"";"dream trippin tripping digital";"Best";"3,26412";"dream-tripping-digital";"C:\Work\First Realize\amiga-demo-database\jasdd\d\dream-tripping-digital\screen_001.PNG";"dream-tripping-digital"
"NoError, EmulTrap, ClearMem";"1820226";"D\Drums&Reverbs\Drums&Reverbs.Slave";"Drums and Reverbs ? 1992 Chryseis.";"0";"Drums&Reverbs";"Drums & Reverbs";"1992 Chryseis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Drums&Reverbs";"OCS/ECS";"";"";"";"";"drums reverbs chryseis";"Exact";"100";"drums-reverbs-chryseis";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\drums-reverbs-chryseis\screen.png";"drums-reverbs-chryseis"
"NoError";"118217";"D\DrunkDesertDemo\DrunkDesertDemo.Slave";"";"0";"DrunkDesertDemo";"Drunk Desert Demo";"1990 Paradox";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"DrunkDesert";"OCS/ECS";"";"";"Demo";"";"drunk desert demo paradox";"Best";"5,812631";"the-drunk-desert-demo-paradox";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-drunk-desert-demo-paradox\screen.jpg";"the-drunk-desert-demo-paradox"
"NoError, EmulTrap, ClearMem";"1821615";"D\Dynamo\Dynamo.Slave";"Dynamo ? 1994 Orion.";"0";"Dynamo";"Dynamo";"1994 Orion";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Dynamo";"OCS/ECS";"";"";"";"";"dynamo orion";"Exact";"100";"dynamo-orion";"C:\Work\First Realize\amiga-demo-database\jasdd\d\dynamo-orion\screen_001.png";"dynamo-orion"
"NoError, EmulTrap, ClearMem";"919909";"D\Dyspepsia\Dyspepsia.Slave";"Dyspepsia ? 1993 Analogy.";"0";"Dyspepsia";"Dyspepsia";"1993 Analogy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Dyspepsia";"OCS/ECS";"";"";"";"";"dyspepsia analogy";"Exact";"100";"dyspepsia-analogy";"C:\Work\First Realize\amiga-demo-database\jasdd\d\dyspepsia-analogy\screen_001.PNG";"dyspepsia-analogy"
"NoError, EmulTrap, ClearMem";"1386421";"E\EargasmTunes\EargasmTunes.Slave";"Eargasm Tunes ? 1989 The Silents.";"0";"EargasmTunes";"Eargasm Tunes";"1989 The Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EargasmTunes";"OCS/ECS";"";"";"";"";"eargasm tunes the silents";"Exact";"100";"eargasm-tunes-the-silents";"C:\Work\First Realize\amiga-demo-database\jasdd\e\eargasm-tunes-the-silents\screen_001.png";"eargasm-tunes-the-silents"
"NoError, EmulTrap";"912315";"E\Earwig\Earwig.Slave";"Earwig ? 1993 Infect.";"0";"Earwig";"Earwig";"1993 Infect";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Earwig";"OCS/ECS";"";"";"";"";"earwig infect";"Exact";"100";"earwig-infect";"C:\Work\First Realize\amiga-demo-database\jasdd\e\earwig-infect\screen_001.png";"earwig-infect"
"NoError, EmulTrap, ReqAGA, ClearMem";"919123";"E\ECESSlideshow\ECESSlideshow.slave";"E.C.E.S. Slideshow ? 1991 Rebels.";"0";"ECESSlideshow";"ECES Slideshow";"1991 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ECESSlideshow";"AGA";"";"";"";"";"ecesslideshow eces slideshow rebels";"Best";"2,795807";"eces-slideshow-rebels";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\eces-slideshow-rebels\screen.png";"eces-slideshow-rebels"
"NoError, ClearMem";"756019";"E\Ecliptica\Ecliptica.Slave";"Ecliptica ?1992 TRSI";"0";"Ecliptica";"Ecliptica";"1992 TRSI";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Ecliptica";"OCS/ECS";"";"";"";"";"ecliptica trsi";"Exact";"100";"ecliptica-trsi";"C:\Work\First Realize\amiga-demo-database\jasdd\e\ecliptica-trsi\screen_001.png";"ecliptica-trsi"
"NoError, EmulTrap, ClearMem";"921085";"E\ElectricSound3\ElectricSound3.Slave";"Electric Sound 3 ? 1990 Goonies.";"0";"ElectricSound3";"Electric Sound 3";"1990 Goonies";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ElectricSound3";"OCS/ECS";"";"";"";"";"electric sound 3 goonies";"Best";"4,612063";"electric-sound-3-the-goonies-2041";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\electric-sound-3-the-goonies-2041\screen.png";"electric-sound-3-the-goonies-2041"
"NoError";"910481";"E\ElectronsAtWork\ElectronsAtWork.Slave";"Electrons at work ? 1998 The Electronic Knights.";"0";"ElectronsAtWork";"Electrons at work";"1998 by TEK";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ElectronsAtWork";"OCS/ECS";"";"";"";"";"electrons at work by tek";"Best";"2,658544";"electrons-at-work-the-electronic-knights";"C:\Work\First Realize\amiga-demo-database\jasdd\e\electrons-at-work-the-electronic-knights\screen_001.png";"electrons-at-work-the-electronic-knights"
"Disk, NoError, EmulTrap";"301726";"E\Elysium\Elysium.Slave";"Elysium, ?1991 Sanity";"0";"Elysium";"-< E L Y S I U M >-";"1991 Sanity";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Elysium";"OCS/ECS";"";"";"";"";"elysium 1 sanity";"Best";"4,983167";"elysium-sanity";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\elysium-sanity\screen.jpg";"elysium-sanity"
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"921439";"E\Emptyhead\Emptyhead.Slave";"Emptyhead ? 1993 (damn) Rednex.";"0";"Emptyhead";"Empty Head";"1993 Rednex";"1069056";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Emptyhead";"AGA";"";"";"";"";"emptyhead empty head rednex";"Best";"2,36537";"emptyhead-rednex";"C:\Work\First Realize\amiga-demo-database\jasdd\e\emptyhead-rednex\screen_001.PNG";"emptyhead-rednex"
"NoError, EmulTrap, ClearMem";"411531";"E\EndOfMaloy\EndOfMaloy.Slave";"End of Maloy ? 1990 The Silents.";"0";"EndOfMaloy";"End of Maloy";"1990 The Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EndOfMaloy";"OCS/ECS";"";"";"";"";"end of maloy the silents";"Exact";"100";"end-of-maloy-the-silents";"C:\Work\First Realize\amiga-demo-database\jasdd\e\end-of-maloy-the-silents\screen_001.png";"end-of-maloy-the-silents"
"NoError, EmulTrap, ClearMem";"1821735";"E\EndOfTheMisery\EndOfTheMisery.Slave";"End Of The Misery ? 1993 Sagazity";"0";"EndOfTheMisery";"End of the misery";"1993 Sagazity";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EndOfTheMisery";"OCS/ECS";"";"";"";"";"end of the misery sagazity";"Exact";"100";"end-of-the-misery-sagazity";"C:\Work\First Realize\amiga-demo-database\jasdd\e\end-of-the-misery-sagazity\screen_001.png";"end-of-the-misery-sagazity"
"NoError, Req68020, ReqAGA, ClearMem";"4222234";"E\Engine\Engine.Slave";"The Engine ? 1997 Ramses";"0";"Engine";"The Engine";"1997 Ramses";"659456";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Engine";"AGA";"";"";"";"";"engine the ramses";"Best";"4,764146";"the-engine-ramses";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-engine-ramses\screen_001.png";"the-engine-ramses"
"Disk, NoError, EmulTrap";"910990";"E\Enigma\Enigma.slave";"Enigma, 1991 Phenomena (1 disk).";"0";"Enigma";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Enigma";"OCS/ECS";"";"";"";"";"enigma phenomena";"Exact";"100";"enigma-phenomena";"C:\Work\First Realize\amiga-demo-database\jasdd\e\enigma-phenomena\screen_001.png";"enigma-phenomena"
"Disk, NoError, EmulTrap";"911720";"E\EnjoyTheSilents\EnjoyTheSilents.Slave";"Enjoy The Silents ? 1992 TSL - 1 disk";"0";"EnjoyTheSilents";"Enjoy the Silents";"1992 The Silents";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EnjoyTheSilents";"OCS/ECS";"";"";"";"";"enjoy the silents";"Best";"3,712324";"enjoy-the-silents-the-silents";"C:\Work\First Realize\amiga-demo-database\jasdd\e\enjoy-the-silents-the-silents\screen_001.PNG";"enjoy-the-silents-the-silents"
"NoError, EmulTrap, ClearMem";"920325";"E\Epilepsia\Epilepsia.Slave";"Epilepsia 1992 Amnesia.";"0";"Epilepsia";"Epilepsia";"1992 Amnesia";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Epilepsia";"OCS/ECS";"";"";"";"";"epilepsia amnesia";"Exact";"100";"epilepsia-amnesia";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\epilepsia-amnesia\screen.gif";"epilepsia-amnesia"
"NoError, EmulTrap, ClearMem";"918413";"E\Epilepsia2\Epilepsia2.Slave";"Epilepsia 2 1992 Amnesia.";"0";"Epilepsia2";"Epilepsia 2";"1992 Amnesia";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Epilepsia2";"OCS/ECS";"";"";"";"";"epilepsia 2 amnesia";"Exact";"100";"epilepsia-2-amnesia";"C:\Work\First Realize\amiga-demo-database\jasdd\e\epilepsia-2-amnesia\screen_001.PNG";"epilepsia-2-amnesia"
"NoError, EmulTrap, ClearMem";"157685";"E\Erazorhead\Erazorhead.Slave";"Erazorhead ? 1991 Razor 1911.";"0";"Erazorhead";"Erazorhead";"1991 Razor 1911";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Erazorhead";"OCS/ECS";"";"";"";"";"erazorhead razor";"Best";"3,981212";"erazorhead-razor-1911";"C:\Work\First Realize\amiga-demo-database\jasdd\e\erazorhead-razor-1911\screen_001.png";"erazorhead-razor-1911"
"NoError, EmulTrap, ClearMem";"922776";"E\Eroticon6\Eroticon6.Slave";"The Triple Breasted Whore of Eroticon6 ? 1991 LSD.";"0";"Eroticon6";"Triple Breasted Whore of Eroticon 6";"1991 LSD";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Eroticon6";"OCS/ECS";"";"";"";"";"eroticon 6 triple breasted whore of lsd";"Best";"5,545385";"the-triple-breasted-whore-of-eroticon-six-lsd";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-triple-breasted-whore-of-eroticon-six-lsd\screen_001.png";"the-triple-breasted-whore-of-eroticon-six-lsd"
"NoError, EmulTrap, ClearMem";"897643";"E\EssentialBeats3\EssentialBeats3.Slave";"Essential Beats Volume 3 ? 1994 Quote.";"0";"EssentialBeats3";"Essential Beats 3";"1994 Quote";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EssentialBeats3";"OCS/ECS";"";"";"";"";"essential beats 3 quote";"Best";"6,181629";"essential-beats-volume-3-quote";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\essential-beats-volume-3-quote\screen.png";"essential-beats-volume-3-quote"
