"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"Disk, NoError";"909829";"S\SoundVision\SoundVision.Slave";"Sound Vision ? 1992 Reflect.";"0";"SoundVision";"Sound Vision";"1992 Reflect";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundVision";"OCS/ECS";"";"";"";"";"sound vision reflect";"Exact";"100";"sound-vision-reflect";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-vision-reflect\screen.png";"sound-vision-reflect"
"NoError, EmulTrap, ClearMem";"610429";"S\SozzledSomersault\SozzledSomersault.Slave";"Sozzled Somersault ? 1993 The Silents.";"0";"SozzledSomersault";"Sozzled Somersault";"1993 The Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SozzledSomersault";"OCS/ECS";"";"";"";"";"sozzled somersault the silents";"Exact";"100";"sozzled-somersault-the-silents";"C:\Work\First Realize\amiga-demo-database\jasdd\s\sozzled-somersault-the-silents\screen_001.png";"sozzled-somersault-the-silents"
"NoError, EmulTrap, ClearMem";"922089";"S\SpacedOutVol1\SpacedOutVol1.Slave";"Spaced Out Vol. 1 ? 1991 Magnetic Fields.";"0";"SpacedOutVol1";"Spaced Out Vol. 1";"1991 Magnetic Fields";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SpacedOutVol1";"OCS/ECS";"";"";"";"";"spaced out vol 1 magnetic fields";"Exact";"100";"spaced-out-vol-1-magnetic-fields";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spaced-out-vol-1-magnetic-fields\screen.png";"spaced-out-vol-1-magnetic-fields"
"NoError, EmulTrap, ClearMem";"922157";"S\SpacedOutVol2\SpacedOutVol2.Slave";"Spaced Out Vol. 2 ? 1991 Magnetic Fields.";"0";"SpacedOutVol2";"Spaced Out Vol. 2";"1991 Magnetic Fields";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SpacedOutVol2";"OCS/ECS";"";"";"";"";"spaced out vol 2 magnetic fields";"Exact";"100";"spaced-out-vol-2-magnetic-fields";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spaced-out-vol-2-magnetic-fields\screen.png";"spaced-out-vol-2-magnetic-fields"
"NoError, EmulTrap, ClearMem";"125548";"S\Spaceship\Spaceship.Slave";"Spaceship ? 1988 Doctor Mabuse Orgasm Crackings.";"0";"Spaceship";"Spaceship";"1988 Doctor Mabuse Orgasm Crackings";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Spaceship";"OCS/ECS";"";"";"";"";"spaceship doctor mabuse orgasm crackings";"Exact";"100";"spaceship-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spaceship-doctor-mabuse-orgasm-crackings\screen.gif";"spaceship-doctor-mabuse-orgasm-crackings"
"Disk, NoError, EmulTrap";"912780";"S\Spasmolytic\Spasmolytic.slave";"Spasmolytic ? 199? Spaceballs.";"0";"Spasmolytic";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Spasmolytic";"OCS/ECS";"";"";"";"";"spasmolytic";"Best";"3,045104";"spasmolytic-spaceballs";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spasmolytic-spaceballs\screen.jpg";"spasmolytic-spaceballs"
"NoError, EmulTrap, ClearMem";"196895";"S\Spellcheck\Spellcheck.Slave";"Spellcheck ? 1991 Andromeda.";"0";"Spellcheck";"Spellcheck";"1991 Andromeda";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Spellcheck";"OCS/ECS";"";"";"";"";"spellcheck andromeda";"Exact";"100";"spellcheck-andromeda";"C:\Work\First Realize\amiga-demo-database\jasdd\s\spellcheck-andromeda\screen_001.PNG";"spellcheck-andromeda"
"NoError, EmulTrap, ClearMem";"920208";"S\SphericalDreams\SphericalDreams.Slave";"Tuneshow IV - Spherical Dreams";"0";"SphericalDreams";"Tuneshow IV - Spherical Dreams";"1990 The Acoustic Revolution";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SphericalDreams";"OCS/ECS";"";"";"";"";"spherical dreams tuneshow 4 the acoustic revolution";"Best";"6,165326";"tuneshow-iv-spherical-dreams-the-acoustic-revolution";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\tuneshow-iv-spherical-dreams-the-acoustic-revolution\screen.png";"tuneshow-iv-spherical-dreams-the-acoustic-revolution"
"NoError, EmulTrap, ClearMem";"2724598";"S\Sploosh\Sploosh.Slave";"Sploosh ? 1993 Anthrox.";"0";"Sploosh";"Sploosh";"1993 Anthrox";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Sploosh";"OCS/ECS";"";"";"";"";"sploosh anthrox";"Exact";"100";"sploosh-anthrox";"C:\Work\First Realize\amiga-demo-database\jasdd\s\sploosh-anthrox\screen_001.png";"sploosh-anthrox"
"NoError, EmulTrap, ClearMem";"1821281";"S\Sploosh15Pond\Sploosh15Pond.Slave";"Sploosh 1.5 - Pond ? 1994 Anthrox.";"0";"Sploosh15Pond";"Sploosh 1.5 - Pond";"1994 Anthrox";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Sploosh15Pond";"OCS/ECS";"";"";"";"";"sploosh 15 pond 1 5 anthrox";"Best";"4,899717";"pond-sploosh-15-anthrox";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\p\pond-sploosh-15-anthrox\screen.png";"pond-sploosh-15-anthrox"
"Disk, NoError";"1812824";"S\SpringMelodies\SpringMelodies.slave";"Spring Melodies ? 1992 Anarchy (2 disks)";"0";"SpringMelodies";"Spring Melodies";"1992 Anarchy";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SpringMelodies";"OCS/ECS";"";"";"";"";"spring melodies anarchy";"Exact";"100";"spring-melodies-anarchy";"C:\Work\First Realize\amiga-demo-database\jasdd\s\spring-melodies-anarchy\screen_001.png";"spring-melodies-anarchy"
"NoError, EmulTrap";"926144";"S\Stag1\Stag1.slave";"Stag Series by BnK (c) 19??.";"0";"Stag1";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Stag1";"OCS/ECS";"";"";"";"";"stag 1 bnk team";"Exact";"100";"stag-1-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-1-bnk-team\screen.jpg";"stag-1-bnk-team"
"NoError, EmulTrap";"926144";"S\Stag2\Stag2.slave";"Stag Series by BnK (c) 19??.";"0";"Stag2";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Stag2";"OCS/ECS";"";"";"";"";"stag 2 bnk team";"Exact";"100";"stag-2-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-2-bnk-team\screen.jpg";"stag-2-bnk-team"
"NoError, EmulTrap";"926144";"S\Stag3\Stag3.slave";"Stag Series by BnK (c) 19??.";"0";"Stag3";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Stag3";"OCS/ECS";"";"";"";"";"stag 3 bnk team";"Exact";"100";"stag-3-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-3-bnk-team\screen.jpg";"stag-3-bnk-team"
"NoError, EmulTrap";"926144";"S\Stag4\Stag4.slave";"Stag Series by BnK (c) 19??.";"0";"Stag4";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Stag4";"OCS/ECS";"";"";"";"";"stag 4 bnk team";"Exact";"100";"stag-4-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-4-bnk-team\screen.jpg";"stag-4-bnk-team"
"NoError, EmulTrap";"926144";"S\Stag5\Stag5.slave";"Stag Series by BnK (c) 19??.";"0";"Stag5";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Stag5";"OCS/ECS";"";"";"";"";"stag 5 bnk team";"Exact";"100";"stag-5-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-5-bnk-team\screen.jpg";"stag-5-bnk-team"
"NoError, EmulTrap";"926144";"S\Stag6\Stag6.slave";"Stag Series by BnK (c) 19??.";"0";"Stag6";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Stag6";"OCS/ECS";"";"";"";"";"stag 6 bnk team";"Exact";"100";"stag-6-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-6-bnk-team\screen.jpg";"stag-6-bnk-team"
"NoError, EmulTrap";"926148";"S\StagExtra\StagExtra.slave";"Stag Series by BnK (c) 19??.";"0";"StagExtra";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StagExtra";"OCS/ECS";"";"";"";"";"stag extra bnk team";"Exact";"100";"stag-extra-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-extra-bnk-team\screen.jpg";"stag-extra-bnk-team"
"NoError, EmulTrap";"6467943";"S\StagSeries\StagSeries.slave";"Stag Series by BnK (c) 19??.";"0";"StagSeries";"Stag Series";"Bnk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StagSeries";"OCS/ECS";"";"";"";"";"stag 1 bnk team";"Exact";"100";"stag-1-bnk-team";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stag-1-bnk-team\screen.jpg";"stag-1-bnk-team"
"NoError, EmulTrap, ClearMem";"698285";"S\Stateline\Stateline.Slave";"Stateline ? 1992 Complex.";"0";"Stateline";"Stateline";"1992 Complex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Stateline";"OCS/ECS";"";"";"";"";"stateline complex";"Exact";"100";"stateline-complex";"C:\Work\First Realize\amiga-demo-database\jasdd\s\stateline-complex\screen_001.png";"stateline-complex"
"Disk, NoError, EmulTrap";"918926";"S\StateOfTheArt\StateOfTheArt.Slave";"State of the Art (C) 1992 Spaceballs";"0";"StateOfTheArt";"State of the Art";"1992 Spaceballs";"1032192";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StateOfTheArt";"OCS/ECS";"";"";"";"";"state of the art spaceballs";"Exact";"100";"state-of-the-art-spaceballs";"C:\Work\First Realize\amiga-demo-database\jasdd\s\state-of-the-art-spaceballs\screen_001.png";"state-of-the-art-spaceballs"
"NoError, EmulTrap, NoDivZero, ClearMem";"463405";"S\StaticChaos\StaticChaos.Slave";"Static Chaos ? 1992 The Silents";"0";"StaticChaos";"Static Chaos";"1992 The Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StaticChaos";"OCS/ECS";"";"";"";"";"static chaos the silents";"Exact";"100";"static-chaos-the-silents";"C:\Work\First Realize\amiga-demo-database\jasdd\s\static-chaos-the-silents\screen_001.png";"static-chaos-the-silents"
"Disk";"910883";"S\StatusQuo\StatusQuoFast.Slave";"Status Quo from Mad Elks (1 disk).";"0";"StatusQuo";"Status Quo";"Mad Elks";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StatusQuo";"OCS/ECS";"";"";"";"";"status quo mad elks";"Exact";"100";"status-quo-mad-elks";"C:\Work\First Realize\amiga-demo-database\jasdd\s\status-quo-mad-elks\screen_001.PNG";"status-quo-mad-elks"
"Disk";"910883";"S\StatusQuo\StatusQuo.Slave";"Status Quo from Mad Elks (1 disk).";"0";"StatusQuo";"Status Quo";"Mad Elks";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StatusQuo";"OCS/ECS";"";"";"";"";"status quo mad elks";"Exact";"100";"status-quo-mad-elks";"C:\Work\First Realize\amiga-demo-database\jasdd\s\status-quo-mad-elks\screen_001.PNG";"status-quo-mad-elks"
"NoError, EmulTrap, ClearMem";"920805";"S\StereoSounds\StereoSounds.Slave";"Stereo Sounds ? 1991 Eon.";"0";"StereoSounds";"Stereo Sounds";"1991 Eon";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StereoSounds";"OCS/ECS";"";"";"";"";"stereo sounds eon";"Exact";"100";"stereo-sounds-eon";"C:\Work\First Realize\amiga-demo-database\jasdd\s\stereo-sounds-eon\screen_001.png";"stereo-sounds-eon"
"NoError, EmulTrap, ClearMem";"693662";"S\SteveVizard\SteveVizard.Slave";"Steve Vizard ? 1990 Decay.";"0";"SteveVizard";"Steve Vizard";"1990 Decay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SteveVizard";"OCS/ECS";"";"";"";"";"steve vizard decay";"Best";"6,200484";"steve-vizard-demo-decay";"C:\Work\First Realize\amiga-demo-database\jasdd\s\steve-vizard-demo-decay\screen_001.png";"steve-vizard-demo-decay"
"NoError, ClearMem";"566725";"S\StopFascism\StopFascism.Slave";"Stop Fascism ? 1993 Alcatraz & Interactive";"0";"StopFascism";"Stop Fascism";"1993 Alcatraz & Interactive";"393216";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"StopFascism";"OCS/ECS";"";"";"";"";"stop fascism alcatraz interactive";"Exact";"100";"stop-fascism-alcatraz-interactive";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\stop-fascism-alcatraz-interactive\screen.gif";"stop-fascism-alcatraz-interactive"
