ArchiveFile;SlaveFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
AlienLegion.lha;AlienLegion.slave;Alien Legion;1989 Pegasus;1316;10;NoError, EmulTrap, NoKbd, ClearMem;524288;0;59;0
AlienStorm.lha;AlienStorm.slave;Alien Storm;1991 US Gold;1864;17;NoError, EmulTrap, NoDivZero, ClearMem;524288;58;5d;0
AlienSyndrome.lha;AlienSyndrome.slave;Alien Syndrome;1987 Sega;6012;17;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;262144
AlienWorld.lha;AlienWorld.slave;Alien World;1992 PAL Developments/Hi-Tec;2504;10;NoError, EmulTrap, NoKbd;524288;0;59;0
Aliex.lha;Aliex.Slave;Aliex;1990 Trojan;732;14;NoError, NoKbd, ClearMem;524288;0;5d;0
AllanBordersCricket.lha;AllanBordersCricket.slave;Allan Border;1993 Audiogenic;1448;10;EmulTrap, NoDivZero;1048576;0;59;0
AlloAllo.lha;AlloAllo.slave;Allo Allo;1993 Alternative Software;1640;13;NoError, EmulTrap, ClearMem;524288;0;54;524288
AllTerrainRacing.lha;AllTerrainRacing.slave;All Terrain Racing;1995 Team 17;1180;10;NoError, EmulTrap;524288;0;59;524288
AllTerrainRacingXmas.lha;AllTerrainRacingXmas.slave;All Terrain Racing Xmas Demo;1994 Team 17;664;10;NoError, EmulTrap;524288;0;59;458752
Alpha1.lha;Alpha1.slave;Alpha-1;1988 ECP;948;14;NoError, ClearMem;524288;0;59;4096
AlphaWaves.lha;AlphaWaves.slave;Alpha Waves;1990 Infogrames;832;14;NoError, ClearMem;524288;0;59;90112
AlteredBeast.lha;AlteredBeast.slave;Altered Beast;1989 Sega/Activision;3232;11;EmulTrap, NoDivZero, NoKbd, ClearMem;524288;0;5d;0
AlteredDestiny.lha;AlteredDestiny.slave;Altered Destiny;1991 Accolade;4464;16;NoError, EmulPriv, Examine;524288;0;5d;786432
AmazingSpiderman.lha;AmazingSpiderman.slave;The Amazing Spider-Man;1990 Paragon-Oxford Digital-Empire;7508;13;NoError, Req68020, EmulPriv;524288;0;59;589824
Amberstar.lha;ChipRAM.slave;Amberstar;1992 Thalion;1080;10;NoError, EmulTrap, ClearMem;1048576;0;0;0
Amberstar.lha;FastRAM.slave;Amberstar;1992 Thalion;1092;10;NoError, EmulTrap, ClearMem;524288;0;0;524288
Amegas.lha;Amegas.slave;Amegas;1987 Guido Bartels/reLINE Software;1004;13;NoError, EmulTrap, ClearMem;524288;0;59;0
AmericanGladiators.lha;AmericanGladiators.slave;American Gladiators;1992 GameTek;1824;17;NoError, EmulTrap, ClearMem;524288;0;59;0
AmericanTagTeamWrestling.lha;TagTeamWrestling.slave;American Tag Team Wrestling;1992 Zeppelin;516;10;NoError, EmulTrap;524288;0;0;0
AmigaKarate.lha;AmigaKarate.slave;Amiga Karate;1987 Eidersoft-Paradox;4320;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;262144
Amnios.lha;Amnios.slave;Amnios;1991 Psygnosis;860;10;Disk, NoError, EmulTrap;524288;0;59;524288
Anarchy.lha;Anarchy.slave;Anarchy;1989 Psygnosis;2196;15;NoError, EmulTrap;524288;58;5f;0
AncientArtOfWarInTheSkies.lha;AncientArtOfWar.slave;The Ancient Art of War in the Skies;1993 Microprose;5240;17;NoError, EmulTrap, EmulPriv, Examine;524288;0;59;786432
AnotherWorld.lha;AnotherWorld.Slave;Another World;1991 Delphine Software;3992;16;NoError, EmulPriv, Examine;524288;0;5d;786432
Anstoss.lha;Anstoss.slave;Anstoss/Carton Rouge;1992 Ascon;5788;16;NoError, EmulPriv, Examine;655360;0;5d;1114112
Antago.lha;Antago.slave;Antago;1990 Art of Dreams;4120;16;NoError, EmulPriv, Examine;524288;0;5d;327680
Antares.lha;Antares.slave;Antares: Der Griff nach den Sternen;1991 Bomico;4432;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;786432
AotGSA.lha;AotGSA.slave;The Attack of the Green Smelly Aliens from Planet 27b/6;1991 Alex May;4540;15;NoError, EmulPriv, Examine;458752;0;5d;262144
ApacheFlight.lha;ApacheFlight.slave;Apache Flight;1992 Atlantis;404;15;EmulTrap;524288;0;59;0
ApacheOverdrive.lha;Apache.slave;Apache / Overdrive;1993 Team 17;516;10;Disk, NoError, EmulTrap, ClearMem;1048576;0;59;0
ApanoSin.lha;ApanoSin.Slave;Apano Sin;1994-2000 Level One ;4948;13;NoError, EmulTrap, NoKbd, ClearMem;1048576;5f;5d;0
APB.lha;APB.slave;APB;1989 Tengen;512;10;NoError, EmulTrap;524288;0;0;0
Apidya.lha;Apidya.slave;Apidya;1992 Play Byte;8144;16;EmulTrap, ClearMem;524288;58;59;0
Apocalypse.lha;Apocalypse.slave;Apocalypse;1994 Miracle Games/Virgin;1824;10;NoError, EmulTrap;995328;0;59;4096
Apprentice.lha;Apprentice.slave;Apprentice;1990 Rainbow Arts;1016;11;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;4096
Aquablast.lha;Aquablast.slave;Aquablast;1989 Elite;480;10;NoError, EmulTrap;1048576;0;59;0
Aquanaut.lha;Aquanaut.slave;Aquanaut;1995 F1 Licenseware;2416;15;NoError, EmulTrap;1048576;58;5f;0
AquaticGames.lha;aquaticgames.slave;AquaticGames;1992 Millenium;804;10;NoError, EmulTrap, NoDivZero, ClearMem;589824;0;5d;589824
Aquaventura.lha;Aquaventura.slave;Aquaventura;1992 Psygnosis;788;10;NoError, EmulTrap;524288;0;59;0
ArabianNights.lha;ArabianNights.slave;Arabian Nights (2 disks version);1993 Krisalis.;6500;16;NoError, EmulTrap, EmulPriv, Examine;1048576;0;59;262144
ArabianNights.lha;ArabianNightsCD32.Slave;Arabian Nights CD32;1993 Krisalis.;6068;16;NoError, Req68020, EmulPriv, Examine;1048576;0;59;1048576
Arachnophobia.lha;Arachnophobia.slave;Arachnophobia;1991 Disney Software;5220;17;NoError, EmulPriv, Examine;524288;0;59;786432
ArcadeFruitMachine.lha;FruitMachine.slave;Arcade Fruit Machine;1991 Zeppelin;400;10;NoError, EmulTrap;524288;0;0;0
ArcadePool.lha;ArcadePoolAGA.slave;Arcade Pool AGA;1994 Team 17;1832;16;NoError, ReqAGA, EmulPriv, ClearMem;2097152;0;5d;1310720
ArcadePool.lha;ArcadePoolCD32.slave;Arcade Pool CD??;1994 Team 17;8652;16;NoError, Req68020, EmulPriv, ClearMem, Examine;2093056;0;5d;786432
ArcadePool.lha;ArcadePoolECS.slave;Arcade Pool ECS;1994 Team 17;1832;16;NoError, EmulPriv, ClearMem;1048576;0;5d;1310720
ArcadeSnooker.lha;ArcadeSnooker.slave;Arcade Snooker;1995 Team 17;1692;15;NoError, ReqAGA, ClearMem;737280;0;59;327680
ArcadeTriviaQuiz.lha;ArcadeTriviaQuiz.slave;Arcade Trivia Quiz;1991 Zeppelin;608;10;NoError, EmulTrap;524288;0;59;0
ArcherMacleanPool.lha;ArcherMacleanPool.Slave;Archer Maclean Pool;1992 Archer Maclean/Virgin;1804;10;NoError, EmulTrap, NoKbd;524288;57;58;0
Archipelagos.lha;Archipelagos.slave;Archipelagos;1989 Astral Software;1172;10;NoError, EmulTrap, ClearMem;524288;0;59;0
Archon.lha;Archon.slave;Archon;1985 Electronic Arts;1964;16;NoError, EmulPriv, Examine;524288;0;5d;262144
Archon2.lha;Archon2.slave;Archon II: Adept;1986 Electronic Arts;1688;16;NoError, EmulPriv, Examine;524288;0;5d;262144
ArcticFox.lha;ArcticFox.slave;Arctic Fox;1985 Electronic Arts / Dynamic;1888;16;NoError, EmulPriv, Examine;524288;0;5d;262144
Arena.lha;Arena.slave;Arena;1986 Psygnosis;664;10;NoError, EmulTrap;528384;0;59;0
Arkanoid.lha;Arkanoid.Slave;Arkanoid;1987 Discovery Software International;1452;10;NoError, EmulTrap;524288;0;59;0
Arkanoid2.lha;arkanoid2.slave;;;844;4;Disk, NoError;524288;58;59;
ArmageddonMan.lha;ArmageddonMan.slave;Armageddon Man;1988 Electronic Pencil Co. Ltd/Martech;1284;10;NoError, EmulTrap;524288;0;59;0
Armalyte.lha;HD.slave;;;1172;5;Disk, NoError, EmulTrap;524288;58;5f;
ArmourGeddon.lha;ArmourGeddon.Slave;;;1532;9;Disk, NoError, EmulTrap;589824;0;5a;0
ArmourGeddon2.lha;ArmourGeddon2.slave;ArmourGeddon 2 Codename Hellfire;1994 Psygnosis;1424;14;NoError, EmulPriv;1048576;0;59;2359296
ArmyMoves.lha;ArmyMoves.Slave;Army Moves;1987 Imagine/Dinamic;568;17;NoError;524288;0;59;0
Arnie.lha;Arnie.slave;Arnie;1992 Zeppelin Games;728;10;NoError, EmulTrap;524288;0;59;0
Arnie2.lha;Arnie2.slave;Arnie 2;1993 Zeppelin;1232;13;NoError, EmulTrap, ClearMem;1048576;0;59;0
ArtOfChess.lha;ArtOfChess.slave;The Art Of Chess;1987 SPA;4384;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;327680
Artura.lha;Artura.slave;Artura;1988 Gremlin;1904;10;NoError, EmulTrap;524288;0;59;0
AshesOfEmpire.lha;AshesOfEmpire.slave;Ashes Of Empire;1992 Midnight;1676;11;NoError, NoDivZero, EmulPriv;1048576;0;5d;262144
Assassin.lha;Assassin.slave;Assassin;1992 Team 17;836;14;Disk, NoError, EmulTrap, ClearMem;1048576;0;5d;0
AssassinSE.lha;AssassinSE.slave;Assasin (Special Edition);1993 Team 17;620;10;NoError, EmulTrap, ClearMem;1048576;0;59;0
Astaroth.lha;Astaroth.slave;Astaroth;1989 Hewson ;800;13;NoError;524288;57;5d;0
Astatin.lha;astatin.Slave;Astatin;1992 Tale Software;1320;14;NoError, EmulPriv;524288;0;59;262144
AsterixGetafix.lha;AsterixGetafix.slave;Asterix - Operation Getafix;1989 Cockel Vision;4628;16;NoError, EmulPriv, Examine;524288;0;5d;262144
AstroMarineCorps.lha;AstroMarineCorps.slave;Astro Marine Corps;1990 Dinamic;1276;17;NoError, NoKbd;524288;0;0;0
Atax.lha;Atax.slave;Atax;1988 Axxiom;4476;16;NoError, EmulPriv, Examine;1048576;0;5d;1310720
ATF2.lha;atf2.slave;Advanted Tactical Fighter II/Atf 2;1990 Digital Integration;1676;10;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;0
AtomicRoboKid.lha;AtomicRobokid.slave;Atomic RoboKid;1990 Activision;736;15;NoError, EmulTrap, NoKbd;524288;0;59;0
Atomino.lha;Atomino.slave;Atomino;1991 Play Byte;1032;10;NoError, EmulTrap;524288;0;5d;0
Atomix.lha;atomix.slave;Atomix;1990 Tale/Thalion;780;13;Disk, NoError, EmulTrap;524288;0;5d;0
AtomSmasher.lha;AtomSmasher.slave;Atom Smasher;1992 David Papworth;992;14;NoError, ClearMem;401408;0;5d;4096
ATrain.lha;A-Train.slave;A-Train;1992 Maxis;5068;17;NoError, EmulPriv, ClearMem, Examine;720896;0;59;786432
ATrain.lha;A-Train512K.slave;A-Train (512K ChipRAM);1992 Maxis;5028;17;NoError, EmulPriv, ClearMem, Examine;458752;0;59;786432
AufschwungOst.lha;AufschwungOst.slave;Aufschwung Ost;1993 Sunflowers;668;10;NoError, EmulTrap, NoKbd;524288;0;59;524288
AuntArcticAdventure.lha;AuntArcticAdv.slave;Aunt Arctic Adventure;199? Midware;460;10;NoError, EmulTrap;524288;0;59;0
AustraloPiticusMechanicus.lha;AustraloPiticusmechanicus.Slav;Australo Piticus Mecanichus;1988 A.Lepel & K.LUKAS & S.DOSCH ;4600;16;NoError, EmulPriv, Examine;524288;0;59;262144
AutoDuel.lha;AutoDuel.slave;AutoDuel;1988 Origin;4388;17;NoError, EmulPriv, Examine;524288;0;59;262144
AV8BHarrierAssault.lha;AV8BHarrierAssault.slave;AV8B Harrier Assault;1992 Domark;4044;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;786432
AventuraEspacial.lha;La Aventura Espacial.slave;La Aventura Espacial;1990 Aventuras AD;4476;16;NoError, EmulPriv, Examine;524288;0;59;262144
AventuraOriginal.lha;La Aventura Original.slave;La Aventura Original;1989 Aventuras AD;4520;16;NoError, EmulPriv, Examine;524288;0;59;262144
Awesome.lha;Awesome.Slave;Awesome;1990 Psygnosis;3216;17;Disk, NoError, EmulTrap;524288;0;59;4096
AwesomeDemo.lha;AwesomeDemo.slave;Awesome demo;1990 Psygnosis;1500;14;NoError, ClearMem;532480;0;59;4096
AxelsMagicHammer.lha;AxelsMagicHammer.slave;Axel;1989 Core Design/Gremlin;888;10;NoError, EmulTrap;524288;0;59;0
AztecChallenge.lha;AztecChallenge.slave;Aztec Challenge;Bignonia 1993;3368;15;NoError, NoKbd, EmulPriv, Examine;524288;0;59;786432
B17FlyingFortress.lha;B17FlyingFortress.slave;B-17 Flying Fortress;1993 MicroProse;4440;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;786432
Baal.lha;Baal.slave;Baal;1988 Psyclapse;2256;15;NoError, EmulTrap, ClearMem;524288;58;5f;0
BabyJoInGoingHome.lha;BabyJo.slave;Baby Jo In Going Home;1991 Loriciel;1268;10;NoError;524288;0;59;0
BabylonianTwinsDemo.lha;BabylonianTwinsDemo.slave;Babylonian Twins Demo;1994 Mesopotamia;1328;10;NoError;491520;0;59;458752
Backlash.lha;Backlash.slave;Backlash;1987 Novagen;1112;10;Disk, NoError, NoDivZero;524288;0;59;0
BackToTheFuture2.lha;BackToTheFuture2.slave;Back to the Future 2;1990 Image Works;464;10;NoError, EmulTrap;524288;0;0;0
BackToTheFuture3.lha;BackToTheFutureIII.slave;Back To The Future III;1991 Image Works/Konami;3228;10;Disk, NoError, EmulTrap, NoKbd;524288;58;59;0
BadCat.lha;BadCat.slave;BadCat;1987 Rainbow Arts;4500;16;NoError, EmulTrap, EmulPriv, Examine;524288;0;5d;524288
BadCompany.lha;BadCompany.slave;Bad Company;1990 Logotron;724;10;NoError, EmulTrap, ClearMem;524288;0;59;0
Badlands.lha;Badlands.slave;;;812;4;Disk, NoError;524288;58;59;
BadlandsPete.lha;BadlandsPete.slave;Badlands Pete;1990 ARC;1068;13;NoError, EmulTrap;524288;0;5d;0
