"Priority";"Name";"File";"Keywords"
"2";"Croak";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Croak\igame.iff";"croak"
"2";"Croak2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Croak2\igame.iff";"croak 2"
"2";"CrossCheck";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrossCheck\igame.iff";"cross check"
"2";"CrystalHammerV2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrystalHammerV2\igame.iff";"crystal hammer v 2"
"2";"CrystalKingdomDizzy";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrystalKingdomDizzy\igame.iff";"crystal kingdom dizzy"
"2";"Custodian";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Custodian\igame.iff";"custodian"
"2";"Cygnus8";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Cygnus8\igame.iff";"cygnus 8"
"2";"Darius+";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Darius+\igame.iff";"darius"
"2";"DarkCastle";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DarkCastle\igame.iff";"dark castle"
"2";"DarkQueenOfKrynn";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DarkQueenOfKrynn\igame.iff";"dark queen of krynn"
"2";"DarkSeed";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DarkSeed\igame.iff";"dark seed"
"2";"DawnPatrol";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DawnPatrol\igame.iff";"dawn patrol"
"2";"DeathBringerSpotlight";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeathBringerSpotlight\igame.iff";"death bringer spotlight"
"2";"DeathbringerTheSwordOfAbaddon";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeathbringerTheSwordOfAbaddon\igame.iff";"deathbringer the sword of abaddon"
"2";"DeathTrap";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeathTrap\igame.iff";"death trap"
"2";"DeepCore";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeepCore\igame.iff";"deep core"
"2";"DeluxePacmanAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DeluxePacmanAGA\igame.iff";"deluxe pacman aga"
"2";"Denjoy";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Denjoy\igame.iff";"denjoy"
"2";"Dennis";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Dennis\igame.iff";"dennis"
"2";"DennisAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DennisAGA\igame.iff";"dennis aga"
"2";"Detonator";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Detonator\igame.iff";"detonator"
"2";"DickTracy";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DickTracy\igame.iff";"dick tracy"
"2";"DickTracyAdventure";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DickTracyAdventure\igame.iff";"dick tracy adventure"
"2";"DieHard2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DieHard2\igame.iff";"die hard 2"
"2";"Digger";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Digger\igame.iff";"digger"
"2";"DizzyColDISK1";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DizzyColDISK1\igame.iff";"dizzy col disk 1"
"2";"DizzysExcellentAdventures";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DizzysExcellentAdventures\igame.iff";"dizzys excellent adventures"
"2";"DogsOfWar";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DogsOfWar\igame.iff";"dogs of war"
"2";"DomanPl";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DomanPl\igame.iff";"doman pl"
"2";"Dominium";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Dominium\igame.iff";"dominium"
"2";"DoubleDragon3";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DoubleDragon3\igame.iff";"double dragon 3"
"2";"DragonBreed";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonBreed\igame.iff";"dragon breed"
"2";"DragonsBreath";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DragonsBreath\igame.iff";"dragons breath"
